"name","group","element","units","context","S143531","S143532","S143533","S143534","S143535","S143536","S143537","S143538","S143539","S143540","S143541","S143542","S143543","S143544","S143545","S143546","S143547","S143548","S143549","S143550","S143551","S143552","S143553","S143554","S143555","S143556","S143557","S143558","S143559","S143560","S143561","S143562","S143563","S143564","S143565"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,21,25,29,31,33,35,39,41,45,49,51,53,55,59,60.5
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,143531,143532,143533,143534,143535,143536,143537,143538,143539,143540,143541,143542,143543,143544,143545,143546,143547,143548,143549,143550,143551,143552,143553,143554,143555,143556,143557,143558,143559,143560,143561,143562,143563,143564,143565
Neotoma 1,Calibrated radiocarbon years BP,,,,8/-32/-52,129/10/-49,207/51/-36,267/92/-22,327/132/-1,387/174/20,440/216/48,483/257/74,530/298/106,573/339/135,618/381/169,659/423/203,701/465/241,740/506/275,780/547/316,813/588/355,855/629/398,890/671/443,924/711/496,961/753/557,1030/819/660,1386/1096/849,1701/1405/1107,1822/1562/1276,1925/1717/1496,2101/1886/1674,2653/2235/1885,2878/2410/2009,3238/2763/2280,3536/3124/2617,3662/3305/2795,3778/3491/2988,3778/3491/2988,4495/3863/3197,4878/3999/3238
Alnus,Vascular plants,pollen,NISP,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Amaranthaceae,Vascular plants,pollen,NISP,,2,13,13,6,41,12,3,5,3,9,9,2,3,4,6,1,52,32,13,27,17,3,1,21,,1,,17,4,1,72,2,,2,26
Ambrosia,Vascular plants,pollen,NISP,,,9,2,1,2,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Apiaceae,Vascular plants,pollen,NISP,,,,1,,2,,,,,1,,,1,,,,18,13,10,7,9,1,,1,,,,,,,,,,,1
Asteraceae undiff.,Vascular plants,pollen,NISP,,,1,4,1,2,1,2,,2,3,2,,,5,2,4,5,5,4,15,8,3,,,,,,,,,5,1,,,7
Carya,Vascular plants,pollen,NISP,,,4,,,,,,,2,,,1,1,,,,,1,,1,,,,,,,,,,,,1,,,
