"name","group","element","units","context","S53533","S53535","S53537","S53539","S53541","S53543","S53545","S53547","S53549","S53551","S53553","S53555","S53557","S53559","S53561","S53563","S53565","S53567","S53569","S53571","S53573","S53575","S53577","S53579","S53581","S53583","S53585","S53587","S53589","S53591","S53593","S53595","S53597","S53599","S53601","S53603","S53605","S53607","S53609","S53611","S53613","S53615","S53617","S53619","S53621","S53623","S53625","S53627","S53629","S53631","S53633","S53635","S53637","S53639","S53641","S53643","S53645","S53647","S53649","S53651","S53653","S53655","S53657","S53659","S53661","S53663","S53665","S53667","S53669","S53671","S53673","S53675","S53677","S53679","S53681","S53683","S53685","S53687","S53689","S53691","S53693","S53695","S53697","S53699","S53701","S53703","S53705","S53707","S53709","S53711","S53713","S53715","S53717","S53719","S53721","S53722","S53723","S53724","S53725","S53726","S53727","S53728","S53729","S53730","S53731","S53732","S53733","S53734","S53735","S53736","S53737","S53738","S53739","S53740","S53741","S53742","S53743","S53744","S53745","S53746","S53747","S53748","S53749","S53750","S53751","S53752","S53753","S53754","S53755","S53756","S53757","S53758","S53759","S53760","S53761","S53762","S53763","S53764","S53765","S53766","S53767","S53768","S53769","S53770","S53771","S53772","S53773","S53774","S53775","S53776","S53777","S53778","S53779","S53780","S53781","S53782","S53783","S53784","S53785","S53786","S53787","S53788","S53789","S53790","S53791","S53792","S53793","S53794","S53795","S53796","S53797","S53798","S53799","S53800","S53801","S53802","S53803","S53804","S53805","S53806","S53807","S53808","S53809","S53810","S53811","S53812","S53813","S53814","S53815","S53816"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,2267,2269,2271,2273,2275,2279,2283,2287,2291,2295,2299,2303,2307,2311,2315,2320,2330,2340,2360,2380,2402,2422,2442,2462,2482,2503,2512,2522,2532,2542,2552,2562,2572,2582,2591,2602,2612,2622,2632,2642,2652,2662,2672,2682,2691,2702,2712,2722,2732,2742,2752,2762,2772,2782,2792,2798,2802,2812,2822,2832,2842,2852,2862,2872,2882,2892,2902,2912,2922,2932,2942,2952,2962,2972,2982,2992,3002,3012,3022,3025,3044,3051,3062,3072,3082,3092,3102,3112,3122,3132,3143,3151,3162,3172,3182,3192,3202,3212,3222,3225,3242,3251,3262,3272,3282,3292,3302,3312,3322,3332,3338,3342,3351,3362,3372,3382,3392,3402,3412,3422,3432,3442,3451,3462,3472,3482,3492,3502,3512,3522,3532,3542,3551,3562,3572,3582,3592,3602,3612,3622,3627,3642,3651,3662,3672,3682,3692,3702,3712,3722,3732,3749,3755,3759,3769,3779,3789,3799,3809,3819,3829,3838,3848,3858,3868,3876,3886,3896,3906,3916,3926,3936,3946,3955,3969,3977,3987,3997,4007,4017,4027,4032,4040,4050,4060,4070,4080,4100,4110,4120
Thickness,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,53533,53535,53537,53539,53541,53543,53545,53547,53549,53551,53553,53555,53557,53559,53561,53563,53565,53567,53569,53571,53573,53575,53577,53579,53581,53583,53585,53587,53589,53591,53593,53595,53597,53599,53601,53603,53605,53607,53609,53611,53613,53615,53617,53619,53621,53623,53625,53627,53629,53631,53633,53635,53637,53639,53641,53643,53645,53647,53649,53651,53653,53655,53657,53659,53661,53663,53665,53667,53669,53671,53673,53675,53677,53679,53681,53683,53685,53687,53689,53691,53693,53695,53697,53699,53701,53703,53705,53707,53709,53711,53713,53715,53717,53719,53721,53722,53723,53724,53725,53726,53727,53728,53729,53730,53731,53732,53733,53734,53735,53736,53737,53738,53739,53740,53741,53742,53743,53744,53745,53746,53747,53748,53749,53750,53751,53752,53753,53754,53755,53756,53757,53758,53759,53760,53761,53762,53763,53764,53765,53766,53767,53768,53769,53770,53771,53772,53773,53774,53775,53776,53777,53778,53779,53780,53781,53782,53783,53784,53785,53786,53787,53788,53789,53790,53791,53792,53793,53794,53795,53796,53797,53798,53799,53800,53801,53802,53803,53804,53805,53806,53807,53808,53809,53810,53811,53812,53813,53814,53815,53816
Grimm et al. 1993,Radiocarbon years BP,,,,--/-34/--,--/-7/--,--/20/--,--/48/--,--/75/--,--/130/--,--/185/--,--/241/--,--/297/--,--/353/--,--/409/--,--/465/--,--/522/--,--/579/--,--/636/--,--/708/--,--/853/--,--/999/--,--/1297/--,--/1601/--,--/1943/--,--/2260/--,--/2583/--,--/2912/--,--/3248/--,--/3608/--,--/3764/--,--/3939/--,--/4115/--,--/4293/--,--/4473/--,--/4654/--,--/4837/--,--/5021/--,--/5188/--,--/5394/--,--/5583/--,--/5774/--,--/5966/--,--/6160/--,--/6355/--,--/6552/--,--/6750/--,--/6950/--,--/7132/--,--/7355/--,--/7560/--,--/7766/--,--/7974/--,--/8183/--,--/8394/--,--/8606/--,--/8820/--,--/9036/--,--/9253/--,--/9384/--,--/9472/--,--/9692/--,--/9914/--,--/10137/--,--/10362/--,--/10589/--,--/10817/--,--/11046/--,--/11278/--,--/11510/--,--/11745/--,--/11981/--,--/12218/--,--/12457/--,--/12698/--,--/12940/--,--/13184/--,--/13429/--,--/13676/--,--/13924/--,--/14174/--,--/14426/--,--/14679/--,--/14755/--,--/15241/--,--/15422/--,--/15707/--,--/15968/--,--/16230/--,--/16494/--,--/16760/--,--/17027/--,--/17296/--,--/17566/--,--/17865/--,--/18084/--,--/18386/--,--/18663/--,--/18941/--,--/19221/--,--/19502/--,--/19785/--,--/20069/--,--/20155/--,--/20643/--,--/20903/--,--/21222/--,--/21514/--,--/21808/--,--/22104/--,--/22400/--,--/22699/--,--/22999/--,--/23300/--,--/23482/--,--/23604/--,--/23878/--,--/24214/--,--/24522/--,--/24832/--,--/25143/--,--/25455/--,--/25769/--,--/26085/--,--/26402/--,--/26721/--,--/27009/--,--/27363/--,--/27686/--,--/28012/--,--/28338/--,--/28666/--,--/28996/--,--/29327/--,--/29660/--,--/29994/--,--/30297/--,--/30668/--,--/31007/--,--/31348/--,--/31690/--,--/32034/--,--/32379/--,--/32726/--,--/32900/--,--/33424/--,--/33741/--,--/34129/--,--/34484/--,--/34840/--,--/35198/--,--/35557/--,--/35918/--,--/36281/--,--/36645/--,--/37268/--,--/37488/--,--/37636/--,--/38006/--,--/38377/--,--/38750/--,--/39125/--,--/39501/--,--/39879/--,--/40258/--,--/40600/--,--/40983/--,--/41367/--,--/41752/--,--/42061/--,--/42450/--,--/42839/--,--/43230/--,--/43623/--,--/44018/--,--/44414/--,--/44811/--,--/45170/--,--/45732/--,--/46054/--,--/46458/--,--/46863/--,--/47270/--,--/47679/--,--/48089/--,--/48295/--,--/48625/--,--/49039/--,--/49454/--,--/49871/--,--/50289/--,--/51131/--,--/51554/--,--/51979/--
Acalypha,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer negundo,Vascular plants,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,1,2,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,1,,,,1,1,,,2,,,,,,,
Acer rubrum,Vascular plants,pollen,NISP,,,2,,,2,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
Acer saccharum-type,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,2,1,2,1,,1,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,1,,,,,1,,3,1,1,,,,2,,1,,,,1,,,,,,3,,,,2,,1,1,,,,,,1,,1,,,1,,
