name,group,element,units,context,S13061,S13062,S13063,S13064,S13065,S13066,S13067,S13068,S13069,S13070,S13071,S13072,S13073,S13074,S13075,S13076,S13077,S13078,S13079,S13080,S13081,S13082,S13083,S13084,S13085,S13086,S13087,S13088,S13089,S13090,S13091,S13092,S13093,S13094,S13095,S13096,S13097,S13098,S13099,S13100,S13101,S13102,S13103,S13104,S13105,S13106,S13107,S13108,S13109,S13110,S13111,S13112,S13113,S13114,S13115,S13116,S13117,S13118,S13119,S13120,S13121,S13122,S13123,S13124,S13125,S13126,S13127,S13128,S13129,S13130,S13131,S13132,S13133,S13134,S13135
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,1,15,25,45,60,65,85,100,140,180,220,260,280,320,360,400,440,460,500,540,580,620,660,700,740,780,800,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1119,1120,1121,1122,1123,1124,1125,1145,1146,1147,1148,1158,1159,1160,1164,1165,1200,1240,1280,1320,1360,1400,1440,1480,1520,1560,1600,1640,1680,1720,1760,1800,1840,2002
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,13061,13062,13063,13064,13065,13066,13067,13068,13069,13070,13071,13072,13073,13074,13075,13076,13077,13078,13079,13080,13081,13082,13083,13084,13085,13086,13087,13088,13089,13090,13091,13092,13093,13094,13095,13096,13097,13098,13099,13100,13101,13102,13103,13104,13105,13106,13107,13108,13109,13110,13111,13112,13113,13114,13115,13116,13117,13118,13119,13120,13121,13122,13123,13124,13125,13126,13127,13128,13129,13130,13131,13132,13133,13134,13135
NAPD 1,Radiocarbon years BP,,,,--/-8/--,--/255/--,--/428/--,--/739/--,--/944/--,--/1008/--,--/1239/--,--/1391/--,--/1720/--,--/1965/--,--/2155/--,--/2317/--,--/2393/--,--/2550/--,--/2726/--,--/2936/--,--/3189/--,--/3335/--,--/3669/--,--/4064/--,--/4520/--,--/5040/--,--/5621/--,--/6260/--,--/6952/--,--/7692/--,--/8078/--,--/8877/--,--/9287/--,--/9704/--,--/10126/--,--/10552/--,--/10980/--,--/11410/--,--/11840/--,--/12270/--,--/12698/--,--/13122/--,--/13543/--,--/13958/--,--/14367/--,--/14748/--,--/14768/--,--/14788/--,--/14807/--,--/14827/--,--/14847/--,--/14867/--,--/15257/--,--/15276/--,--/15296/--,--/15315/--,--/15506/--,--/15525/--,--/15544/--,--/15619/--,--/15638/--,--/16278/--,--/16964/--,--/17598/--,--/18173/--,--/18689/--,--/19144/--,--/19538/--,--/19877/--,--/20164/--,--/20408/--,--/20620/--,--/20812/--,--/21002/--,--/21208/--,--/21455/--,--/21770/--,--/22182/--,--/25635/--
Abies,TRSH,pollen,NISP,,1,3,9,6,5,13,6,3,9,9,11,20,8,,7,4,7,10,9,16,20,24,42,35,66,36,38,98,65,44,88,84,59,77,30,23,37,14,14,16,14,10,17,14,11,14,7,,10,3,7,7,9,8,13,12,23,8,8,2,2,6,16,4,1,4,4,2,6,1,15,15,14,2,9
Acer macrophyllum-type,TRSH,pollen,NISP,,,,1,1,1,,2,,1,,1,8,,,,,1,1,1,1,8,10,7,6,3,12,2,3,2,1,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,1,,,,,
Alnus,TRSH,pollen,NISP,,226,307,310,407,233,292,113,22,42,78,43,94,67,135,49,55,41,42,92,90,83,62,44,104,74,132,86,206,166,117,143,113,193,77,58,5,22,11,7,6,15,4,3,4,10,2,7,21,4,8,3,16,1,1,11,6,5,8,13,8,6,14,5,6,14,,4,2,6,14,14,4,4,2,9
Amaranthaceae undiff.,UPHE,pollen,NISP,,1,2,3,,,,,,,,,,,3,,,,,1,1,,1,1,,,1,,,,1,,,,,,,1,1,4,,1,,1,,,,,,,2,1,,,,1,,1,2,4,5,2,5,,3,2,,1,1,1,1,1,1,,2,1
Ambrosia,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,4,2,6,8,1,1,,1,,1,,,2,,,,2,,1,,,,,1,,,,,,,,3,1,,2,,1,,,2,2,3,1,1,4,3,,,2,,,,1,1,4,1,1,1,2,,,,2,1,2,,1,1,1,1,,,2,3,2
Artemisia,UPHE,pollen,NISP,,3,2,2,1,,,,,1,1,1,1,,,,1,,1,,2,,,1,1,2,,,4,2,2,6,4,12,5,7,5,12,3,13,5,8,12,6,13,22,19,10,8,19,12,15,52,13,10,24,21,14,20,43,36,25,67,27,23,21,,21,26,19,17,29,15,22,36,16
Asteraceae subf. Asteroideae undiff.,UPHE,pollen,NISP,,2,,2,3,,,,,,,,2,,,,,,,1,,,,,,,,2,,1,1,,1,1,1,2,1,10,3,6,3,4,1,,2,6,3,5,9,1,2,3,7,,,6,5,4,5,10,2,5,6,8,7,17,,9,8,10,5,23,7,12,12,6
Asteraceae subf. Cichorioideae,UPHE,pollen,NISP,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,1,,,1,1,,,1,,,,,1,,,1,1,1,
