name,group,element,units,context,S34750,S34751,S34752,S34753,S34754,S34755,S34756,S34757,S34758,S34759,S34760,S34761,S34762,S34763,S34764,S34765,S34766,S34767,S34768,S34769,S34770,S34771,S34772,S34773,S34774,S34775,S34776,S34777,S34778,S34779,S34780,S34781,S34782,S34783
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,45.5,55.5,65.5,85.5,105.5,125.5,185.5,205.5,215.5,225.5,245.5,285.5,325.5,365.5,405.5,445.5,485.5,505.5,545.5,565.5,605.5,645.5,685.5,745.5,785.5,825.5,845.5,865.5,885.5,905.5,925.5,945.5,955.5,965.5
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,34750,34751,34752,34753,34754,34755,34756,34757,34758,34759,34760,34761,34762,34763,34764,34765,34766,34767,34768,34769,34770,34771,34772,34773,34774,34775,34776,34777,34778,34779,34780,34781,34782,34783
COHMAP chron 2,Radiocarbon years BP,,,,--/--/--,--/91/--,--/110/--,--/425/--,--/740/--,--/1055/--,--/2001/--,--/2209/--,--/2296/--,--/2382/--,--/2555/--,--/2901/--,--/3247/--,--/3593/--,--/3939/--,--/4285/--,--/4631/--,--/4792/--,--/5115/--,--/5276/--,--/5598/--,--/5920/--,--/6242/--,--/6725/--,--/7047/--,--/7369/--,--/7861/--,--/8462/--,--/9063/--,--/9665/--,--/10266/--,--/10867/--,--/11168/--,--/11469/--
Abies,TRSH,pollen,NISP,,,,,,,,2,,,1,,1,,,,,1,,,,,,,3,1,1,3,5,5,4,3,3,1,1
Acer rubrum,TRSH,pollen,NISP,,,,,,,1,,,,,1,,,,,,,,,,2,1,,,1,,,,1,,,,,
Acer saccharum-type,TRSH,pollen,NISP,,,1,2,,8,1,1,3,2,3,1,3,5,6,2,2,3,1,12,23,8,12,9,6,7,,2,3,12,15,8,8,10,3
Acer undiff.,TRSH,pollen,NISP,,,,,,,,,,,,2,,,,,,,,,,,,,,1,6,,,,,,,,
Alnus incana-type,TRSH,pollen,NISP,,2,3,5,5,2,3,5,3,4,2,6,6,5,2,2,4,1,2,3,2,1,1,1,,,3,3,2,3,2,,1,1,
Alnus viridis-type,TRSH,pollen,NISP,,,,,,,,1,,,,1,,,3,,,,,,,1,,,,,,2,,,,,,,
Amaranthaceae undiff.,UPHE,pollen,NISP,,4,2,5,3,3,2,3,11,3,16,10,6,5,22,4,5,22,9,8,21,13,15,8,10,13,12,11,2,3,5,2,5,3,
