depth	min	max	median	mean
21.5	7	433	170	179
22.5	14	449	184	194
23.5	19	466	197	209
24.5	23	481	212	224
25.5	28	504	226	239
26.5	38	522	241	254
27.5	51	539	257	270
28.5	60	558	271	285
29.5	68	582	288	301
30.5	76	607	303	316
31.5	88	626	319	331
32.5	104	644	334	347
33.5	116	657	350	362
34.5	126	675	366	377
35.5	134	691	382	392
36.5	144	710	398	407
37.5	158	728	413	423
38.5	171	742	429	438
39.5	181	764	445	454
40.5	190	789	461	469
41.5	201	806	476	484
42.5	217	823	491	500
43.5	231	835	507	515
44.5	242	852	522	530
45.5	253	873	539	546
46.5	265	893	554	561
47.5	280	908	567	576
48.5	294	926	584	592
49.5	306	946	600	607
50.5	318	965	617	622
51.5	329	979	632	637
52.5	344	996	648	652
53.5	357	1011	663	667
54.5	366	1025	678	682
55.5	375	1041	694	697
56.5	388	1060	708	712
57.5	407	1073	723	727
58.5	421	1087	738	742
59.5	433	1108	752	756
60.5	444	1127	768	771
61.5	455	1141	784	786
62.5	469	1152	798	800
63.5	483	1168	813	815
64.5	495	1184	827	830
65.5	509	1200	841	844
66.5	523	1218	855	859
67.5	536	1233	871	874
68.5	549	1246	885	889
69.5	563	1262	900	903
70.5	576	1281	917	918
71.5	592	1296	931	933
72.5	610	1310	947	948
73.5	625	1325	962	964
74.5	638	1336	979	979
75.5	650	1356	994	994
76.5	666	1371	1009	1010
77.5	687	1384	1025	1025
78.5	703	1400	1039	1040
79.5	715	1416	1054	1056
80.5	725	1434	1070	1071
81.5	740	1448	1086	1086
82.5	761	1462	1102	1101
83.5	773	1471	1116	1116
84.5	785	1485	1130	1131
85.5	795	1504	1147	1146
86.5	816	1522	1162	1161
87.5	833	1537	1175	1177
88.5	849	1552	1190	1192
89.5	867	1567	1206	1207
90.5	877	1580	1222	1222
91.5	894	1596	1237	1237
92.5	909	1609	1251	1252
93.5	923	1621	1266	1267
94.5	937	1634	1281	1282
95.5	947	1651	1296	1297
96.5	962	1669	1312	1312
97.5	979	1676	1327	1327
98.5	990	1689	1342	1342
99.5	1001	1701	1357	1358
100.5	1015	1715	1374	1373
101.5	1031	1729	1389	1388
102.5	1051	1743	1405	1403
103.5	1063	1756	1421	1418
104.5	1082	1772	1436	1434
105.5	1095	1792	1450	1449
106.5	1115	1810	1465	1464
107.5	1131	1822	1480	1480
108.5	1144	1840	1497	1496
109.5	1157	1852	1514	1511
110.5	1175	1866	1529	1527
111.5	1192	1880	1545	1542
112.5	1210	1891	1560	1558
113.5	1228	1902	1575	1573
114.5	1245	1918	1591	1588
115.5	1260	1936	1606	1604
116.5	1276	1952	1622	1619
117.5	1297	1964	1637	1635
118.5	1315	1978	1654	1651
119.5	1328	1995	1671	1666
120.5	1343	2014	1687	1682
121.5	1359	2025	1702	1698
122.5	1380	2035	1716	1714
123.5	1399	2047	1732	1730
124.5	1413	2054	1749	1746
125.5	1430	2069	1766	1762
126.5	1452	2085	1780	1777
127.5	1476	2094	1795	1792
128.5	1496	2103	1810	1807
129.5	1511	2114	1825	1822
130.5	1526	2127	1839	1837
131.5	1547	2137	1854	1852
132.5	1565	2148	1869	1867
133.5	1586	2158	1884	1883
134.5	1605	2170	1899	1898
135.5	1619	2184	1913	1913
136.5	1638	2197	1927	1929
137.5	1665	2205	1943	1944
138.5	1686	2215	1957	1959
139.5	1703	2226	1972	1974
140.5	1718	2236	1987	1989
141.5	1739	2246	2001	2004
142.5	1765	2252	2014	2019
143.5	1785	2260	2029	2034
144.5	1806	2269	2043	2049
145.5	1822	2281	2058	2064
146.5	1845	2290	2071	2079
147.5	1872	2295	2085	2095
148.5	1899	2302	2097	2110
149.5	1920	2311	2111	2126
150.5	1936	2325	2124	2141
151.5	1960	2342	2143	2160
152.5	1988	2362	2165	2181
153.5	2008	2392	2191	2203
154.5	2022	2430	2219	2225
155.5	2032	2470	2245	2246
156.5	2054	2498	2268	2268
157.5	2081	2515	2290	2291
158.5	2108	2533	2312	2313
159.5	2124	2559	2333	2336
160.5	2138	2589	2355	2359
161.5	2166	2615	2375	2381
162.5	2208	2630	2394	2404
163.5	2245	2645	2416	2427
164.5	2278	2663	2437	2449
165.5	2301	2688	2456	2472
166.5	2327	2711	2478	2495
167.5	2351	2734	2501	2518
168.5	2365	2766	2525	2541
169.5	2377	2803	2549	2564
170.5	2385	2845	2573	2587
171.5	2402	2882	2596	2609
172.5	2416	2906	2618	2631
173.5	2429	2935	2640	2653
174.5	2440	2976	2663	2675
175.5	2450	3021	2684	2697
176.5	2466	3057	2707	2719
177.5	2486	3075	2730	2742
178.5	2502	3105	2755	2765
179.5	2516	3136	2779	2788
180.5	2528	3173	2802	2811
181.5	2547	3200	2824	2834
182.5	2567	3225	2845	2856
183.5	2581	3244	2867	2878
184.5	2595	3270	2888	2900
185.5	2606	3304	2911	2923
186.5	2621	3332	2933	2944
187.5	2639	3353	2956	2966
188.5	2656	3381	2976	2987
189.5	2670	3410	3000	3008
190.5	2680	3433	3021	3030
191.5	2698	3457	3040	3051
192.5	2717	3480	3060	3072
193.5	2736	3501	3080	3092
194.5	2752	3527	3101	3113
195.5	2767	3557	3123	3134
196.5	2785	3584	3145	3155
197.5	2804	3603	3166	3176
198.5	2825	3623	3186	3197
199.5	2839	3657	3209	3218
200.5	2851	3682	3231	3239
201.5	2868	3712	3253	3261
202.5	2891	3728	3274	3282
203.5	2911	3747	3295	3304
204.5	2928	3775	3318	3326
205.5	2949	3798	3342	3348
206.5	2968	3816	3363	3370
207.5	2989	3836	3388	3391
208.5	3007	3854	3411	3413
209.5	3029	3875	3434	3435
210.5	3046	3893	3456	3457
211.5	3065	3915	3477	3479
212.5	3089	3933	3497	3500
213.5	3108	3953	3519	3522
214.5	3130	3970	3540	3543
215.5	3144	3995	3564	3565
216.5	3167	4008	3586	3587
217.5	3196	4027	3609	3609
218.5	3218	4048	3631	3631
219.5	3243	4066	3651	3652
220.5	3260	4084	3675	3674
221.5	3279	4103	3697	3696
222.5	3303	4120	3718	3717
223.5	3325	4137	3741	3739
224.5	3344	4160	3766	3760
225.5	3361	4183	3789	3782
226.5	3380	4205	3811	3803
227.5	3401	4218	3831	3825
228.5	3425	4238	3854	3846
229.5	3451	4254	3875	3867
230.5	3468	4277	3897	3889
231.5	3493	4295	3917	3910
232.5	3518	4313	3940	3931
233.5	3538	4327	3961	3952
234.5	3555	4345	3982	3973
235.5	3572	4363	4004	3994
236.5	3596	4382	4025	4016
237.5	3625	4396	4048	4037
238.5	3648	4413	4069	4059
239.5	3671	4432	4091	4081
240.5	3689	4453	4114	4103
241.5	3713	4476	4134	4124
