depth	min	max	median	mean
1.5	4446	4705	4573	4575
2.5	4461	4713	4586	4587
3.5	4471	4722	4600	4600
4.5	4481	4731	4614	4613
5.5	4490	4749	4626	4625
6.5	4507	4761	4641	4638
7.5	4529	4766	4657	4652
8.5	4549	4771	4674	4666
9.5	4564	4779	4690	4679
10.5	4574	4787	4705	4693
11.5	4587	4794	4721	4707
12.5	4603	4798	4739	4721
13.5	4615	4803	4757	4734
14.5	4629	4810	4772	4748
15.5	4643	4824	4784	4762
16.5	4669	4841	4797	4779
17.5	4710	4859	4812	4800
18.5	4751	4884	4825	4821
19.5	4785	4919	4837	4842
20.5	4813	4955	4852	4863
21.5	4850	4992	4883	4896
22.5	4881	5035	4935	4942
23.5	4896	5086	4986	4989
24.5	4911	5153	5034	5035
25.5	4926	5226	5082	5081
26.5	4970	5271	5131	5127
27.5	5040	5284	5178	5173
28.5	5104	5308	5224	5219
29.5	5159	5353	5269	5265
30.5	5202	5417	5306	5312
31.5	5249	5457	5338	5349
32.5	5304	5469	5369	5378
33.5	5343	5488	5401	5407
34.5	5367	5516	5434	5436
35.5	5382	5549	5465	5465
36.5	5408	5578	5491	5491
37.5	5442	5589	5514	5515
38.5	5467	5602	5539	5538
39.5	5486	5624	5564	5561
40.5	5497	5655	5588	5585
41.5	5519	5678	5608	5606
42.5	5547	5693	5625	5625
43.5	5567	5715	5643	5644
44.5	5582	5750	5662	5663
45.5	5603	5789	5681	5682
46.5	5632	5813	5706	5706
47.5	5666	5830	5736	5734
48.5	5690	5848	5765	5763
49.5	5707	5870	5794	5792
50.5	5721	5904	5822	5820
51.5	5744	5930	5850	5847
52.5	5768	5941	5880	5873
53.5	5785	5958	5908	5898
54.5	5800	5986	5934	5923
55.5	5812	6030	5955	5948
56.5	5845	6061	5977	5972
57.5	5894	6078	5997	5995
58.5	5937	6101	6017	6018
59.5	5966	6130	6036	6041
60.5	5980	6165	6058	6064
61.5	5997	6189	6078	6085
62.5	6017	6197	6100	6103
63.5	6033	6208	6121	6121
64.5	6046	6226	6140	6139
65.5	6055	6248	6159	6158
66.5	6079	6268	6178	6177
67.5	6111	6276	6200	6198
68.5	6139	6287	6223	6219
69.5	6160	6299	6246	6240
70.5	6179	6318	6271	6261
71.5	6204	6335	6291	6282
72.5	6234	6347	6310	6303
73.5	6258	6366	6327	6323
74.5	6277	6390	6346	6344
75.5	6295	6417	6366	6364
76.5	6313	6436	6383	6381
77.5	6328	6450	6398	6395
78.5	6340	6468	6414	6408
79.5	6348	6493	6426	6422
80.5	6356	6518	6438	6435
81.5	6367	6539	6451	6450
82.5	6378	6555	6467	6466
83.5	6387	6578	6481	6482
84.5	6395	6607	6497	6498
85.5	6402	6641	6512	6514
86.5	6414	6663	6526	6530
87.5	6430	6680	6543	6546
88.5	6442	6695	6560	6562
89.5	6453	6716	6577	6578
90.5	6462	6738	6593	6594
91.5	6477	6754	6609	6610
92.5	6497	6770	6625	6626
93.5	6509	6785	6641	6642
94.5	6523	6804	6658	6657
95.5	6536	6823	6674	6673
96.5	6556	6840	6688	6689
97.5	6577	6853	6702	6705
98.5	6593	6866	6717	6721
99.5	6606	6879	6733	6737
