depth	min95%	max95%	best	accrate
21	9	470	277	-22.21
22	-10	441	255	-21.42
23	-44	435	233	-20.63
24	-81	430	213	-19.84
25	-116	428	193	-19.06
26	-151	435	174	-18.29
27	-186	446	155	-17.52
28	-233	458	138	-16.76
29	-278	474	121	-16
30	-311	486	105	-15.25
31	-343	502	90	-14.5
32	-377	527	75	-13.77
33	-412	544	62	-13.03
34	-450	557	49	-12.3
35	-487	573	36	-11.58
36	-526	591	25	-10.87
37	-563	614	14	-10.15
38	-592	637	4	-9.45
39	-622	656	-6	-8.75
40	-652	674	-14	-8.06
41	-685	693	-23	-7.37
42	-720	711	-30	-6.69
43	-746	733	-37	-6.01
44	-771	748	-43	-5.34
45	-795	769	-48	-4.68
46	-822	791	-53	-4.02
47	-845	812	-57	-3.36
48	-866	829	-60	-2.72
49	-885	844	-63	-2.07
50	-906	859	-65	-1.44
51	-924	876	-66	-0.81
52	-942	896	-67	-0.18
53	-958	916	-67	0.44
54	-973	935	-67	1.05
55	-986	953	-66	1.66
56	-999	968	-64	2.26
57	-1010	983	-62	2.85
58	-1020	998	-59	3.45
59	-1028	1013	-56	4.03
60	-1036	1028	-52	4.61
61	-1042	1043	-47	5.18
62	-1048	1058	-42	5.75
63	-1052	1072	-36	6.31
64	-1056	1087	-30	6.87
65	-1057	1103	-23	7.42
66	-1057	1121	-15	7.96
67	-1056	1140	-7	8.5
68	-1054	1159	1	9.03
69	-1051	1178	10	9.56
70	-1047	1196	20	10.08
71	-1041	1215	30	10.6
72	-1034	1233	40	11.11
73	-1026	1250	51	11.61
74	-1018	1268	63	12.11
75	-1008	1286	75	12.6
76	-997	1300	88	13.09
77	-984	1315	101	13.57
78	-971	1329	114	14.05
79	-957	1343	129	14.52
80	-941	1357	143	14.98
81	-923	1371	158	15.44
82	-904	1384	173	15.89
83	-885	1398	189	16.34
84	-864	1411	206	16.78
85	-843	1424	222	17.22
86	-821	1438	240	17.65
87	-799	1451	257	18.07
88	-776	1464	275	18.49
89	-752	1477	294	18.9
90	-728	1490	313	19.31
91	-702	1502	332	19.71
92	-676	1514	352	20.11
93	-648	1526	372	20.5
94	-620	1537	392	20.88
95	-591	1549	413	21.26
96	-562	1560	435	21.63
97	-531	1572	456	22
98	-500	1583	478	22.36
99	-468	1594	501	22.72
100	-435	1607	523	23.07
101	-402	1621	546	23.41
102	-368	1634	570	23.75
103	-333	1647	594	24.08
104	-298	1660	618	24.41
105	-261	1673	642	24.73
106	-225	1686	667	25.04
107	-187	1698	692	25.35
108	-149	1710	717	25.66
109	-110	1721	743	25.96
110	-71	1733	769	26.25
111	-31	1745	795	26.53
112	9	1757	822	26.82
113	50	1768	848	27.09
114	92	1780	875	27.36
115	134	1791	903	27.62
116	177	1802	930	27.88
117	220	1814	958	28.13
118	264	1826	986	28.38
119	308	1838	1015	28.62
120	353	1851	1043	28.86
121	398	1861	1072	29.09
122	443	1871	1101	29.31
123	489	1883	1131	29.53
124	536	1896	1160	29.74
125	583	1909	1190	29.95
126	630	1922	1220	30.15
127	677	1936	1250	30.34
128	724	1949	1280	30.53
129	771	1962	1311	30.71
130	820	1976	1342	30.89
131	870	1989	1373	31.06
132	920	2002	1404	31.23
133	970	2016	1435	31.39
134	1020	2029	1466	31.55
135	1070	2042	1498	31.7
136	1120	2056	1529	31.84
137	1171	2069	1561	31.98
138	1223	2083	1593	32.11
139	1274	2096	1625	32.23
140	1326	2106	1658	32.36
141	1377	2116	1690	32.47
142	1429	2129	1722	32.58
143	1479	2138	1755	32.68
144	1529	2153	1788	32.78
145	1581	2171	1820	32.87
