depth	min95%	max95%	best	accrate
21	3	453	264	6.8
22	11	459	270	13.61
23	26	471	284	13.61
24	42	484	298	13.61
25	57	496	311	13.61
26	72	509	325	13.61
27	88	521	338	13.61
28	103	534	352	13.61
29	118	546	366	13.61
30	133	558	379	13.61
31	148	570	393	13.61
32	163	583	406	13.61
33	179	596	420	13.61
34	195	607	434	13.61
35	210	620	447	13.61
36	225	633	461	13.61
37	240	646	474	13.61
38	256	659	488	13.61
39	271	672	502	13.61
40	286	685	515	13.61
41	301	697	529	13.61
42	316	710	543	13.61
43	332	722	556	13.61
44	347	735	570	13.61
45	362	747	583	13.61
46	378	760	597	13.61
47	393	773	611	13.61
48	407	785	624	13.61
49	422	798	638	13.61
50	437	813	651	13.61
51	451	826	665	13.61
52	467	840	679	13.61
53	482	853	692	13.61
54	497	866	706	13.61
55	512	879	719	13.61
56	527	891	733	13.61
57	542	903	747	13.61
58	557	916	760	13.61
59	572	929	774	13.61
60	587	943	787	13.61
61	602	956	801	13.61
62	618	969	815	13.61
63	633	983	828	13.61
64	648	996	842	13.61
65	663	1009	855	13.61
66	678	1022	869	13.61
67	693	1035	883	13.61
68	709	1048	896	13.61
69	724	1061	910	13.61
70	739	1074	923	13.61
71	754	1087	937	13.61
72	769	1100	951	13.61
73	784	1113	964	13.61
74	800	1126	978	13.61
75	815	1139	992	13.61
76	830	1153	1005	13.61
77	845	1166	1019	13.61
78	860	1179	1032	13.61
79	875	1192	1046	13.61
80	890	1205	1060	13.61
81	906	1219	1073	13.61
82	921	1232	1087	13.61
83	936	1245	1100	13.61
84	951	1258	1114	13.61
85	966	1271	1128	13.61
86	981	1285	1141	13.61
87	996	1299	1155	13.61
88	1012	1312	1168	13.61
89	1027	1325	1182	13.61
90	1042	1338	1196	13.61
91	1057	1351	1209	13.61
92	1072	1364	1223	13.61
93	1086	1379	1236	13.61
94	1100	1392	1250	13.61
95	1114	1405	1264	13.61
96	1129	1419	1277	13.61
97	1144	1432	1291	13.61
98	1160	1445	1304	13.61
99	1175	1458	1318	13.61
100	1190	1472	1332	13.61
101	1204	1486	1345	13.61
102	1219	1499	1359	13.61
103	1234	1512	1372	13.61
104	1249	1525	1386	13.61
105	1265	1538	1400	13.61
106	1280	1551	1413	13.61
107	1295	1565	1427	13.61
108	1310	1580	1441	13.61
109	1325	1595	1454	13.61
110	1339	1610	1468	13.61
111	1353	1627	1481	13.61
112	1367	1643	1495	13.61
113	1382	1659	1509	13.61
114	1395	1675	1522	13.61
115	1408	1690	1536	13.61
116	1422	1706	1549	13.61
117	1435	1722	1563	13.61
118	1450	1738	1577	13.61
119	1465	1754	1590	13.61
120	1479	1770	1604	13.61
121	1492	1786	1617	13.61
122	1506	1802	1631	13.61
123	1519	1818	1645	13.61
