depth	min95%	max95%	best	accrate
21	-290	358	150	14.19
22	-272	370	164	14.22
23	-253	383	178	14.25
24	-235	395	193	14.28
25	-216	406	207	14.31
26	-197	419	221	14.34
27	-177	431	236	14.37
28	-157	443	250	14.4
29	-137	456	264	14.43
30	-117	470	279	14.46
31	-97	483	293	14.49
32	-77	497	308	14.51
33	-57	511	322	14.54
34	-38	524	337	14.57
35	-20	537	351	14.6
36	-1	551	366	14.63
37	17	564	381	14.66
38	36	577	395	14.69
39	54	591	410	14.72
40	71	604	425	14.75
41	89	618	439	14.78
42	106	632	454	14.81
43	124	646	469	14.84
44	141	659	484	14.87
45	159	673	499	14.9
46	176	687	514	14.93
47	194	701	528	14.96
48	212	715	543	14.99
49	229	729	558	15.02
50	247	745	573	15.04
51	266	759	588	15.07
52	284	775	604	15.1
53	302	791	619	15.13
54	318	807	634	15.16
55	335	822	649	15.19
56	353	837	664	15.22
57	372	851	679	15.25
58	391	866	695	15.28
59	410	881	710	15.31
60	429	895	725	15.34
61	448	910	741	15.37
62	466	925	756	15.4
63	483	939	771	15.43
64	501	954	787	15.46
65	519	969	802	15.49
66	537	984	818	15.52
67	555	999	833	15.54
68	573	1013	849	15.57
69	591	1028	864	15.6
70	610	1043	880	15.63
71	629	1058	896	15.66
72	648	1073	911	15.69
73	668	1088	927	15.72
74	687	1103	943	15.75
75	706	1118	958	15.78
76	725	1133	974	15.81
77	744	1149	990	15.84
78	763	1164	1006	15.87
79	781	1179	1022	15.9
80	799	1196	1038	15.93
81	818	1211	1053	15.96
82	836	1226	1069	15.98
83	854	1241	1085	16.01
84	872	1257	1101	16.04
85	892	1273	1117	16.07
86	911	1290	1134	16.1
87	930	1307	1150	16.13
88	949	1323	1166	16.16
89	969	1340	1182	16.19
90	988	1356	1198	16.22
91	1009	1373	1214	16.25
92	1029	1389	1231	16.28
93	1048	1406	1247	16.31
94	1067	1423	1263	16.34
95	1085	1439	1280	16.37
96	1104	1455	1296	16.4
97	1123	1470	1312	16.42
98	1143	1486	1329	16.45
99	1162	1501	1345	16.48
100	1180	1517	1362	16.51
101	1198	1533	1378	16.54
102	1217	1548	1395	16.57
103	1235	1564	1411	16.6
104	1252	1580	1428	16.63
105	1269	1597	1445	16.66
106	1286	1613	1461	16.69
107	1304	1630	1478	16.72
108	1321	1647	1495	16.75
109	1340	1664	1511	16.78
110	1361	1682	1528	16.81
111	1378	1699	1545	16.84
112	1396	1715	1562	16.86
113	1414	1732	1579	16.89
114	1431	1749	1596	16.92
115	1449	1766	1612	16.95
116	1469	1783	1629	16.98
