depth	min95%	max95%	best	accrate
21	-678	142	-134	18.04
22	-657	159	-116	18.04
23	-636	176	-98	18.04
24	-615	193	-80	18.04
25	-594	210	-62	18.04
26	-573	227	-44	18.04
27	-552	244	-26	18.04
28	-531	261	-8	18.04
29	-510	277	10	18.04
30	-489	294	28	18.04
31	-468	310	46	18.04
32	-447	327	64	18.05
33	-426	344	82	18.05
34	-405	361	100	18.05
35	-384	378	118	18.05
36	-362	395	136	18.05
37	-341	412	154	18.06
38	-320	429	172	18.06
39	-299	445	190	18.06
40	-278	462	208	18.06
41	-256	479	226	18.07
42	-235	496	245	18.07
43	-213	513	263	18.07
44	-192	530	281	18.08
45	-171	547	299	18.08
46	-149	564	317	18.08
47	-128	581	335	18.09
48	-106	598	353	18.09
49	-85	615	371	18.1
50	-64	631	389	18.1
51	-43	648	407	18.11
52	-22	665	425	18.11
53	-1	681	444	18.12
54	20	698	462	18.12
55	41	715	480	18.13
56	62	731	498	18.13
57	83	749	516	18.14
58	104	766	534	18.14
59	125	782	552	18.15
60	146	799	570	18.15
61	167	815	589	18.16
62	188	832	607	18.17
63	209	849	625	18.17
64	230	866	643	18.18
65	251	883	661	18.18
66	272	900	679	18.19
67	293	917	698	18.2
68	314	934	716	18.21
69	335	951	734	18.21
70	356	969	752	18.22
71	377	986	770	18.23
72	399	1003	789	18.24
73	420	1020	807	18.24
74	440	1038	825	18.25
75	462	1055	843	18.26
76	483	1073	862	18.27
77	504	1091	880	18.28
78	525	1109	898	18.29
79	546	1126	917	18.29
80	568	1144	935	18.3
81	589	1161	953	18.31
82	611	1178	971	18.32
83	632	1195	990	18.33
84	654	1212	1008	18.34
85	675	1230	1026	18.35
86	697	1247	1045	18.36
87	718	1264	1063	18.37
88	740	1282	1082	18.38
89	761	1299	1100	18.39
90	782	1317	1118	18.4
91	803	1334	1137	18.41
92	825	1352	1155	18.42
93	846	1370	1174	18.43
94	867	1387	1192	18.45
95	889	1405	1210	18.46
96	910	1422	1229	18.47
97	931	1440	1247	18.48
98	953	1457	1266	18.49
99	974	1475	1284	18.5
100	996	1492	1303	18.52
101	1017	1509	1321	18.53
102	1039	1527	1340	18.54
103	1060	1544	1358	18.55
104	1081	1562	1377	18.57
105	1103	1580	1396	18.58
106	1124	1597	1414	18.59
107	1146	1615	1433	18.6
108	1167	1632	1451	18.62
109	1188	1650	1470	18.63
110	1209	1667	1489	18.64
111	1231	1685	1507	18.66
112	1252	1703	1526	18.67
113	1274	1720	1545	18.69
114	1295	1738	1563	18.7
115	1316	1756	1582	18.71
116	1337	1773	1601	18.73
117	1357	1791	1619	18.74
118	1378	1810	1638	18.76
119	1399	1828	1657	18.77
120	1420	1846	1676	18.79
121	1441	1864	1694	18.8
122	1462	1882	1713	18.82
123	1483	1900	1732	18.84
124	1505	1918	1751	18.85
125	1526	1936	1770	18.87
126	1547	1955	1789	18.88
127	1569	1973	1807	18.9
128	1590	1991	1826	18.92
129	1611	2009	1845	18.93
130	1633	2027	1864	18.95
131	1654	2045	1883	18.97
132	1675	2064	1902	18.98
133	1696	2082	1921	19
134	1717	2100	1940	19.02
135	1739	2119	1959	19.03
136	1760	2137	1978	19.05
137	1782	2155	1997	19.07
138	1803	2174	2016	19.09
139	1823	2192	2035	19.11
140	1844	2210	2054	19.12
141	1866	2229	2074	19.14
142	1887	2247	2093	19.16
143	1909	2265	2112	19.18
144	1930	2283	2131	19.2
145	1950	2302	2150	19.22
146	1971	2320	2169	19.24
147	1992	2338	2189	19.26
148	2013	2357	2208	19.28
149	2034	2375	2227	19.29
150	2055	2394	2247	19.31
151	2076	2412	2266	19.33
152	2097	2431	2285	19.35
153	2118	2449	2305	19.37
154	2139	2468	2324	19.39
155	2160	2486	2343	19.41
156	2181	2505	2363	19.43
157	2202	2524	2382	19.46
158	2224	2543	2402	19.48
159	2245	2561	2421	19.5
160	2267	2580	2441	19.52
161	2288	2599	2460	19.54
162	2310	2618	2480	19.56
163	2331	2637	2499	19.58
164	2352	2656	2519	19.6
165	2373	2676	2538	19.62
166	2394	2696	2558	19.64
167	2415	2716	2578	19.66
168	2437	2735	2597	19.68
169	2458	2754	2617	19.7
170	2480	2774	2637	19.72
171	2502	2794	2656	19.74
172	2524	2813	2676	19.76
173	2545	2832	2696	19.78
174	2567	2851	2716	19.8
175	2588	2870	2735	19.82
176	2610	2889	2755	19.84
177	2631	2908	2775	19.86
178	2653	2927	2795	19.88
179	2675	2947	2815	19.91
180	2697	2966	2835	19.93
181	2718	2986	2855	19.95
182	2740	3005	2875	19.97
183	2762	3024	2895	19.99
184	2784	3043	2915	20.01
185	2806	3064	2935	20.03
186	2828	3083	2955	20.05
187	2850	3103	2975	20.07
188	2872	3122	2995	20.09
189	2893	3142	3015	20.11
190	2915	3162	3035	20.13
191	2936	3182	3055	20.15
192	2958	3202	3075	20.18
193	2979	3222	3095	20.2
194	3001	3242	3116	20.22
195	3023	3260	3136	20.24
196	3044	3280	3156	20.26
197	3065	3300	3176	20.28
198	3086	3321	3197	20.3
199	3106	3342	3217	20.32
200	3128	3362	3237	20.34
201	3149	3382	3258	20.36
202	3170	3402	3278	20.38
203	3191	3422	3298	20.41
204	3212	3442	3319	20.43
205	3233	3462	3339	20.45
206	3255	3481	3360	20.47
207	3277	3501	3380	20.49
208	3298	3521	3401	20.51
209	3319	3542	3421	20.53
210	3341	3563	3442	20.55
211	3362	3583	3462	20.57
212	3384	3603	3483	20.6
213	3405	3624	3503	20.62
214	3426	3644	3524	20.64
215	3447	3664	3545	20.66
216	3469	3684	3565	20.68
217	3490	3705	3586	20.7
218	3511	3725	3607	20.72
219	3532	3745	3627	20.74
220	3554	3765	3648	20.77
221	3575	3785	3669	20.79
222	3596	3806	3690	20.81
223	3617	3826	3710	20.83
224	3638	3846	3731	20.85
225	3659	3867	3752	20.87
226	3680	3887	3773	20.89
227	3702	3908	3794	20.91
228	3723	3929	3815	20.94
229	3744	3949	3836	20.96
230	3765	3970	3857	20.98
231	3787	3990	3878	21
232	3808	4011	3899	21.02
233	3829	4031	3920	21.04
234	3851	4052	3941	21.06
235	3872	4073	3962	21.09
236	3893	4093	3983	21.11
237	3915	4114	4004	21.13
238	3936	4134	4025	21.15
239	3957	4155	4046	21.17
240	3979	4176	4068	21.19
241	4000	4197	4089	21.22
242	4022	4217	4110	21.24
243	4044	4238	4131	21.26
244	4065	4258	4152	21.28
245	4086	4279	4174	21.3
246	4108	4299	4195	21.32
247	4129	4320	4216	21.34
248	4151	4341	4238	21.37
249	4173	4362	4259	21.39
250	4194	4384	4280	21.41
251	4216	4405	4302	21.43
252	4238	4426	4323	21.45
253	4260	4447	4345	21.48
254	4281	4468	4366	21.5
255	4302	4489	4388	21.52
256	4324	4510	4409	21.54
257	4345	4531	4431	21.56
258	4367	4552	4452	21.58
259	4389	4573	4474	21.61
260	4411	4595	4495	21.63
261	4432	4616	4517	21.65
262	4454	4638	4539	21.67
263	4477	4659	4560	21.69
264	4499	4680	4582	21.72
265	4521	4702	4604	21.74
266	4543	4723	4626	21.76
267	4565	4744	4647	21.78
268	4586	4765	4669	21.8
269	4608	4786	4691	21.83
270	4630	4807	4713	21.85
