depth	min95%	max95%	best	accrate
0	-59	-40	-50	5.9
1	-54	-34	-44	5.9
2	-50	-25	-38	5.9
3	-47	-16	-32	5.9
4	-44	-6	-27	5.9
5	-41	3	-21	5.9
6	-38	13	-15	5.9
7	-36	22	-9	5.9
8	-33	32	-3	5.9
9	-31	42	3	5.9
10	-28	52	9	5.9
11	-26	62	15	5.9
12	-24	72	21	5.9
13	-21	82	27	5.9
14	-19	92	32	5.9
15	-17	103	38	5.9
16	-15	113	44	5.9
17	-12	123	50	5.9
18	-10	133	56	5.9
19	-8	143	62	5.9
20	-6	153	68	5.9
21	-3	163	74	5.9
22	-1	173	80	5.9
23	1	183	86	5.9
24	3	194	91	5.9
25	6	204	97	5.9
26	9	214	103	5.9
27	11	225	109	5.9
28	13	235	115	5.9
29	15	245	121	5.9
30	18	255	127	5.9
31	20	265	133	3
32	24	267	136	3
33	27	269	139	3
34	31	271	142	3
35	35	272	145	3
36	39	274	148	3
37	43	275	151	3
38	47	277	154	3
39	52	279	157	3
40	56	282	160	3
41	61	284	163	3
42	64	285	166	3
43	68	288	169	3
44	72	290	172	3
45	75	292	175	3
46	78	294	178	3
47	81	296	181	3
48	85	299	184	3
49	89	301	187	3
50	92	303	190	3
51	95	305	193	3
52	98	307	196	3
53	101	310	199	3
54	105	311	202	3
55	107	314	205	3
56	110	316	208	3
57	114	318	211	3
58	117	321	214	3
59	120	323	217	3
60	123	325	220	3
61	126	328	223	3
62	129	330	226	3
63	131	332	229	3
64	134	335	232	3
65	137	337	235	3
66	140	339	238	3
67	143	342	241	3
68	146	344	244	3
69	149	346	247	3
70	152	349	250	3
71	156	351	253	3
72	159	353	256	3
73	162	355	259	3
74	165	358	262	3
75	168	360	265	3
76	171	362	268	3
77	174	365	271	3
78	177	368	274	3
79	180	370	277	3
80	183	373	280	3
81	186	375	283	3
82	189	377	286	3
83	192	380	289	3
84	195	382	292	3
85	198	384	295	3
86	201	387	298	3
87	204	389	301	3
88	207	391	304	3
89	210	394	307	3
90	212	396	310	3
91	215	398	313	3
92	218	401	316	3
93	221	403	319	3
94	224	405	322	3
95	227	408	325	3
96	230	410	328	3
97	232	413	331	3
98	235	415	334	3
99	237	417	337	3
100	240	420	340	3
101	243	423	343	3
102	246	425	346	3
103	248	428	349	3
104	251	431	352	3
105	254	433	355	3
106	256	436	358	3
107	259	438	361	3
108	262	441	364	3
109	264	444	367	3
110	267	446	370	3
111	270	448	373	3
112	272	451	376	3
113	275	453	379	3
114	277	456	382	3
115	280	458	385	3
116	283	461	388	3
117	285	463	391	3
118	288	466	394	3
119	292	469	397	3
120	294	473	400	3
121	297	475	403	3
122	299	478	406	3
123	302	481	409	3
124	305	484	412	3
125	307	487	415	3
126	310	490	418	3
127	312	493	421	3
128	314	495	424	3
129	316	498	427	3
130	317	501	430	3
131	319	506	433	3
132	321	509	436	3
133	323	512	439	3
134	324	515	442	3
135	327	519	445	5.83
136	333	524	451	5.83
137	339	530	457	5.83
138	346	535	462	5.83
139	352	541	468	5.83
140	359	547	474	5.83
141	365	553	480	5.83
142	372	558	486	5.83
143	379	564	492	5.83
144	385	570	497	5.83
145	392	575	503	5.83
146	398	581	509	5.83
147	405	587	515	5.83
148	411	593	521	5.83
149	417	598	527	5.83
150	424	604	532	5.83
151	430	609	538	5.83
152	436	615	544	5.83
153	442	620	550	5.83
154	449	626	556	5.83
155	455	631	562	5.83
156	461	637	567	5.83
157	468	643	573	5.83
158	474	648	579	5.83
159	480	654	585	5.83
160	487	660	591	5.83
161	493	665	597	5.83
162	499	671	602	5.83
163	506	677	608	5.83
164	512	683	614	5.83
165	518	689	620	5.83
166	525	695	626	5.83
167	531	700	632	5.83
168	538	706	637	5.83
169	544	712	643	5.83
170	551	718	649	5.83
171	557	724	655	5.83
172	563	729	661	5.83
173	570	735	667	5.83
174	576	741	672	5.83
175	582	747	678	5.83
176	589	753	684	5.83
177	595	759	690	5.83
178	601	765	696	5.83
179	607	771	702	5.83
180	614	776	707	5.83
181	620	782	713	5.83
182	626	788	719	5.83
183	633	794	725	5.83
184	639	800	731	5.83
185	645	806	737	5.83
186	651	812	742	5.83
187	658	818	748	5.83
188	664	824	754	5.83
189	670	829	760	5.83
190	676	835	766	5.83
191	683	842	772	5.83
192	689	848	777	5.83
193	695	854	783	5.83
194	701	860	789	5.83
195	707	866	795	5.83
196	714	872	801	5.83
197	720	878	807	5.83
198	726	884	812	5.83
199	732	890	818	5.83
200	739	896	824	5.83
201	745	902	830	5.83
202	751	908	836	5.83
203	757	914	842	5.83
204	764	920	847	5.83
205	770	926	853	5.83
206	776	932	859	5.83
207	782	938	865	5.83
208	789	945	871	5.83
209	795	951	877	5.83
210	801	958	882	5.83
211	807	964	888	5.83
212	813	970	894	5.83
213	819	976	900	5.83
214	825	982	906	5.83
215	831	989	912	5.83
216	837	995	917	5.83
217	844	1001	923	5.83
218	850	1007	929	5.83
219	856	1014	935	5.83
220	862	1020	941	5.83
221	868	1026	947	5.83
222	874	1032	953	5.83
223	881	1038	958	5.83
224	887	1044	964	5.83
225	893	1050	970	5.83
226	899	1057	976	5.83
227	905	1063	982	5.83
228	912	1069	988	5.83
229	917	1076	993	5.83
230	923	1082	999	5.83
231	929	1088	1005	5.83
232	935	1095	1011	5.83
233	940	1101	1017	5.83
234	947	1107	1023	5.83
235	953	1113	1028	5.83
236	959	1119	1034	5.83
237	966	1126	1040	5.83
238	972	1132	1046	5.83
239	978	1138	1052	5.83
240	985	1144	1058	5.83
241	991	1150	1063	5.83
242	998	1156	1069	5.83
243	1004	1163	1075	5.83
244	1010	1169	1081	5.83
245	1017	1175	1087	5.83
246	1023	1181	1093	5.83
247	1029	1187	1098	5.83
248	1035	1194	1104	5.83
249	1041	1200	1110	5.83
250	1047	1206	1116	5.83
251	1053	1213	1122	5.83
252	1060	1219	1128	5.83
253	1066	1225	1133	5.83
254	1072	1231	1139	5.83
255	1078	1237	1145	5.83
256	1083	1244	1151	5.83
257	1089	1250	1157	5.83
258	1094	1256	1163	5.83
259	1100	1263	1168	5.83
260	1106	1269	1174	5.83
261	1112	1275	1180	5.83
262	1117	1282	1186	5.83
263	1122	1288	1192	5.83
264	1129	1294	1198	5.83
265	1134	1301	1203	5.83
266	1140	1307	1209	5.83
267	1146	1314	1215	5.83
268	1151	1320	1221	5.83
269	1157	1326	1227	5.83
270	1163	1333	1233	5.83
271	1169	1339	1238	5.83
272	1175	1345	1244	5.83
273	1180	1352	1250	5.83
274	1186	1358	1256	5.83
275	1191	1365	1262	5.83
276	1197	1371	1268	5.83
277	1203	1377	1273	5.83
278	1208	1384	1279	5.83
279	1213	1390	1285	5.83
280	1219	1396	1291	5.83
281	1225	1402	1297	5.83
282	1230	1409	1303	5.83
283	1236	1415	1308	5.83
284	1241	1421	1314	5.83
285	1246	1428	1320	5.83
286	1252	1434	1326	5.83
287	1258	1440	1332	5.83
288	1263	1446	1338	5.83
289	1269	1453	1343	5.83
290	1274	1459	1349	5.83
291	1280	1466	1355	5.83
292	1286	1472	1361	5.83
293	1291	1479	1367	5.83
294	1296	1485	1373	5.83
295	1302	1492	1378	5.83
296	1308	1499	1384	5.83
