depth	min	max	median	mean
1.5	4444	4702	4565	4567
2.5	4456	4710	4580	4580
3.5	4465	4718	4594	4594
4.5	4473	4731	4608	4607
5.5	4484	4747	4621	4620
6.5	4500	4758	4635	4633
7.5	4522	4762	4653	4647
8.5	4534	4768	4670	4661
9.5	4549	4775	4685	4674
10.5	4561	4782	4700	4688
11.5	4575	4791	4717	4702
12.5	4594	4795	4736	4718
13.5	4610	4801	4755	4733
14.5	4624	4809	4772	4748
15.5	4637	4824	4785	4763
16.5	4666	4841	4799	4781
17.5	4711	4859	4813	4802
18.5	4752	4887	4826	4823
19.5	4788	4923	4839	4844
20.5	4813	4967	4853	4864
21.5	4850	5009	4884	4898
22.5	4878	5044	4937	4944
23.5	4898	5093	4990	4991
24.5	4913	5155	5039	5037
25.5	4928	5228	5087	5084
26.5	4975	5272	5133	5130
27.5	5050	5286	5179	5175
28.5	5112	5309	5224	5221
29.5	5166	5350	5269	5267
30.5	5206	5412	5306	5312
31.5	5251	5454	5339	5350
32.5	5305	5470	5370	5379
33.5	5345	5491	5403	5407
34.5	5366	5521	5435	5436
35.5	5382	5557	5465	5465
36.5	5406	5583	5490	5491
37.5	5438	5593	5514	5515
38.5	5462	5604	5539	5539
39.5	5478	5624	5565	5562
40.5	5492	5653	5590	5586
41.5	5518	5676	5609	5607
42.5	5548	5688	5627	5626
43.5	5572	5708	5644	5645
44.5	5588	5738	5663	5663
45.5	5606	5776	5682	5682
46.5	5635	5803	5706	5706
47.5	5669	5821	5736	5734
48.5	5689	5840	5765	5763
49.5	5705	5869	5793	5792
50.5	5719	5904	5822	5820
51.5	5741	5930	5850	5847
52.5	5766	5940	5879	5872
53.5	5783	5956	5909	5898
54.5	5800	5984	5933	5923
55.5	5815	6025	5955	5948
56.5	5847	6055	5977	5972
57.5	5891	6075	5998	5995
58.5	5934	6098	6017	6018
59.5	5965	6128	6035	6041
60.5	5982	6164	6056	6064
61.5	5998	6189	6078	6084
62.5	6017	6197	6099	6103
63.5	6030	6208	6119	6121
64.5	6042	6225	6140	6139
65.5	6052	6248	6160	6158
66.5	6073	6266	6179	6177
67.5	6108	6275	6200	6198
68.5	6134	6287	6222	6219
69.5	6160	6300	6246	6240
70.5	6179	6317	6270	6261
71.5	6204	6333	6291	6281
72.5	6236	6347	6309	6302
73.5	6259	6366	6326	6323
74.5	6276	6390	6346	6344
75.5	6294	6419	6366	6364
76.5	6312	6440	6383	6382
77.5	6329	6454	6398	6395
78.5	6340	6471	6413	6409
79.5	6349	6493	6426	6422
80.5	6356	6519	6438	6436
81.5	6368	6540	6451	6451
82.5	6380	6564	6467	6467
83.5	6391	6588	6481	6483
84.5	6398	6618	6497	6499
85.5	6406	6652	6511	6515
86.5	6418	6677	6526	6531
87.5	6433	6690	6542	6547
88.5	6446	6704	6559	6563
89.5	6455	6722	6575	6579
90.5	6464	6743	6591	6595
91.5	6478	6760	6606	6610
92.5	6494	6770	6622	6626
93.5	6512	6783	6639	6641
94.5	6522	6799	6656	6657
95.5	6531	6820	6673	6673
96.5	6549	6837	6688	6688
97.5	6574	6851	6702	6704
98.5	6593	6865	6717	6720
99.5	6604	6881	6732	6736
