depth	min	max	median	mean
15.5	439	924	647	653
25.5	1234	1597	1386	1389
35.5	1987	2293	2122	2125
45.5	2681	3070	2858	2862
55.5	3339	3893	3595	3598
65.5	3995	4711	4330	4334
75.5	4640	5542	5066	5070
85.5	5270	6378	5803	5807
95.5	5907	7206	6539	6543
105.5	6557	8034	7278	7279
115.5	7180	8828	7990	7991
125.5	7544	8938	8235	8237
135.5	7911	9051	8482	8483
145.5	8267	9205	8730	8729
155.5	8585	9383	8974	8975
165.5	8867	9614	9225	9220
175.5	9081	9904	9467	9466
185.5	9251	10218	9711	9712
195.5	9399	10562	9952	9958
205.5	9539	10935	10190	10204
215.5	9679	11302	10449	10462
225.5	10302	11657	10944	10954
235.5	10910	12009	11440	11445
245.5	11511	12375	11935	11937
255.5	12102	12761	12427	12429
265.5	12660	13194	12918	12920
275.5	13143	13667	13404	13412
285.5	13580	14233	13900	13903
295.5	13941	14834	14396	14395
305.5	14310	15441	14894	14887
315.5	14669	16033	15375	15368
325.5	14950	16320	15667	15654
335.5	15169	16678	15956	15941
345.5	15348	17068	16237	16227
355.5	15483	17491	16527	16514
365.5	15589	17943	16807	16800
375.5	15711	18409	17093	17087
385.5	15820	18874	17372	17373
395.5	15915	19353	17655	17659
405.5	16011	19827	17948	17946
415.5	16130	20298	18225	18231
425.5	16607	20350	18495	18497
435.5	17108	20416	18759	18763
445.5	17602	20478	19023	19029
455.5	18062	20554	19285	19294
465.5	18521	20651	19545	19560
475.5	18918	20773	19817	19826
485.5	19267	20918	20091	20092
495.5	19575	21072	20370	20358
