depth	min95%	max95%	best	accrate
25.5	1322	1635	1468	-8.24
27	1320	1603	1456	-0.25
28	1327	1592	1455	6.02
29	1339	1595	1461	12.18
30	1355	1596	1474	18.24
31	1372	1614	1492	24.19
32	1395	1638	1516	30.03
33	1419	1668	1546	35.77
34	1455	1709	1582	41.4
35	1493	1750	1623	46.93
36	1534	1800	1670	52.35
37	1575	1855	1722	57.66
38	1625	1915	1780	62.87
39	1683	1982	1843	67.97
40	1744	2050	1911	72.97
41	1811	2130	1984	77.86
42	1883	2213	2062	82.64
43	1960	2303	2144	87.32
44	2043	2395	2232	91.89
45	2131	2491	2324	96.35
46	2224	2591	2420	100.71
47	2321	2690	2521	104.97
48	2425	2796	2626	109.11
49	2532	2904	2735	113.15
50	2645	3018	2848	117.09
51	2763	3139	2965	120.91
52	2882	3261	3086	124.64
53	3009	3383	3211	128.25
54	3138	3510	3339	131.76
55	3272	3641	3471	135.14
56	3410	3778	3606	138.28
57	3551	3917	3744	141.15
58	3696	4059	3885	143.76
59	3844	4200	4029	146.1
60	3996	4340	4175	148.18
61	4153	4480	4323	149.99
62	4309	4627	4473	151.54
63	4465	4773	4625	152.82
64	4623	4921	4778	153.84
65	4784	5073	4931	154.59
66	4942	5226	5086	155.08
67	5104	5378	5241	155.3
68	5267	5529	5396	155.25
69	5427	5682	5552	154.94
70	5587	5837	5707	154.37
71	5746	5988	5861	153.53
72	5898	6143	6014	152.43
73	6050	6296	6167	151.06
74	6201	6447	6318	149.42
75	6349	6595	6467	147.53
76	6494	6744	6615	145.36
77	6637	6887	6760	142.93
78	6779	7030	6903	140.24
79	6919	7170	7043	137.28
80	7053	7309	7181	134.05
81	7186	7444	7315	130.56
82	7316	7576	7445	126.81
83	7443	7706	7572	122.79
84	7564	7831	7695	118.5
85	7680	7952	7813	114.01
86	7790	8067	7927	109.53
87	7895	8181	8037	105.13
88	7998	8291	8142	100.8
89	8096	8395	8243	96.55
90	8188	8495	8339	92.38
91	8277	8589	8432	88.28
92	8363	8681	8520	84.25
93	8444	8769	8604	80.3
94	8521	8853	8685	76.42
95	8596	8931	8761	72.62
96	8666	9006	8834	68.9
97	8731	9077	8903	65.25
98	8795	9145	8968	61.67
99	8853	9209	9029	58.17
100	8909	9271	9088	54.75
101	8961	9329	9142	51.4
102	9011	9385	9194	48.12
103	9056	9435	9242	44.92
104	9100	9481	9287	41.8
105	9142	9523	9329	38.74
106	9178	9561	9367	35.77
107	9212	9601	9403	32.87
108	9243	9637	9436	30.04
109	9270	9668	9466	27.29
110	9298	9697	9493	24.62
111	9321	9723	9518	22.02
112	9341	9745	9540	19.49
113	9359	9767	9559	17.04
114	9374	9787	9577	14.67
115	9387	9801	9591	12.37
116	9398	9815	9604	10.14
117	9406	9828	9614	7.99
118	9413	9840	9622	5.92
119	9417	9846	9628	3.92
120	9419	9850	9632	1.99
121	9420	9852	9634	0.14
122	9419	9851	9634	-1.63
123	9416	9851	9632	-3.33
124	9411	9849	9629	-4.96
125	9406	9843	9624	-6.51
126	9399	9836	9617	-7.98
127	9391	9831	9609	-9.38
128	9383	9822	9600	-10.71
129	9371	9815	9589	-11.96
130	9359	9802	9577	-13.13
131	9345	9789	9564	-14.23
132	9330	9776	9550	-15.26
133	9311	9764	9535	-16.21
134	9292	9750	9518	-17.08
135	9273	9736	9501	-17.88
136	9256	9721	9483	-18.61
137	9237	9708	9465	-19.26
138	9215	9696	9446	-19.83
139	9192	9680	9426	-20.33
140	9172	9662	9405	-20.76
141	9149	9643	9385	-21.11
142	9128	9624	9363	-21.38
143	9105	9606	9342	-21.58
144	9082	9588	9321	-21.71
145	9057	9566	9299	-21.76
146	9035	9545	9277	-21.73
147	9012	9527	9255	-21.63
148	8987	9509	9234	-21.46
149	8961	9488	9212	-21.21
150	8939	9467	9191	-20.88
151	8918	9447	9170	-20.48
152	8894	9427	9150	-20
153	8872	9407	9130	-19.45
154	8850	9390	9110	-18.83
155	8827	9373	9091	-18.13
156	8805	9361	9073	-17.35
157	8784	9347	9056	-16.5
158	8765	9331	9039	-15.58
159	8748	9319	9024	-14.58
160	8732	9306	9009	-13.5
161	8717	9297	8996	-12.35
162	8704	9286	8983	-11.12
163	8689	9279	8972	-9.82
164	8677	9268	8962	-8.45
165	8668	9258	8954	-7.01
166	8660	9254	8947	-5.58
167	8651	9251	8941	-4.16
168	8642	9248	8937	-2.75
169	8640	9245	8934	-1.36
170	8639	9246	8933	0.01
171	8638	9249	8933	1.37
172	8637	9253	8935	2.71
173	8639	9256	8937	4.04
174	8644	9262	8941	5.35
175	8646	9269	8947	6.65
176	8650	9278	8953	7.93
177	8659	9286	8961	9.2
178	8669	9298	8970	10.45
179	8680	9310	8981	11.68
180	8692	9323	8993	12.9
181	8704	9337	9005	14.11
182	8718	9351	9020	15.3
183	8732	9366	9035	16.47
184	8748	9381	9051	17.63
185	8766	9397	9069	18.78
186	8784	9415	9088	19.9
187	8804	9433	9108	21.02
188	8826	9453	9129	22.12
189	8850	9476	9151	23.2
190	8874	9499	9174	24.26
191	8900	9522	9198	25.32
192	8926	9546	9224	26.35
193	8954	9571	9250	27.37
194	8983	9596	9277	28.38
195	9012	9622	9306	29.37
196	9043	9649	9335	30.34
197	9076	9677	9365	31.3
198	9110	9706	9397	32.25
199	9145	9739	9429	33.18
200	9181	9772	9462	34.09
201	9218	9805	9496	34.99
202	9256	9839	9531	35.87
203	9294	9871	9567	36.74
204	9332	9903	9604	37.59
205	9370	9937	9641	38.43
206	9409	9972	9680	39.25
207	9450	10009	9719	40.05
208	9492	10047	9759	40.84
209	9536	10085	9800	41.62
210	9581	10125	9842	42.38
211	9626	10164	9884	43.12
212	9671	10205	9927	43.85
213	9716	10246	9971	44.57
214	9763	10290	10015	45.27
215	9810	10333	10061	45.95
216	9858	10375	10107	46.62
217	9906	10417	10153	47.27
218	9956	10462	10201	47.91
219	10005	10507	10248	48.53
220	10057	10553	10297	49.13
221	10109	10600	10346	49.73
222	10162	10647	10396	50.3
223	10213	10696	10446	50.86
224	10266	10744	10497	51.41
225	10320	10794	10548	51.94
226	10374	10843	10600	52.45
227	10429	10891	10653	52.95
228	10485	10942	10706	53.43
229	10541	10991	10759	53.9
230	10597	11040	10813	54.36
231	10653	11091	10867	54.79
232	10708	11143	10922	55.22
233	10765	11197	10977	55.62
234	10823	11251	11033	56.01
235	10882	11305	11089	56.39
236	10943	11358	11145	56.75
237	11004	11411	11202	57.1
238	11065	11467	11259	57.43
239	11126	11524	11317	57.74
240	11186	11582	11375	58.04
241	11246	11635	11433	58.32
242	11310	11693	11491	58.59
243	11372	11749	11549	58.85
244	11433	11805	11608	59.09
245	11495	11861	11667	59.31
246	11556	11917	11727	59.52
247	11618	11973	11786	59.71
248	11681	12031	11846	59.88
249	11742	12088	11906	60.05
250	11803	12146	11966	60.19
251	11863	12208	12026	60.32
252	11924	12270	12086	60.44
253	11987	12332	12147	60.54
254	12048	12389	12207	60.62
255	12110	12446	12268	60.69
256	12173	12504	12329	60.74
257	12235	12566	12389	60.78
258	12294	12626	12450	60.81
259	12358	12689	12511	60.81
260	12418	12751	12572	60.81
261	12476	12807	12633	60.78
262	12536	12871	12693	60.75
263	12597	12933	12754	60.69
264	12656	12996	12815	60.62
265	12716	13059	12875	60.54
266	12774	13121	12936	60.45
267	12833	13185	12996	60.37
268	12891	13249	13057	60.27
269	12950	13310	13117	60.18
270	13006	13373	13177	60.08
271	13062	13434	13237	59.98
272	13119	13496	13297	59.88
273	13176	13557	13357	59.78
274	13233	13621	13417	59.67
275	13289	13685	13477	59.57
276	13342	13750	13536	59.45
277	13400	13813	13596	59.34
278	13456	13879	13655	59.23
279	13511	13943	13714	59.11
280	13566	14009	13773	58.99
281	13620	14071	13832	58.86
282	13674	14136	13891	58.74
283	13727	14200	13950	58.61
284	13779	14263	14009	58.48
285	13834	14326	14067	58.35
286	13888	14390	14125	58.21
287	13942	14453	14184	58.07
288	13997	14515	14242	57.93
289	14051	14576	14300	57.79
290	14105	14640	14357	57.65
291	14159	14704	14415	57.5
292	14213	14767	14473	57.35
293	14266	14828	14530	57.2
294	14318	14889	14587	57.04
295	14370	14950	14644	56.88
296	14421	15011	14701	56.72
297	14471	15071	14758	56.56
298	14522	15132	14814	56.4
299	14571	15193	14871	56.23
300	14621	15253	14927	56.06
301	14671	15314	14983	55.89
302	14721	15374	15039	55.71
303	14769	15435	15095	55.54
304	14817	15495	15150	55.36
