depth	min95%	max95%	best	accrate
27	1335	1597	1459	71.93
28	1409	1663	1531	71.93
29	1487	1733	1603	71.93
30	1563	1801	1675	71.93
31	1635	1872	1747	71.93
32	1711	1943	1819	71.93
33	1783	2014	1891	71.93
34	1857	2081	1963	71.93
35	1931	2151	2035	71.93
36	2004	2222	2107	71.93
37	2076	2290	2179	71.93
38	2146	2363	2250	71.93
39	2217	2436	2322	71.93
40	2283	2509	2394	71.93
41	2357	2581	2466	71.93
42	2427	2655	2538	71.93
43	2493	2728	2610	71.93
44	2561	2804	2682	71.93
45	2630	2877	2754	71.93
46	2698	2953	2826	71.93
47	2763	3030	2898	71.93
48	2827	3106	2970	71.93
49	2893	3182	3042	71.93
50	2961	3257	3114	71.93
51	3026	3337	3185	71.93
52	3094	3412	3257	71.93
53	3158	3489	3329	71.93
54	3221	3566	3401	71.93
55	3286	3644	3473	144.55
56	3438	3783	3618	144.55
57	3588	3922	3762	144.55
58	3740	4062	3907	144.55
59	3888	4202	4051	144.55
60	4039	4340	4196	144.55
61	4191	4482	4340	144.55
62	4341	4622	4485	144.55
63	4492	4763	4630	144.55
64	4642	4904	4774	144.55
65	4790	5044	4919	144.55
66	4937	5187	5063	144.55
67	5084	5331	5208	144.55
68	5235	5475	5352	144.55
69	5382	5618	5497	144.55
70	5528	5762	5641	144.55
71	5674	5905	5786	144.55
72	5818	6048	5930	144.55
73	5963	6189	6075	144.55
74	6107	6333	6220	144.55
75	6251	6477	6364	144.55
76	6394	6621	6509	144.55
77	6536	6766	6653	144.55
78	6680	6911	6798	144.55
79	6823	7057	6942	144.55
80	6967	7204	7087	144.55
81	7109	7351	7231	144.55
82	7253	7498	7376	144.55
83	7394	7649	7521	144.55
84	7535	7800	7665	144.55
85	7676	7946	7810	14.31
86	7691	7960	7824	14.31
87	7708	7973	7838	14.31
88	7725	7987	7853	14.31
89	7739	7999	7867	14.31
90	7756	8012	7881	14.31
91	7772	8024	7895	14.31
92	7786	8039	7910	14.31
93	7799	8051	7924	14.31
94	7814	8065	7938	14.31
95	7829	8079	7953	14.31
96	7843	8093	7967	14.31
97	7858	8109	7981	14.31
98	7873	8123	7996	14.31
99	7887	8138	8010	14.31
100	7901	8153	8024	14.31
101	7916	8166	8039	14.31
102	7930	8180	8053	14.31
103	7944	8195	8067	14.31
104	7957	8210	8081	14.31
105	7970	8228	8096	14.31
106	7984	8243	8110	14.31
107	7998	8258	8124	14.31
108	8012	8274	8139	14.31
109	8026	8289	8153	14.31
110	8040	8304	8167	14.31
111	8053	8319	8182	14.31
112	8066	8335	8196	14.31
113	8079	8351	8210	14.31
114	8092	8368	8225	14.31
115	8106	8384	8239	14.31
116	8118	8399	8253	14.31
117	8130	8416	8267	14.31
118	8142	8431	8282	14.31
119	8155	8448	8296	14.31
120	8167	8464	8310	14.31
121	8179	8480	8325	14.31
122	8189	8497	8339	14.31
123	8201	8513	8353	14.31
124	8213	8529	8368	14.31
125	8225	8547	8382	14.31
126	8238	8564	8396	14.31
127	8250	8581	8411	14.31
128	8262	8601	8425	14.31
129	8272	8620	8439	14.31
130	8283	8636	8453	14.31
131	8294	8654	8468	14.31
132	8304	8673	8482	14.31
133	8315	8690	8496	14.31
134	8326	8706	8511	14.31
135	8338	8725	8525	14.31
136	8351	8742	8539	14.31
137	8361	8760	8554	14.31
138	8373	8777	8568	14.31
139	8384	8796	8582	14.31
140	8396	8814	8597	14.31
141	8408	8830	8611	14.31
142	8418	8849	8625	14.31
143	8429	8868	8639	14.31
144	8441	8886	8654	14.31
145	8451	8903	8668	14.31
146	8461	8920	8682	14.31
147	8472	8938	8697	14.31
148	8482	8955	8711	14.31
149	8493	8972	8725	14.31
150	8504	8990	8740	14.31
151	8515	9009	8754	14.31
152	8526	9028	8768	14.31
153	8537	9047	8783	14.31
154	8548	9065	8797	14.31
155	8558	9083	8811	14.31
156	8568	9101	8825	14.31
157	8579	9119	8840	14.31
158	8589	9137	8854	14.31
159	8599	9154	8868	14.31
160	8609	9171	8883	14.31
161	8618	9189	8897	14.31
162	8627	9207	8911	14.31
163	8637	9224	8926	14.31
164	8648	9242	8940	14.31
165	8659	9259	8954	39.23
166	8700	9296	8993	39.23
167	8741	9332	9033	39.23
168	8783	9369	9072	39.23
169	8826	9406	9111	39.23
170	8869	9443	9150	39.23
171	8913	9479	9190	39.23
172	8956	9515	9229	39.23
173	9000	9552	9268	39.23
174	9041	9588	9307	39.23
175	9082	9625	9346	39.23
176	9122	9661	9386	39.23
177	9164	9698	9425	39.23
178	9205	9735	9464	39.23
179	9247	9771	9503	39.23
180	9290	9808	9543	39.23
181	9332	9845	9582	39.23
182	9374	9881	9621	39.23
183	9417	9918	9660	39.23
184	9458	9954	9699	39.23
185	9501	9992	9739	39.23
186	9543	10030	9778	39.23
187	9584	10068	9817	39.23
188	9626	10106	9856	39.23
189	9668	10142	9896	39.23
190	9709	10178	9935	39.23
191	9751	10215	9974	39.23
192	9793	10253	10013	39.23
193	9835	10290	10053	39.23
194	9876	10328	10092	39.23
195	9917	10365	10131	39.23
196	9959	10402	10170	39.23
197	10001	10440	10209	39.23
198	10042	10477	10249	39.23
199	10084	10514	10288	39.23
200	10126	10550	10327	39.23
201	10168	10585	10366	39.23
202	10210	10621	10406	39.23
203	10251	10658	10445	39.23
204	10291	10697	10484	39.23
205	10332	10736	10523	39.23
206	10372	10772	10562	39.23
207	10413	10807	10602	39.23
208	10453	10845	10641	39.23
209	10494	10880	10680	39.23
210	10535	10917	10719	39.23
