depth	min95%	max95%	best	accrate
27	1128	1885	1477	107.5
28	1248	1990	1584	106.75
29	1367	2094	1691	106
30	1489	2197	1797	105.25
31	1610	2300	1902	104.51
32	1730	2400	2007	103.77
33	1839	2501	2111	103.03
34	1933	2601	2214	102.3
35	2035	2696	2316	101.56
36	2129	2789	2417	100.84
37	2223	2881	2518	100.11
38	2310	2973	2618	99.39
39	2392	3068	2718	98.67
40	2480	3164	2816	97.95
41	2552	3268	2914	97.24
42	2633	3370	3012	96.53
43	2705	3473	3108	95.82
44	2777	3569	3204	95.12
45	2849	3663	3299	94.42
46	2927	3759	3393	93.72
47	3003	3864	3487	93.02
48	3075	3966	3580	92.33
49	3149	4064	3673	91.64
50	3220	4151	3764	90.95
51	3290	4245	3855	90.27
52	3356	4346	3945	89.59
53	3426	4439	4035	88.91
54	3495	4534	4124	88.24
55	3564	4632	4212	87.57
56	3633	4729	4300	86.9
57	3702	4820	4387	86.23
58	3766	4911	4473	85.57
59	3830	5004	4558	84.91
60	3898	5097	4643	84.26
61	3965	5195	4728	83.6
62	4032	5292	4811	82.95
63	4099	5381	4894	82.31
64	4166	5463	4976	81.66
65	4233	5549	5058	81.02
66	4299	5634	5139	80.38
67	4366	5723	5220	79.75
68	4431	5812	5299	79.12
69	4497	5898	5378	78.49
70	4562	5978	5457	77.86
71	4627	6061	5535	77.24
72	4691	6146	5612	76.62
73	4755	6234	5689	76
74	4819	6313	5765	75.39
75	4879	6398	5840	74.78
76	4939	6483	5915	74.17
77	4999	6565	5989	73.57
78	5058	6650	6063	72.96
79	5117	6734	6135	72.37
80	5176	6818	6208	71.77
81	5234	6899	6280	71.18
82	5293	6976	6351	70.59
83	5351	7051	6421	70
84	5409	7127	6491	69.42
85	5467	7207	6561	68.84
86	5525	7284	6630	68.26
87	5583	7361	6698	67.68
88	5641	7434	6766	67.11
89	5698	7499	6833	66.54
90	5755	7561	6899	65.98
91	5811	7625	6965	65.42
92	5868	7695	7031	64.86
93	5924	7766	7096	64.3
94	5980	7838	7160	63.75
95	6035	7910	7224	63.2
96	6091	7981	7287	62.65
97	6146	8051	7349	62.1
98	6201	8120	7411	61.56
99	6255	8189	7473	61.02
100	6310	8257	7534	60.49
101	6364	8322	7595	59.96
102	6418	8386	7655	59.43
103	6471	8448	7714	58.9
104	6525	8515	7773	58.38
105	6578	8582	7831	57.86
106	6631	8646	7889	57.34
107	6684	8706	7946	56.83
108	6736	8766	8003	56.31
109	6788	8827	8060	55.81
110	6840	8887	8115	55.3
111	6892	8946	8171	54.8
112	6943	9004	8225	54.3
113	6995	9061	8280	53.8
114	7046	9118	8334	53.31
115	7097	9175	8387	52.82
116	7147	9235	8440	52.33
117	7198	9294	8492	51.85
118	7249	9353	8544	51.37
119	7300	9411	8595	50.89
120	7350	9468	8646	50.42
121	7400	9525	8697	49.94
122	7450	9581	8747	49.47
123	7500	9636	8796	49.01
124	7550	9690	8845	48.55
125	7599	9741	8894	48.09
126	7648	9791	8942	47.63
127	7697	9841	8989	47.17
128	7745	9890	9036	46.72
129	7793	9937	9083	46.28
130	7842	9984	9129	45.83
131	7889	10031	9175	45.39
132	7937	10079	9221	44.95
133	7985	10124	9266	44.51
134	8032	10169	9310	44.08
135	8079	10214	9354	43.65
136	8126	10257	9398	43.23
137	8172	10300	9441	42.8
138	8218	10342	9484	42.38
139	8265	10384	9526	41.96
140	8310	10427	9568	41.55
141	8356	10469	9610	41.14
142	8402	10510	9651	40.73
143	8447	10552	9692	40.32
144	8492	10592	9732	39.92
145	8537	10632	9772	39.52
146	8582	10672	9811	39.12
147	8626	10711	9851	38.73
148	8670	10749	9889	38.34
149	8714	10786	9928	37.95
150	8758	10823	9966	37.57
151	8802	10859	10003	37.19
152	8845	10894	10040	36.81
153	8889	10930	10077	36.43
154	8932	10965	10114	36.06
155	8974	11000	10150	35.69
156	9017	11034	10185	35.32
157	9060	11067	10221	34.96
158	9102	11099	10256	34.6
159	9144	11131	10290	34.24
160	9186	11164	10324	33.89
161	9228	11195	10358	33.54
162	9269	11227	10392	33.19
163	9311	11257	10425	32.84
164	9352	11288	10458	32.5
165	9393	11317	10490	32.16
166	9433	11346	10523	31.83
167	9474	11375	10554	31.49
168	9515	11404	10586	31.16
169	9555	11432	10617	30.84
170	9596	11460	10648	30.51
171	9636	11488	10678	30.19
172	9677	11514	10709	29.87
173	9718	11541	10738	29.56
174	9758	11567	10768	29.25
175	9798	11593	10797	28.94
176	9838	11620	10826	28.63
177	9877	11645	10855	28.33
178	9915	11671	10883	28.03
179	9954	11696	10911	27.73
180	9991	11721	10939	27.44
181	10023	11745	10966	27.14
182	10060	11768	10993	26.86
183	10097	11790	11020	26.57
184	10131	11813	11047	26.29
185	10165	11834	11073	26.01
186	10200	11856	11099	25.74
187	10235	11876	11125	25.46
188	10270	11896	11150	25.19
189	10305	11916	11176	24.93
190	10339	11935	11201	24.66
191	10375	11954	11225	24.4
192	10412	11972	11250	24.14
193	10448	11992	11274	23.89
194	10484	12010	11298	23.64
195	10520	12029	11321	23.39
196	10545	12047	11345	23.14
197	10581	12065	11368	22.9
198	10612	12083	11391	22.66
199	10648	12100	11413	22.42
200	10685	12118	11436	22.19
201	10722	12135	11458	21.96
202	10759	12152	11480	21.73
203	10795	12169	11502	21.51
204	10830	12185	11523	21.29
205	10854	12202	11544	21.07
206	10883	12217	11565	20.85
207	10905	12231	11586	20.64
208	10938	12245	11607	20.43
209	10964	12259	11627	20.22
210	10995	12274	11648	20.02
211	11031	12289	11668	19.82
212	11058	12304	11687	19.62
213	11087	12318	11707	19.43
214	11114	12332	11727	19.24
215	11144	12346	11746	19.09
215.5	11158	12353	11755	19
216	11176	12360	11765	18.86
217	11207	12374	11784	18.68
218	11239	12387	11802	18.5
219	11256	12399	11821	18.32
220	11281	12411	11839	18.15
221	11297	12424	11857	17.98
222	11322	12437	11875	17.81
223	11352	12450	11893	17.65
224	11381	12463	11911	17.49
225	11413	12475	11928	17.33
226	11440	12487	11946	17.17
227	11464	12499	11963	17.02
228	11479	12508	11980	16.87
229	11494	12517	11997	16.73
230	11515	12527	12013	16.58
231	11536	12537	12030	16.44
232	11554	12549	12046	16.31
233	11568	12560	12063	16.17
234	11579	12570	12079	16.04
235	11594	12578	12095	15.91
236	11607	12585	12111	15.79
237	11620	12590	12127	15.67
238	11633	12595	12142	15.55
239	11646	12600	12158	15.43
240	11659	12607	12173	15.32
241	11671	12613	12189	15.21
242	11684	12619	12204	15.1
243	11696	12627	12219	15
244	11709	12634	12234	14.9
245	11721	12644	12249	14.8
246	11733	12653	12264	14.71
247	11745	12663	12278	14.61
248	11753	12674	12293	14.52
249	11762	12685	12307	14.44
250	11771	12696	12322	14.36
251	11781	12706	12336	14.28
252	11791	12714	12351	14.2
253	11800	12720	12365	14.13
254	11809	12726	12379	14.06
255	11819	12732	12393	13.99
256	11828	12739	12407	13.92
257	11839	12746	12421	13.86
258	11851	12753	12435	13.8
259	11860	12760	12448	13.75
260	11870	12772	12462	13.69
261	11881	12782	12476	13.64
262	11891	12802	12490	13.6
263	11899	12818	12503	13.55
264	11907	12835	12517	13.51
265	11915	12849	12530	13.48
266	11925	12864	12544	13.44
267	11935	12881	12557	13.41
268	11948	12905	12571	13.38
269	11955	12923	12584	13.36
270	11962	12953	12597	13.33
271	11968	12980	12611	13.32
272	11975	12992	12624	13.3
273	11982	13014	12637	13.29
274	11989	13044	12651	13.28
275	11996	13073	12664	13.27
276	12003	13102	12677	13.26
277	12010	13126	12690	13.26
278	12019	13144	12704	13.26
279	12027	13175	12717	13.27
280	12035	13205	12730	13.28
281	12043	13235	12743	13.29
282	12051	13266	12757	13.3
283	12059	13296	12770	13.32
284	12068	13326	12783	13.34
285	12076	13356	12797	13.36
286	12085	13386	12810	13.39
287	12093	13415	12823	13.42
288	12102	13444	12837	13.45
289	12110	13472	12850	13.48
290	12120	13498	12864	13.52
291	12129	13524	12877	13.56
292	12138	13549	12891	13.61
293	12148	13574	12904	13.65
294	12158	13599	12918	13.7
295	12168	13628	12932	13.76
296	12177	13656	12946	13.81
297	12187	13685	12959	13.87
298	12198	13714	12973	13.93
299	12208	13742	12987	14
300	12219	13770	13001	14.07
301	12229	13797	13015	14.14
302	12239	13826	13029	14.21
303	12250	13856	13044	14.29
304	12261	13884	13058	14.37
305	12272	13913	13072	14.45
306	12283	13940	13087	14.54
307	12294	13968	13101	14.63
308	12306	13995	13116	14.72
309	12317	14022	13131	14.81
310	12329	14050	13145	14.91
311	12341	14077	13160	15.01
312	12353	14105	13175	15.12
313	12365	14132	13190	15.23
314	12378	14160	13206	15.34
315	12390	14187	13221	15.45
316	12403	14215	13236	15.57
317	12417	14242	13252	15.69
318	12430	14269	13268	15.81
319	12444	14297	13284	15.93
320	12457	14324	13299	16.06
321	12471	14352	13316	16.19
322	12485	14384	13332	16.33
323	12500	14411	13348	16.47
324	12514	14439	13364	16.61
325	12531	14467	13381	16.75
326	12547	14494	13398	16.9
327	12564	14522	13415	17.05
328	12580	14550	13432	17.2
329	12595	14579	13449	17.35
330	12611	14607	13466	17.51
331	12627	14636	13484	17.67
332	12643	14664	13502	17.84
333	12660	14693	13519	18.01
334	12676	14721	13537	18.18
335	12693	14750	13556	18.35
336	12711	14779	13574	18.53
337	12728	14807	13592	18.71
338	12746	14836	13611	18.89
339	12764	14865	13630	19.08
340	12782	14893	13649	19.26
341	12801	14922	13668	19.46
342	12820	14957	13688	19.65
343	12839	14997	13707	19.85
344	12858	15034	13727	20.05
345	12878	15070	13747	20.25
346	12898	15099	13768	20.46
347	12919	15127	13788	20.67
348	12940	15156	13809	20.88
349	12961	15185	13830	21.1
350	12983	15214	13851	21.32
351	13005	15243	13872	21.54
352	13027	15272	13894	21.77
353	13049	15301	13915	21.99
354	13072	15330	13937	22.23
355	13095	15359	13960	22.46
356	13118	15388	13982	22.7
357	13142	15417	14005	22.94
358	13166	15446	14028	23.18
359	13190	15475	14051	23.43
360	13213	15504	14074	23.67
361	13236	15534	14098	23.93
362	13259	15563	14122	24.18
363	13282	15592	14146	24.44
364	13306	15622	14171	24.7
365	13331	15651	14195	24.97
366	13355	15680	14220	25.23
367	13380	15709	14245	25.5
368	13406	15738	14271	25.78
369	13431	15767	14297	26.05
370	13455	15796	14323	26.33
371	13476	15825	14349	26.61
372	13498	15854	14376	26.9
373	13521	15883	14403	27.19
374	13547	15913	14430	27.48
375	13575	15942	14457	27.77
376	13603	15971	14485	28.07
377	13633	16001	14513	28.37
378	13664	16030	14541	28.68
379	13695	16060	14570	28.98
380	13727	16089	14599	29.29
381	13758	16119	14628	29.6
382	13790	16150	14658	29.92
383	13821	16182	14688	30.24
384	13853	16214	14718	30.56
385	13883	16245	14749	30.88
386	13913	16277	14780	31.21
387	13946	16309	14811	31.54
388	13979	16340	14842	31.88
389	14013	16371	14874	32.21
390	14047	16402	14906	32.55
391	14081	16434	14939	32.9
392	14116	16465	14972	33.24
393	14152	16497	15005	33.59
394	14187	16528	15039	33.94
395	14221	16560	15073	34.3
396	14256	16592	15107	34.65
397	14291	16624	15142	35.02
398	14327	16656	15177	35.38
399	14363	16692	15212	35.75
400	14400	16732	15248	36.12
401	14438	16765	15284	36.49
402	14478	16798	15320	36.86
403	14519	16832	15357	37.24
404	14560	16866	15395	37.63
405	14601	16898	15432	38.01
406	14644	16931	15470	38.4
407	14686	16965	15509	38.79
408	14729	16998	15547	39.18
409	14773	17031	15587	39.58
410	14817	17065	15626	39.98
411	14862	17098	15666	40.38
412	14907	17132	15706	40.79
413	14949	17165	15747	41.2
414	14992	17198	15788	41.61
415	15036	17231	15830	42.03
416	15081	17264	15872	42.44
417	15127	17297	15915	42.87
418	15174	17331	15957	43.29
419	15221	17364	16001	43.72
420	15269	17399	16044	44.15
421	15317	17434	16089	44.58
422	15367	17469	16133	45.02
423	15419	17504	16178	45.46
424	15471	17539	16224	45.9
425	15525	17575	16269	46.34
426	15578	17609	16316	46.79
427	15632	17643	16363	47.24
428	15683	17677	16410	47.7
429	15736	17721	16458	48.15
430	15788	17759	16506	48.61
431	15841	17793	16554	49.08
432	15893	17828	16603	49.54
433	15947	17863	16653	50.01
434	15998	17898	16703	50.49
435	16053	17933	16753	50.96
436	16110	17968	16804	51.44
437	16169	18002	16856	51.92
438	16229	18037	16908	52.41
439	16286	18077	16960	52.89
440	16343	18113	17013	53.38
441	16400	18148	17066	53.88
442	16459	18185	17120	54.37
443	16519	18222	17175	54.87
444	16582	18262	17230	55.38
445	16646	18312	17285	55.88
446	16707	18352	17341	56.39
447	16774	18392	17397	56.9
448	16843	18431	17454	57.42
449	16914	18471	17512	57.94
450	16983	18520	17569	58.46
451	17048	18562	17628	58.98
452	17112	18601	17687	59.51
453	17182	18649	17746	60.04
454	17258	18685	17806	60.57
455	17334	18733	17867	61.11
456	17403	18782	17928	61.64
457	17468	18819	17990	62.19
458	17535	18852	18052	62.73
459	17602	18887	18115	63.28
460	17671	18927	18178	63.83
461	17739	18967	18242	64.38
462	17807	19024	18306	64.94
463	17880	19088	18371	65.5
464	17955	19150	18437	66.06
465	18030	19205	18503	66.63
466	18104	19243	18569	67.2
467	18186	19302	18637	67.77
468	18263	19364	18704	68.35
469	18334	19425	18773	68.92
470	18412	19499	18842	69.5
471	18489	19556	18911	70.09
472	18563	19623	18981	70.68
473	18639	19686	19052	71.27
474	18718	19746	19123	71.86
475	18799	19810	19195	72.46
476	18877	19886	19267	73.05
477	18957	19963	19340	73.66
478	19039	20040	19414	74.26
479	19122	20110	19488	74.87
480	19203	20182	19563	75.48
481	19283	20267	19639	76.1
482	19361	20352	19715	76.71
483	19445	20435	19792	77.33
484	19528	20516	19869	77.96
485	19604	20604	19947	NA
