depth	min95%	max95%	best	accrate
25.5	2240	4008	3002	40.14
27	2307	4061	3063	40.14
28	2350	4097	3103	40.14
29	2392	4133	3143	40.14
30	2435	4169	3183	40.14
31	2477	4205	3223	40.14
32	2519	4241	3263	40.14
33	2562	4276	3304	40.14
34	2604	4312	3344	40.14
35	2646	4348	3384	40.14
36	2689	4384	3424	40.14
37	2731	4420	3464	40.14
38	2773	4456	3504	40.14
39	2816	4492	3544	40.14
40	2858	4527	3584	40.14
41	2900	4563	3625	40.14
42	2943	4599	3665	40.14
43	2986	4635	3705	40.14
44	3032	4671	3745	40.14
45	3074	4707	3785	40.14
46	3115	4743	3825	40.14
47	3156	4778	3865	40.14
48	3197	4814	3906	40.13
49	3240	4850	3946	40.13
50	3282	4886	3986	40.13
51	3324	4922	4026	40.13
52	3365	4958	4066	40.13
53	3406	4994	4106	40.13
54	3448	5029	4146	40.13
55	3491	5065	4187	40.13
56	3536	5101	4227	40.13
57	3578	5137	4267	40.13
58	3621	5176	4307	40.13
59	3663	5214	4347	40.13
60	3705	5252	4387	40.13
61	3747	5291	4427	40.13
62	3790	5329	4467	40.13
63	3830	5367	4508	40.13
64	3870	5404	4548	40.12
65	3910	5440	4588	40.12
66	3951	5476	4628	40.12
67	3991	5512	4668	40.12
68	4031	5548	4708	40.12
69	4071	5584	4748	40.12
70	4112	5620	4788	40.12
71	4153	5656	4829	40.12
72	4194	5692	4869	40.12
73	4236	5727	4909	40.12
74	4281	5763	4949	40.11
75	4326	5799	4989	40.11
76	4370	5835	5029	40.11
77	4415	5871	5069	40.11
78	4458	5907	5109	40.11
79	4498	5944	5149	40.11
80	4539	5981	5190	40.11
81	4580	6017	5230	40.11
82	4620	6053	5270	40.1
83	4661	6089	5310	40.1
84	4702	6125	5350	40.1
85	4742	6161	5390	40.1
86	4783	6197	5430	40.1
87	4828	6233	5470	40.1
88	4872	6269	5510	40.1
89	4915	6305	5550	40.09
90	4955	6341	5591	40.09
91	4996	6377	5631	40.09
92	5036	6413	5671	40.09
93	5077	6449	5711	40.09
94	5118	6485	5751	40.09
95	5158	6521	5791	40.09
96	5199	6557	5831	40.08
97	5239	6593	5871	40.08
98	5280	6629	5911	40.08
99	5320	6665	5951	40.08
100	5361	6701	5991	40.08
101	5401	6736	6031	40.08
102	5442	6772	6072	40.08
103	5483	6808	6112	40.07
104	5523	6844	6152	40.07
105	5565	6880	6192	40.07
106	5609	6916	6232	40.07
107	5653	6953	6272	40.07
108	5696	6989	6312	40.07
109	5740	7025	6352	40.06
110	5781	7061	6392	40.06
111	5822	7097	6432	40.06
112	5863	7133	6472	40.06
113	5903	7169	6512	40.06
114	5944	7205	6552	40.06
115	5985	7241	6592	40.06
116	6026	7278	6632	40.05
117	6067	7315	6673	40.05
118	6108	7352	6713	40.05
119	6149	7390	6753	40.05
120	6192	7427	6793	40.05
121	6237	7464	6833	40.05
122	6278	7500	6873	40.05
123	6319	7539	6913	40.04
124	6360	7577	6953	40.04
125	6401	7612	6993	40.04
126	6442	7648	7033	40.04
127	6483	7683	7073	40.04
128	6525	7719	7113	40.04
129	6567	7754	7153	40.04
130	6608	7790	7193	40.03
131	6649	7825	7233	40.03
132	6690	7860	7273	40.03
133	6732	7896	7313	40.03
134	6773	7935	7353	40.03
135	6814	7970	7393	40.03
136	6856	8006	7433	40.03
137	6897	8042	7473	40.02
138	6939	8077	7513	40.02
139	6980	8113	7553	40.02
140	7022	8148	7593	40.02
141	7064	8186	7633	40.02
142	7105	8223	7673	40.02
143	7147	8261	7713	40.02
144	7189	8298	7753	40.01
145	7230	8336	7793	40.01
146	7272	8373	7833	40.01
147	7314	8409	7874	40.01
148	7355	8445	7914	40.01
149	7397	8481	7954	40.01
150	7439	8520	7994	40.01
151	7480	8556	8034	40
152	7522	8592	8074	40
153	7564	8628	8114	40
154	7605	8669	8154	40
155	7647	8712	8194	40
156	7689	8749	8234	40
157	7730	8796	8274	40
158	7772	8832	8314	39.99
159	7813	8868	8354	39.99
160	7854	8909	8394	39.99
161	7895	8951	8434	39.99
162	7937	8995	8473	39.99
163	7980	9035	8513	39.99
164	8022	9074	8553	39.98
165	8063	9117	8593	39.98
166	8104	9154	8633	39.98
167	8145	9191	8673	39.98
168	8186	9228	8713	39.98
169	8226	9265	8753	39.98
170	8267	9302	8793	39.98
171	8308	9341	8833	39.97
172	8349	9384	8873	39.97
173	8390	9420	8913	39.97
174	8431	9458	8953	39.97
175	8472	9499	8993	39.97
176	8513	9535	9033	39.97
177	8554	9578	9073	39.97
178	8594	9618	9113	39.96
179	8635	9653	9153	39.96
180	8676	9688	9193	39.96
181	8717	9724	9233	39.96
182	8758	9763	9273	39.96
183	8799	9804	9313	39.96
184	8840	9845	9353	39.96
185	8881	9888	9393	39.95
186	8921	9932	9433	39.95
187	8960	9977	9473	39.95
188	9001	10022	9513	39.95
189	9042	10067	9553	39.95
190	9083	10112	9593	39.95
191	9124	10156	9633	39.95
192	9165	10201	9673	39.95
193	9206	10241	9712	39.94
194	9247	10278	9752	39.94
195	9289	10319	9792	39.94
196	9330	10362	9832	39.94
197	9371	10405	9872	39.94
198	9412	10448	9912	39.94
199	9452	10491	9952	39.94
200	9493	10535	9992	39.93
201	9534	10578	10032	39.93
202	9575	10621	10072	39.93
203	9616	10662	10112	39.93
204	9657	10707	10152	39.93
205	9697	10750	10192	39.93
206	9738	10794	10232	39.93
207	9780	10837	10272	39.92
208	9822	10880	10311	39.92
209	9863	10923	10351	39.92
210	9905	10967	10391	39.92
211	9947	11010	10431	39.92
212	9989	11053	10471	39.92
213	10030	11096	10511	39.92
214	10072	11141	10551	39.92
215	10114	11183	10591	39.91
216	10155	11225	10631	39.91
217	10197	11268	10671	39.91
218	10239	11308	10711	39.91
219	10281	11354	10751	39.91
220	10322	11397	10790	39.91
221	10364	11441	10830	39.91
222	10406	11484	10870	39.9
223	10447	11525	10910	39.9
224	10489	11570	10950	39.9
225	10529	11614	10990	39.9
226	10570	11659	11030	39.9
227	10610	11704	11070	39.9
228	10650	11749	11110	39.9
