depth	min	max	median	wmean
0.5	-47.2	14.3	-14.8	-14.7
1.5	-37.5	29.3	-2.4	-2.2
2.5	-31.2	48.3	9.4	10
3.5	-27.9	69.1	20.9	22.2
4.5	-25.1	91.3	32.4	34.4
5.5	-23.3	113.9	44.1	46.6
6.5	-22.3	137.1	55.6	58.8
7.5	-20.7	159.7	66.5	71
8.5	-19.3	183.2	77.6	83.2
9.5	-18.6	205.5	88.3	95.3
10.5	-16.8	229.1	98.4	107.5
11.5	-15.3	253.4	109.4	119.8
12.5	-14	276.3	120.6	131.9
13.5	-12.6	300.1	131.1	144.3
14.5	-11.7	324.3	142.2	156.4
15.5	-10.3	347.8	153.1	168.6
16.5	-8.5	371.8	163.1	180.9
17.5	-8	395.6	174.6	193.1
18.5	-7.5	419.5	185.2	205.2
19.5	-6.8	442.8	196.9	217.3
20.5	0.9	459.6	209.7	231.3
21.5	12.8	473	225.2	247.1
22.5	20.6	488.1	244.1	261
23.5	32.4	507.9	266.4	276.1
24.5	40.6	530.2	285.8	291.1
25.5	48.8	555.1	304.2	305.8
26.5	58.7	584.8	319	320.7
27.5	65.9	612.4	333.2	335.2
28.5	74.6	639.3	346.1	350.1
29.5	84.3	669.7	359.4	364.8
30.5	91	701.1	372.6	379.6
31.5	99.4	730	385.3	394.3
32.5	105.5	764.4	399.3	409
33.5	109.2	799.8	411.8	423.7
34.5	115.4	831.8	424.6	438.4
35.5	123.9	867.5	437.1	452.9
36.5	128.3	903.5	450.6	467.6
37.5	133.7	937.2	461.8	482.6
38.5	138.7	970.8	474.2	497
39.5	144.1	1007.6	485.7	512
40.5	156.5	1032.4	500.9	527.7
41.5	169.6	1043.1	518.7	543.8
42.5	183.4	1054.8	536.7	560.8
43.5	194	1070.6	555.4	577
44.5	208.4	1085.8	572.3	593.7
45.5	219	1097.9	592	610.4
46.5	232.5	1111	610.6	626.9
47.5	241.7	1123.8	629.2	643.4
48.5	248.9	1144.4	646.9	660.1
49.5	257.2	1154.6	664.4	676.6
50.5	265.8	1171.4	680.2	693.5
51.5	274.1	1189.6	698.3	709.8
52.5	283	1204.2	713.1	726
53.5	291.3	1225.8	729.2	742.4
54.5	296.9	1243.6	744.5	758.3
55.5	304.6	1271.3	759.6	775
56.5	310.2	1297.4	775.7	791.2
57.5	315	1324.9	791	807.2
58.5	320.9	1359	806.8	823.5
59.5	326.4	1393.2	822.8	839.6
60.5	339.5	1414.2	838.2	854.6
61.5	358	1426.5	851.8	869.4
62.5	373.3	1438.7	866.9	884
63.5	391.5	1447.4	883.4	898.8
64.5	406.7	1458.3	897.2	913.3
65.5	418.9	1467.3	912.3	928
66.5	433.3	1478.4	928.4	942.9
67.5	442.1	1488.7	944	957.3
68.5	453.7	1498.5	958.9	972
69.5	463.3	1511.3	975.5	986.5
70.5	470.1	1526.9	990.4	1000.8
71.5	480.6	1540.4	1004.8	1015.5
72.5	491.8	1555.5	1021.2	1030.1
73.5	499.2	1573.3	1036.7	1044.9
74.5	510.5	1588.6	1052	1059.5
75.5	518.2	1602.1	1066.4	1073.7
76.5	525.1	1619.9	1082	1088.3
77.5	530.5	1642.3	1097.9	1103
78.5	539.1	1659.5	1112.6	1117.1
79.5	544.9	1681.9	1129.9	1131.9
80.5	558.4	1698.2	1144.2	1146.4
81.5	585.2	1708.4	1160.3	1162
82.5	610.4	1715.4	1173.9	1177.3
83.5	637.7	1724.4	1189.6	1193.4
84.5	660.6	1733.7	1204.4	1208.3
85.5	685.8	1752	1220.6	1224
86.5	706.6	1760.4	1239.4	1239.4
87.5	725.3	1768.1	1256.8	1255.2
88.5	737.9	1776.2	1273.5	1270.6
89.5	753.7	1783.1	1294.2	1285.9
90.5	768.3	1785.2	1310.4	1301.3
91.5	781.9	1796.8	1329.2	1317
92.5	793.3	1808.2	1346	1332.2
93.5	805.8	1818.2	1362.7	1347.9
94.5	817.2	1833.2	1380.9	1363.2
95.5	831.7	1845.2	1399.7	1379.1
96.5	841.5	1861.4	1417	1394.7
97.5	852.9	1878.5	1432.1	1409.7
98.5	862.1	1898	1447.1	1425.7
99.5	877.9	1919.9	1461.7	1441.2
100.5	890.4	1936.6	1476.5	1455.9
101.5	917.8	1940.1	1488.2	1469.7
102.5	934.7	1947.7	1499.8	1483.8
103.5	960.4	1952.6	1513.9	1497.8
104.5	980.4	1962.9	1527.3	1511.8
105.5	997.9	1971.3	1538.2	1525.9
106.5	1012.3	1977.7	1551.9	1540.1
107.5	1032	1983.7	1566.7	1554.2
108.5	1045.7	1992.7	1581.9	1568.1
109.5	1055.1	1998.3	1597.2	1582.1
110.5	1070.8	2009.1	1613	1596.6
111.5	1085.6	2016.7	1627.4	1610.5
112.5	1101.4	2029.9	1643.9	1625.4
113.5	1114.7	2037.3	1659.1	1639.2
114.5	1130	2046.6	1675	1653
115.5	1141.5	2060	1690.3	1667.4
116.5	1149.6	2073.1	1705.5	1681.6
117.5	1161.7	2089.7	1719.1	1695.4
118.5	1165.3	2104.5	1734.3	1709.5
119.5	1173.1	2124.5	1749.3	1723.6
120.5	1200.2	2134.1	1760.8	1738
121.5	1243	2141.5	1775.3	1752.7
122.5	1287.1	2148.4	1787.6	1768.3
123.5	1324.9	2156.7	1801.8	1783.6
124.5	1362.8	2163.9	1812.3	1798.4
125.5	1403.1	2167.6	1826.6	1814
126.5	1438.7	2174.9	1838.6	1828.9
127.5	1473	2181.1	1852.5	1844.3
128.5	1507.8	2190.5	1863.7	1859.2
129.5	1542.1	2195.4	1876.9	1874.9
130.5	1573.9	2200.6	1890.3	1889.9
131.5	1605.7	2211.1	1902.7	1905.1
132.5	1634.6	2217.8	1917.6	1920.6
133.5	1667.3	2225.8	1930.9	1935.5
134.5	1698.1	2234	1944.7	1950.6
135.5	1725.8	2242.8	1958.4	1965.6
136.5	1751.7	2252	1972.3	1980.4
137.5	1770.2	2263.1	1985.3	1995.5
138.5	1785.6	2274.2	1998.9	2010.3
139.5	1802.4	2286.4	2011.7	2025
140.5	1823.1	2299.4	2029.3	2041.3
141.5	1849.1	2309.1	2045.4	2058.1
142.5	1869.8	2319.8	2063	2074.9
