depth	min95%	max95%	best	accrate
21	-7	440	248	14.82
22	10	454	263	14.8
23	19	469	277	14.78
24	30	485	292	14.76
25	37	505	307	14.75
26	47	526	322	14.73
27	56	547	336	14.71
28	66	573	351	14.7
29	76	600	366	14.68
30	86	622	381	14.67
31	96	647	395	14.65
32	106	671	410	14.64
33	115	698	424	14.63
34	125	723	439	14.61
35	130	746	454	14.6
36	136	768	468	14.59
37	146	790	483	14.58
38	157	817	497	14.57
39	167	839	512	14.56
40	178	864	527	14.55
41	189	890	541	14.54
42	200	915	556	14.53
43	211	938	570	14.52
44	222	961	585	14.52
45	232	986	599	14.51
46	244	1010	614	14.5
47	255	1034	628	14.5
48	267	1054	643	14.49
49	278	1074	657	14.49
50	288	1093	672	14.48
51	298	1112	686	14.48
52	308	1131	701	14.47
53	321	1150	715	14.47
54	334	1168	730	14.47
55	347	1189	744	14.47
56	360	1211	759	14.47
57	373	1234	773	14.47
58	386	1256	788	14.47
59	399	1278	802	14.47
60	411	1299	816	14.47
61	423	1320	831	14.47
62	436	1341	845	14.47
63	449	1359	860	14.47
64	462	1377	874	14.47
65	475	1394	889	14.48
66	488	1411	903	14.48
67	503	1427	918	14.49
68	518	1443	932	14.49
69	534	1459	947	14.5
70	549	1475	961	14.5
71	565	1490	976	14.51
72	581	1505	990	14.52
73	598	1519	1005	14.52
74	614	1533	1019	14.53
75	630	1546	1034	14.54
76	647	1559	1048	14.55
77	663	1573	1063	14.56
78	678	1585	1077	14.57
79	695	1598	1092	14.58
80	712	1610	1107	14.59
81	730	1622	1121	14.6
82	745	1633	1136	14.62
83	761	1645	1150	14.63
84	776	1656	1165	14.64
85	792	1666	1180	14.66
86	809	1680	1194	14.67
87	826	1694	1209	14.69
88	843	1708	1224	14.7
89	860	1722	1238	14.72
90	878	1735	1253	14.73
91	896	1748	1268	14.75
92	914	1761	1283	14.77
93	932	1774	1297	14.79
94	949	1787	1312	14.8
95	967	1799	1327	14.82
96	985	1811	1342	14.84
97	1004	1823	1357	14.86
98	1023	1833	1371	14.88
99	1041	1842	1386	14.9
100	1062	1851	1401	14.93
101	1082	1859	1416	14.95
102	1102	1868	1431	14.97
103	1120	1877	1446	14.99
104	1138	1885	1461	15.02
105	1157	1893	1476	15.04
106	1176	1901	1491	15.07
107	1194	1909	1506	15.09
108	1213	1917	1521	15.12
109	1234	1924	1536	15.14
110	1255	1932	1552	15.17
111	1275	1942	1567	15.2
112	1297	1953	1582	15.23
113	1318	1964	1597	15.25
114	1340	1975	1612	15.28
115	1361	1986	1628	15.31
116	1383	1997	1643	15.34
117	1404	2008	1658	15.37
118	1425	2016	1674	15.4
119	1445	2023	1689	15.43
120	1466	2030	1705	15.47
121	1487	2037	1720	15.5
122	1508	2044	1736	15.53
123	1529	2053	1751	15.57
124	1550	2065	1767	15.6
125	1573	2078	1782	15.63
126	1594	2090	1798	15.67
127	1614	2103	1814	15.71
128	1633	2115	1829	15.74
129	1655	2127	1845	15.78
130	1677	2139	1861	15.81
131	1697	2151	1877	15.85
132	1717	2160	1892	15.89
133	1739	2168	1908	15.93
134	1761	2177	1924	15.97
135	1781	2185	1940	16.01
136	1800	2201	1956	16.05
137	1818	2218	1972	16.09
138	1837	2232	1988	16.13
139	1857	2239	2005	16.17
140	1877	2247	2021	16.22
141	1896	2254	2037	16.26
142	1916	2261	2053	16.3
143	1935	2268	2069	16.35
144	1956	2275	2086	16.41
145	1975	2282	2102	16.47
146	1994	2288	2119	16.54
147	2016	2297	2135	16.61
148	2035	2304	2152	16.68
149	2052	2309	2169	16.76
150	2070	2327	2185	16.85
151	2087	2347	2202	16.94
152	2105	2368	2219	17.03
153	2124	2387	2236	17.13
154	2143	2407	2253	17.24
155	2162	2427	2270	17.35
156	2179	2450	2288	17.46
157	2196	2471	2305	17.58
158	2212	2494	2323	17.7
159	2229	2515	2341	17.83
160	2248	2536	2358	17.97
161	2265	2557	2376	18.11
162	2280	2578	2394	18.25
163	2296	2601	2413	18.4
164	2312	2623	2431	18.55
165	2328	2645	2450	18.71
166	2345	2663	2468	18.88
167	2360	2686	2487	19.04
168	2376	2710	2506	19.2
169	2391	2733	2526	19.36
170	2407	2753	2545	19.52
171	2422	2774	2564	19.67
172	2438	2797	2584	19.82
173	2454	2819	2604	19.96
174	2470	2843	2624	20.11
175	2483	2866	2644	20.25
176	2499	2890	2664	20.38
177	2517	2913	2685	20.52
178	2535	2936	2705	20.65
179	2554	2959	2726	20.77
180	2573	2980	2747	20.9
181	2590	2999	2767	21.02
182	2609	3022	2788	21.13
183	2628	3046	2810	21.25
184	2646	3068	2831	21.36
185	2664	3089	2852	21.47
186	2681	3113	2874	21.57
187	2700	3138	2895	21.67
188	2721	3161	2917	21.77
189	2744	3182	2939	21.87
190	2764	3204	2961	21.96
191	2784	3225	2982	22.05
192	2804	3246	3005	22.13
193	2825	3268	3027	22.22
194	2845	3288	3049	22.3
195	2866	3309	3071	22.37
196	2888	3330	3094	22.44
197	2909	3351	3116	22.51
198	2931	3374	3139	22.58
199	2952	3396	3161	22.64
200	2974	3419	3184	22.71
201	2996	3443	3206	22.76
202	3020	3466	3229	22.82
203	3046	3489	3252	22.87
204	3067	3513	3275	22.91
205	3089	3536	3298	22.96
206	3113	3560	3321	23
207	3136	3583	3344	23.04
208	3160	3607	3367	23.07
209	3182	3630	3390	23.11
210	3204	3654	3413	23.13
211	3227	3677	3436	23.16
212	3250	3700	3459	23.18
213	3273	3724	3482	23.2
214	3300	3747	3506	23.22
215	3327	3771	3529	23.23
216	3353	3794	3552	23.24
217	3376	3817	3575	23.25
218	3398	3840	3599	23.25
219	3420	3863	3622	23.25
220	3443	3885	3645	23.25
221	3465	3909	3668	23.24
222	3486	3932	3692	23.23
223	3508	3955	3715	23.22
224	3531	3978	3738	23.2
225	3553	4000	3761	23.18
226	3577	4021	3784	23.16
227	3600	4043	3808	23.14
228	3624	4066	3831	23.11
229	3648	4089	3854	23.08
230	3674	4111	3877	23.04
231	3698	4133	3900	23.01
232	3722	4152	3923	22.96
233	3746	4174	3946	22.92
234	3770	4194	3969	22.87
235	3794	4217	3992	22.82
236	3816	4239	4015	22.77
237	3839	4260	4037	22.71
238	3862	4281	4060	22.65
239	3886	4303	4083	22.59
240	3909	4324	4105	22.52
241	3932	4344	4128	22.45
242	3957	4365	4150	22.38
243	3980	4385	4173	22.3
244	4002	4405	4195	22.23
245	4023	4424	4217	22.14
246	4045	4443	4239	22.06
247	4066	4462	4261	21.97
248	4088	4481	4283	21.88
249	4108	4501	4305	21.78
250	4128	4520	4327	21.68
251	4151	4538	4349	21.58
252	4173	4557	4370	21.48
253	4193	4578	4392	21.37
254	4214	4599	4413	21.26
255	4236	4619	4434	21.15
256	4258	4639	4455	21.03
257	4280	4659	4477	20.91
258	4302	4680	4497	20.79
259	4322	4701	4518	20.66
260	4344	4721	4539	20.53
261	4364	4740	4559	20.4
262	4385	4759	4580	20.26
263	4406	4776	4600	20.12
264	4428	4794	4620	19.98
265	4447	4813	4640	19.84
266	4467	4831	4660	19.7
267	4488	4850	4680	19.56
268	4509	4869	4699	19.44
269	4528	4887	4719	19.31
270	4548	4905	4738	19.2
271	4569	4923	4757	19.09
272	4590	4941	4776	18.98
273	4612	4958	4795	18.89
274	4632	4975	4814	18.79
275	4652	4994	4833	18.71
276	4671	5011	4852	18.63
277	4690	5029	4870	18.55
278	4710	5048	4889	18.48
279	4729	5066	4907	18.42
280	4748	5085	4926	18.36
281	4767	5103	4944	18.31
282	4788	5123	4962	18.27
283	4808	5142	4981	18.23
284	4828	5161	4999	18.2
285	4849	5179	5017	18.17
286	4868	5196	5035	18.15
287	4888	5214	5053	18.13
288	4906	5231	5072	18.12
289	4923	5248	5090	18.12
290	4943	5267	5108	18.12
291	4962	5286	5126	18.13
292	4982	5305	5144	18.14
293	5000	5324	5162	18.16
294	5018	5343	5180	18.19
295	5037	5361	5199	18.22
296	5056	5379	5217	18.26
297	5074	5398	5235	18.3
298	5091	5417	5253	18.35
299	5111	5435	5272	18.41
300	5131	5453	5290	18.47
301	5149	5472	5309	18.54
302	5168	5491	5327	18.61
303	5189	5509	5346	18.69
304	5209	5528	5364	18.78
305	5229	5546	5383	18.87
306	5248	5565	5402	18.96
307	5269	5584	5421	19.07
308	5289	5604	5440	19.18
309	5309	5624	5459	19.29
310	5330	5646	5479	19.41
311	5350	5667	5498	19.54
312	5371	5685	5518	19.67
313	5392	5704	5537	19.81
314	5412	5724	5557	19.95
315	5431	5743	5577	20.1
316	5452	5763	5597	20.26
317	5474	5785	5617	20.42
318	5496	5805	5638	20.59
319	5517	5826	5658	20.76
320	5540	5847	5679	20.94
321	5558	5870	5700	21.13
322	5577	5895	5721	21.32
323	5599	5920	5742	21.52
324	5622	5945	5764	21.72
325	5646	5970	5786	21.93
326	5668	5993	5808	22.15
327	5691	6017	5830	22.37
328	5715	6039	5852	22.59
329	5738	6060	5875	22.83
330	5762	6082	5898	23.07
331	5785	6103	5921	23.31
332	5810	6125	5944	23.56
333	5834	6147	5968	23.82
334	5857	6169	5991	24.08
335	5882	6192	6015	24.35
336	5907	6214	6040	24.62
337	5933	6237	6064	24.89
338	5960	6260	6089	25.15
339	5988	6283	6114	25.4
340	6014	6306	6140	25.65
341	6039	6329	6165	25.88
342	6063	6353	6191	26.11
343	6088	6379	6217	26.34
344	6114	6404	6244	26.55
345	6140	6429	6270	26.76
346	6166	6454	6297	26.96
347	6193	6480	6324	27.15
348	6220	6504	6351	27.34
349	6247	6531	6379	27.52
350	6275	6559	6406	27.69
351	6303	6588	6434	27.85
352	6331	6618	6462	28.01
353	6358	6644	6490	28.15
354	6385	6672	6518	28.3
355	6412	6701	6546	28.43
356	6441	6729	6574	28.56
357	6470	6754	6603	28.67
358	6498	6780	6632	28.79
359	6526	6809	6660	28.89
360	6554	6838	6689	28.99
361	6584	6867	6718	29.08
362	6615	6896	6747	29.16
363	6647	6921	6777	29.23
364	6675	6949	6806	29.3
365	6704	6977	6835	29.36
366	6734	7007	6865	29.41
367	6762	7038	6894	29.46
368	6791	7066	6923	29.49
369	6822	7097	6953	29.52
370	6852	7127	6982	29.55
371	6882	7158	7012	29.56
372	6910	7188	7041	29.57
373	6940	7219	7071	29.57
374	6970	7251	7101	29.56
375	6999	7282	7130	29.55
376	7028	7313	7160	29.53
377	7057	7344	7189	29.5
378	7088	7375	7219	29.46
379	7116	7405	7248	29.42
380	7144	7435	7278	29.37
381	7173	7465	7307	29.31
382	7202	7495	7336	29.24
383	7231	7525	7366	29.17
384	7261	7555	7395	29.09
385	7291	7585	7424	29
386	7321	7614	7453	28.9
387	7350	7643	7482	28.8
388	7378	7671	7511	28.69
389	7406	7699	7539	28.57
390	7433	7727	7568	28.45
391	7459	7755	7596	28.31
392	7486	7784	7625	28.17
393	7515	7814	7653	28.03
394	7541	7842	7681	27.87
395	7570	7870	7709	27.71
396	7597	7898	7736	27.54
397	7625	7925	7764	27.36
398	7652	7952	7791	27.19
399	7679	7980	7818	27.02
400	7704	8007	7845	26.85
401	7730	8035	7872	26.68
402	7755	8062	7899	26.52
403	7781	8090	7925	26.36
404	7809	8115	7952	26.2
405	7836	8142	7978	26.05
406	7863	8169	8004	25.89
407	7888	8196	8030	25.74
408	7913	8221	8056	25.6
409	7937	8246	8081	25.45
410	7961	8271	8107	25.31
411	7985	8295	8132	25.18
412	8008	8319	8157	25.04
413	8032	8342	8182	24.91
414	8056	8366	8207	24.78
415	8082	8391	8232	24.65
416	8107	8415	8257	24.53
417	8132	8440	8281	24.41
418	8157	8465	8306	24.29
419	8182	8489	8330	24.17
420	8205	8513	8354	24.06
421	8228	8536	8378	23.95
422	8252	8561	8402	23.84
423	8275	8585	8426	23.74
424	8297	8610	8450	23.63
425	8320	8633	8473	23.53
426	8342	8655	8497	23.44
427	8365	8678	8520	23.35
428	8390	8700	8544	23.25
429	8415	8726	8567	23.17
430	8440	8750	8590	23.08
431	8463	8776	8613	23
432	8485	8801	8636	22.92
433	8506	8825	8659	22.84
434	8528	8846	8682	22.77
