depth	min95%	max95%	best	accrate
21	4	455	268	7.35
22	13	462	275	14.7
23	30	476	290	14.7
24	48	489	305	14.7
25	65	502	319	14.7
26	82	516	334	14.7
27	99	529	349	14.7
28	116	543	363	14.7
29	133	556	378	14.7
30	150	569	393	14.7
31	167	582	408	14.7
32	184	596	422	14.7
33	201	609	437	14.7
34	218	622	452	14.7
35	234	637	466	14.7
36	251	650	481	14.7
37	268	664	496	14.7
38	284	677	510	14.7
39	301	691	525	14.7
40	318	703	540	14.7
41	334	717	555	14.7
42	350	731	569	14.7
43	367	745	584	14.7
44	383	758	599	14.7
45	400	773	613	14.7
46	417	786	628	14.7
47	434	800	643	14.7
48	451	814	657	14.7
49	467	828	672	14.7
50	484	842	687	14.7
51	502	856	702	14.7
52	519	869	716	14.7
53	536	882	731	14.7
54	553	896	746	14.7
55	570	910	760	14.7
56	587	923	775	14.7
57	604	937	790	14.7
58	620	951	804	14.7
59	636	965	819	14.7
60	653	978	834	14.7
61	669	991	849	14.7
62	685	1005	863	14.7
63	701	1020	878	14.7
64	718	1035	893	14.7
65	734	1049	907	14.7
66	750	1062	922	14.7
67	767	1076	937	14.7
68	783	1090	951	14.7
69	800	1103	966	14.7
70	817	1118	981	14.7
71	834	1133	996	14.7
72	850	1147	1010	14.7
73	867	1161	1025	14.7
74	884	1176	1040	14.7
75	901	1190	1054	14.7
76	918	1207	1069	14.7
77	934	1224	1084	14.7
78	951	1240	1098	14.7
79	968	1256	1113	14.7
80	984	1272	1128	14.7
81	1000	1288	1143	14.7
82	1015	1305	1157	14.7
83	1031	1321	1172	14.7
84	1045	1337	1187	14.7
85	1060	1353	1201	14.7
86	1076	1369	1216	14.7
87	1093	1386	1231	14.7
88	1108	1402	1245	14.7
89	1124	1419	1260	14.7
90	1139	1435	1275	14.7
91	1155	1452	1290	14.7
92	1170	1468	1304	14.7
93	1186	1485	1319	14.7
94	1202	1501	1334	14.7
95	1217	1518	1348	14.7
96	1233	1534	1363	14.7
97	1248	1549	1378	14.7
98	1263	1566	1392	14.7
99	1277	1582	1407	14.7
100	1293	1599	1422	14.7
101	1310	1616	1437	14.7
102	1325	1632	1451	14.7
103	1339	1649	1466	14.7
104	1353	1666	1481	14.7
105	1368	1682	1495	14.7
106	1383	1698	1510	14.7
107	1397	1715	1525	14.7
108	1412	1732	1539	14.7
109	1426	1748	1554	14.7
110	1441	1765	1569	14.7
111	1456	1782	1584	14.7
112	1469	1798	1598	14.7
113	1484	1815	1613	14.7
114	1498	1832	1628	14.7
115	1513	1848	1642	14.7
116	1527	1865	1657	14.7
117	1541	1881	1672	14.7
118	1555	1898	1686	14.7
119	1569	1915	1701	14.7
120	1585	1931	1716	14.7
121	1601	1947	1731	14.7
122	1615	1963	1745	14.7
123	1629	1980	1760	14.7
124	1643	1996	1775	14.7
125	1659	2013	1789	14.7
126	1673	2029	1804	14.7
127	1687	2045	1819	14.7
128	1701	2060	1833	14.7
129	1714	2078	1848	14.7
130	1727	2093	1863	14.7
131	1742	2109	1878	14.7
132	1757	2127	1892	14.7
133	1771	2143	1907	14.7
134	1784	2160	1922	14.7
135	1798	2176	1936	14.7
136	1812	2191	1951	14.7
137	1826	2207	1966	14.7
138	1841	2223	1980	14.7
139	1854	2238	1995	14.7
140	1869	2255	2010	14.7
141	1884	2272	2025	17.17
142	1902	2286	2042	19.65
143	1924	2295	2061	19.65
144	1946	2302	2081	19.65
145	1968	2307	2101	19.65
146	1994	2317	2120	19.65
147	2014	2324	2140	19.65
148	2032	2335	2160	19.65
149	2051	2346	2179	19.65
150	2073	2357	2199	19.65
151	2095	2368	2219	19.65
152	2117	2384	2238	19.65
153	2136	2401	2258	19.65
154	2153	2421	2277	19.65
155	2170	2438	2297	19.65
156	2188	2455	2317	19.65
157	2202	2476	2336	19.65
158	2219	2499	2356	19.65
159	2237	2522	2376	19.65
160	2253	2547	2395	19.65
161	2269	2572	2415	19.65
162	2287	2596	2435	19.65
163	2302	2620	2454	19.65
164	2317	2645	2474	19.65
165	2332	2671	2494	19.65
166	2346	2696	2513	20.57
167	2364	2719	2534	21.48
168	2388	2738	2555	21.48
169	2411	2758	2577	21.48
170	2433	2779	2598	21.48
171	2457	2799	2620	21.48
172	2479	2819	2641	21.48
173	2502	2839	2663	21.48
174	2525	2859	2684	21.48
175	2547	2878	2706	21.48
176	2569	2900	2727	21.48
177	2592	2920	2749	21.48
178	2614	2939	2770	21.48
179	2637	2961	2792	21.48
180	2659	2980	2813	21.48
181	2682	3000	2835	21.48
182	2704	3020	2856	21.48
183	2727	3041	2878	21.48
184	2749	3062	2899	21.48
185	2772	3083	2921	21.48
