depth	min95%	max95%	best	accrate
21	-208	364	160	15.03
22	-188	376	175	15.05
23	-168	389	190	15.07
24	-148	402	205	15.1
25	-128	415	220	15.12
26	-108	427	235	15.14
27	-88	440	251	15.16
28	-68	452	266	15.18
29	-49	465	281	15.21
30	-29	478	296	15.23
31	-9	491	311	15.25
32	11	504	327	15.27
33	29	517	342	15.3
34	48	530	357	15.32
35	66	543	372	15.34
36	84	557	388	15.36
37	103	570	403	15.38
38	121	584	419	15.41
39	140	598	434	15.43
40	158	612	449	15.45
41	177	626	465	15.47
42	195	639	480	15.5
43	213	653	496	15.52
44	232	667	511	15.54
45	250	682	527	15.56
46	269	696	542	15.59
47	287	710	558	15.61
48	306	725	574	15.63
49	324	739	589	15.66
50	343	753	605	15.68
51	361	768	621	15.7
52	380	782	636	15.72
53	398	797	652	15.75
54	417	812	668	15.77
55	435	827	684	15.79
56	454	841	699	15.81
57	472	855	715	15.84
58	491	870	731	15.86
59	510	885	747	15.88
60	528	901	763	15.91
61	546	917	779	15.93
62	563	933	795	15.95
63	582	948	811	15.97
64	602	965	826	16
65	621	981	842	16.02
66	639	997	859	16.04
67	658	1011	875	16.07
68	676	1026	891	16.09
69	695	1041	907	16.11
70	713	1056	923	16.14
71	732	1072	939	16.16
72	750	1088	955	16.18
73	769	1103	971	16.21
74	788	1119	988	16.23
75	805	1134	1004	16.25
76	822	1149	1020	16.28
77	841	1165	1036	16.3
78	861	1180	1053	16.32
79	881	1197	1069	16.34
80	899	1213	1085	16.37
81	918	1229	1102	16.39
82	937	1245	1118	16.41
83	955	1262	1134	16.44
84	974	1277	1151	16.46
85	992	1294	1167	16.48
86	1011	1310	1184	16.51
87	1029	1327	1200	16.53
88	1048	1343	1217	16.56
89	1067	1360	1233	16.58
90	1085	1376	1250	16.6
91	1104	1392	1267	16.63
92	1123	1408	1283	16.65
93	1140	1425	1300	16.67
94	1160	1442	1317	16.7
95	1179	1458	1333	16.72
96	1198	1475	1350	16.74
97	1216	1491	1367	16.77
98	1235	1507	1383	16.79
99	1254	1524	1400	16.81
100	1273	1542	1417	16.84
101	1292	1559	1434	16.86
102	1310	1576	1451	16.89
103	1329	1593	1468	16.91
104	1347	1610	1485	16.93
105	1367	1627	1501	16.96
106	1387	1644	1518	16.98
107	1407	1661	1535	17
108	1426	1679	1552	17.03
109	1445	1696	1569	17.05
110	1464	1713	1586	17.08
111	1482	1730	1604	17.1
112	1500	1748	1621	17.12
113	1519	1764	1638	17.15
114	1536	1782	1655	17.17
115	1553	1798	1672	17.2
116	1571	1815	1689	17.22
117	1589	1832	1707	17.24
118	1607	1850	1724	17.27
119	1625	1867	1741	17.29
120	1644	1884	1758	17.32
121	1661	1902	1776	17.34
122	1679	1921	1793	17.37
123	1696	1939	1810	17.39
124	1713	1956	1828	17.41
125	1731	1974	1845	17.44
126	1748	1992	1863	17.46
127	1767	2010	1880	17.49
128	1786	2028	1898	17.51
129	1804	2046	1915	17.53
130	1822	2064	1933	17.56
131	1840	2081	1950	17.58
132	1859	2099	1968	17.61
133	1877	2117	1985	17.63
134	1895	2134	2003	17.66
135	1914	2152	2021	17.68
136	1933	2170	2038	17.71
137	1951	2187	2056	17.73
138	1969	2205	2074	17.75
139	1987	2223	2092	17.78
140	2004	2241	2109	17.8
141	2021	2259	2127	17.83
142	2039	2278	2145	17.85
143	2056	2295	2163	17.88
144	2074	2313	2181	17.9
145	2093	2330	2199	17.93
146	2112	2348	2216	17.95
147	2130	2366	2234	17.98
148	2148	2384	2252	18
149	2166	2401	2270	18.03
150	2185	2419	2288	18.05
151	2203	2436	2306	18.07
152	2222	2454	2325	18.1
153	2241	2472	2343	18.12
154	2259	2490	2361	18.15
155	2277	2508	2379	18.17
156	2295	2526	2397	18.2
157	2313	2544	2415	18.22
158	2332	2562	2434	18.25
159	2350	2581	2452	18.27
160	2369	2599	2470	18.3
161	2387	2617	2488	18.32
162	2405	2635	2507	18.35
163	2424	2653	2525	18.37
164	2442	2671	2543	18.4
165	2461	2689	2562	18.42
166	2479	2708	2580	18.45
167	2498	2726	2599	18.47
168	2516	2744	2617	18.5
169	2534	2762	2636	18.52
170	2552	2781	2654	18.55
171	2571	2799	2673	18.57
172	2589	2817	2691	18.6
173	2608	2836	2710	18.62
174	2626	2854	2729	18.65
175	2644	2872	2747	18.68
176	2663	2890	2766	18.7
177	2682	2909	2785	18.73
178	2700	2927	2803	18.75
179	2719	2945	2822	18.78
180	2738	2964	2841	18.8
181	2756	2982	2860	18.83
182	2775	3000	2878	18.85
183	2794	3019	2897	18.88
184	2813	3037	2916	18.9
185	2832	3056	2935	18.93
186	2852	3075	2954	18.95
187	2871	3094	2973	18.98
188	2890	3113	2992	19.01
189	2909	3133	3011	19.03
190	2928	3152	3030	19.06
191	2947	3171	3049	19.08
192	2966	3190	3068	19.11
193	2986	3209	3087	19.13
194	3005	3228	3106	19.16
195	3024	3247	3125	19.18
196	3044	3266	3145	19.21
197	3063	3285	3164	19.24
198	3082	3304	3183	19.26
199	3101	3323	3202	19.29
200	3120	3343	3222	19.31
201	3140	3362	3241	19.34
202	3159	3382	3260	19.36
203	3178	3401	3280	19.39
204	3198	3421	3299	19.42
205	3218	3440	3319	19.44
206	3238	3459	3338	19.47
207	3257	3478	3357	19.49
208	3277	3497	3377	19.52
209	3296	3516	3396	19.55
210	3316	3535	3416	19.57
211	3336	3555	3436	19.6
212	3356	3574	3455	19.62
213	3376	3593	3475	19.65
214	3396	3612	3494	19.68
215	3415	3632	3514	19.7
216	3434	3651	3534	19.73
217	3454	3672	3554	19.75
218	3474	3692	3573	19.78
219	3494	3712	3593	19.81
220	3514	3731	3613	19.83
221	3534	3751	3633	19.86
222	3554	3772	3653	19.89
223	3574	3792	3672	19.91
224	3594	3812	3692	19.94
225	3614	3832	3712	19.96
226	3635	3852	3732	19.99
227	3655	3871	3752	20.02
228	3675	3891	3772	20.04
229	3695	3911	3792	20.07
230	3715	3931	3812	20.1
231	3735	3951	3832	20.12
232	3756	3971	3853	20.15
233	3776	3991	3873	20.17
234	3797	4010	3893	20.2
235	3817	4030	3913	20.23
236	3838	4050	3933	20.25
237	3858	4069	3954	20.28
238	3879	4089	3974	20.31
239	3899	4108	3994	20.33
240	3920	4129	4015	20.36
241	3941	4149	4035	20.39
242	3961	4169	4055	20.41
243	3982	4189	4076	20.44
244	4003	4210	4096	20.47
245	4023	4230	4117	20.49
246	4044	4250	4137	20.52
247	4065	4270	4158	20.55
248	4086	4290	4178	20.57
249	4107	4311	4199	20.6
250	4127	4331	4219	20.63
251	4148	4351	4240	20.65
252	4168	4372	4261	20.68
253	4189	4392	4281	20.71
254	4209	4413	4302	20.74
255	4230	4434	4323	20.76
256	4250	4454	4343	20.79
257	4271	4474	4364	20.82
258	4292	4495	4385	20.84
259	4312	4515	4406	20.87
260	4333	4536	4427	20.9
261	4354	4556	4448	20.92
262	4374	4577	4469	20.95
263	4395	4598	4490	20.98
264	4416	4618	4511	21
265	4437	4639	4532	21.03
266	4457	4659	4553	21.06
267	4478	4680	4574	21.09
268	4500	4700	4595	21.11
269	4521	4721	4616	21.14
270	4542	4742	4637	21.17
271	4564	4763	4658	21.2
272	4585	4783	4679	21.22
273	4607	4804	4701	21.25
274	4628	4825	4722	21.28
275	4649	4846	4743	21.3
