depth	min95%	max95%	best	accrate
21	-1152	-268	-652	23.07
22	-1128	-246	-629	23.07
23	-1104	-224	-606	23.07
24	-1080	-202	-583	23.07
25	-1056	-180	-560	23.07
26	-1032	-158	-537	23.07
27	-1008	-136	-514	23.07
28	-983	-113	-491	23.07
29	-959	-91	-467	23.07
30	-935	-69	-444	23.07
31	-911	-47	-421	23.07
32	-887	-25	-398	23.07
33	-863	-3	-375	23.07
34	-839	19	-352	23.07
35	-815	42	-329	23.07
36	-791	64	-306	23.07
37	-767	86	-283	23.07
38	-742	108	-260	23.07
39	-718	130	-237	23.07
40	-694	153	-214	23.07
41	-670	175	-191	23.07
42	-646	197	-168	23.07
43	-622	219	-144	23.07
44	-598	242	-121	23.07
45	-574	264	-98	23.07
46	-550	286	-75	23.07
47	-526	308	-52	23.07
48	-501	330	-29	23.07
49	-477	353	-6	23.07
50	-453	375	17	23.07
51	-429	398	40	23.07
52	-405	420	63	23.07
53	-381	443	86	23.07
54	-357	465	109	23.07
55	-333	488	132	23.07
56	-308	510	155	23.07
57	-284	533	179	23.07
58	-260	555	202	23.07
59	-236	578	225	23.07
60	-211	600	248	23.07
61	-187	622	271	23.07
62	-163	645	294	23.07
63	-139	667	317	23.07
64	-114	690	340	23.07
65	-90	712	363	23.07
66	-66	734	386	23.07
67	-42	757	409	23.07
68	-18	778	432	23.07
69	6	800	455	23.07
70	31	822	478	23.07
71	55	844	502	23.07
72	79	866	525	23.07
73	103	887	548	23.07
74	127	909	571	23.07
75	151	931	594	23.07
76	175	953	617	23.07
77	200	975	640	23.07
78	224	997	663	23.07
79	248	1019	686	23.07
80	273	1041	709	23.07
81	297	1064	732	23.07
82	321	1086	755	23.07
83	345	1108	778	23.07
84	369	1130	801	23.07
85	393	1152	825	23.07
86	416	1175	848	23.07
87	440	1197	871	23.07
88	464	1219	894	23.07
89	488	1242	917	23.07
90	512	1264	940	23.07
91	537	1286	963	23.07
92	561	1308	986	23.07
93	585	1330	1009	23.07
94	609	1352	1032	23.07
95	633	1374	1055	23.07
96	657	1397	1078	23.07
97	681	1419	1101	23.07
98	706	1441	1124	23.07
99	730	1463	1148	23.07
100	755	1485	1171	23.07
101	779	1508	1194	23.07
102	803	1530	1217	23.07
103	827	1552	1240	23.07
104	851	1574	1263	23.07
105	875	1597	1286	23.07
106	900	1619	1309	23.07
107	924	1641	1332	23.07
108	948	1664	1355	23.07
109	972	1686	1378	23.07
110	996	1709	1401	23.07
111	1021	1731	1424	23.07
112	1045	1754	1447	23.07
113	1069	1776	1471	23.07
114	1093	1799	1494	23.07
115	1117	1821	1517	23.07
116	1141	1844	1540	23.07
117	1165	1866	1563	23.07
118	1189	1888	1586	23.07
119	1213	1911	1609	23.07
120	1237	1933	1632	23.07
121	1261	1956	1655	23.07
122	1285	1978	1678	23.07
123	1309	2000	1701	23.07
124	1333	2023	1724	23.07
125	1357	2045	1747	23.07
126	1382	2067	1771	23.07
127	1406	2089	1794	23.07
128	1430	2111	1817	23.07
129	1454	2133	1840	23.07
130	1478	2155	1863	23.07
131	1502	2177	1886	23.07
132	1526	2199	1909	23.07
133	1550	2221	1932	23.07
134	1574	2243	1955	23.07
135	1598	2265	1978	23.07
136	1622	2287	2001	23.07
137	1646	2309	2024	23.07
138	1670	2331	2047	23.07
139	1694	2353	2070	23.07
140	1718	2375	2094	23.07
141	1742	2397	2117	23.07
142	1766	2419	2140	23.07
143	1790	2441	2163	23.07
144	1815	2463	2186	23.07
145	1839	2486	2209	23.07
146	1863	2508	2232	23.07
147	1887	2530	2255	23.07
148	1911	2552	2278	23.08
149	1935	2574	2301	23.08
150	1959	2597	2324	23.08
151	1983	2620	2347	23.08
152	2007	2642	2370	23.08
153	2032	2665	2394	23.08
154	2056	2688	2417	23.08
155	2080	2711	2440	23.08
156	2105	2733	2463	23.08
157	2129	2755	2486	23.08
158	2153	2777	2509	23.08
159	2177	2799	2532	23.08
160	2202	2821	2555	23.08
161	2226	2843	2578	23.08
162	2250	2865	2601	23.08
163	2275	2887	2624	23.08
164	2299	2909	2647	23.08
165	2323	2931	2670	23.08
166	2347	2954	2694	23.08
167	2372	2976	2717	23.08
168	2396	2998	2740	23.08
169	2420	3021	2763	23.08
170	2445	3043	2786	23.08
171	2469	3066	2809	23.08
172	2493	3088	2832	23.08
173	2516	3111	2855	23.08
174	2540	3134	2878	23.08
175	2564	3156	2901	23.08
176	2588	3178	2924	23.08
177	2612	3200	2947	23.08
178	2636	3222	2970	23.08
179	2660	3244	2994	23.08
180	2684	3266	3017	23.08
181	2708	3288	3040	23.08
182	2732	3310	3063	23.08
183	2756	3332	3086	23.08
184	2780	3355	3109	23.08
185	2804	3378	3132	23.08
186	2827	3400	3155	23.08
187	2851	3423	3178	23.08
188	2875	3445	3201	23.08
189	2899	3468	3224	23.08
190	2923	3491	3247	23.08
191	2947	3513	3270	23.08
192	2971	3536	3294	23.08
193	2996	3558	3317	23.08
194	3020	3581	3340	23.08
195	3044	3603	3363	23.08
196	3068	3625	3386	23.08
197	3092	3647	3409	23.08
198	3116	3669	3432	23.08
199	3140	3691	3455	23.08
200	3165	3714	3478	23.08
201	3189	3737	3501	23.08
202	3213	3759	3524	23.08
203	3237	3782	3547	23.08
204	3261	3804	3570	23.08
205	3285	3827	3594	23.08
206	3309	3849	3617	23.08
207	3333	3871	3640	23.08
208	3358	3893	3663	23.08
209	3382	3916	3686	23.08
210	3406	3938	3709	23.08
211	3430	3961	3732	23.08
212	3454	3984	3755	23.08
213	3478	4006	3778	23.08
214	3502	4028	3801	23.08
215	3527	4050	3824	23.08
216	3551	4073	3847	23.08
217	3575	4095	3870	23.08
218	3599	4117	3894	23.08
219	3623	4140	3917	23.08
220	3647	4162	3940	23.08
221	3671	4185	3963	23.08
222	3695	4208	3986	23.08
223	3718	4231	4009	23.08
224	3742	4254	4032	23.08
225	3766	4276	4055	23.08
226	3790	4299	4078	23.08
227	3814	4321	4101	23.08
228	3838	4344	4124	23.08
229	3862	4366	4147	23.08
230	3886	4388	4171	23.08
231	3910	4411	4194	23.08
232	3934	4433	4217	23.08
233	3958	4455	4240	23.08
234	3982	4478	4263	23.08
235	4006	4500	4286	23.08
236	4030	4522	4309	23.08
237	4054	4545	4332	23.08
238	4079	4567	4355	23.08
