depth	min	max	median	mean
21.5	15	486	294	274
22.5	31	513	309	294
23.5	41	547	325	315
24.5	52	591	342	335
25.5	62	631	361	355
26.5	77	670	380	376
27.5	96	696	400	396
28.5	112	725	418	416
29.5	125	760	438	437
30.5	135	801	456	457
31.5	147	830	476	477
32.5	163	856	496	497
33.5	180	881	515	517
34.5	195	911	535	537
35.5	205	940	553	558
36.5	224	965	573	578
37.5	245	991	592	598
38.5	260	1019	612	618
39.5	276	1041	630	638
40.5	288	1070	648	658
41.5	303	1099	669	678
42.5	323	1119	688	699
43.5	338	1148	711	719
44.5	355	1176	731	740
45.5	369	1210	750	761
46.5	387	1236	769	781
47.5	408	1259	792	802
48.5	425	1282	812	822
49.5	437	1307	834	842
50.5	452	1331	855	863
51.5	471	1355	874	883
52.5	488	1375	894	903
53.5	502	1398	915	923
54.5	514	1421	935	943
55.5	530	1449	955	963
56.5	549	1473	974	983
57.5	566	1501	996	1003
58.5	584	1522	1016	1024
59.5	598	1550	1037	1044
60.5	610	1581	1057	1064
61.5	629	1606	1078	1085
62.5	646	1626	1098	1105
63.5	660	1656	1118	1125
64.5	673	1678	1136	1145
65.5	684	1704	1157	1165
66.5	701	1728	1176	1185
67.5	725	1752	1198	1205
68.5	745	1769	1217	1226
69.5	763	1794	1236	1246
70.5	775	1827	1258	1267
71.5	790	1857	1279	1287
72.5	812	1879	1298	1307
73.5	828	1901	1317	1327
74.5	841	1919	1338	1347
75.5	854	1946	1358	1367
76.5	870	1970	1378	1388
77.5	888	1992	1402	1409
78.5	905	2015	1425	1431
79.5	922	2042	1444	1452
80.5	936	2065	1463	1473
81.5	955	2090	1485	1494
82.5	977	2117	1505	1515
83.5	1000	2139	1527	1535
84.5	1014	2155	1548	1556
85.5	1028	2187	1570	1576
86.5	1044	2212	1590	1597
87.5	1066	2229	1610	1618
88.5	1085	2250	1631	1639
89.5	1100	2275	1654	1659
90.5	1116	2307	1676	1680
91.5	1133	2332	1696	1702
92.5	1154	2356	1716	1723
93.5	1176	2383	1737	1745
94.5	1190	2409	1758	1767
95.5	1203	2437	1782	1789
96.5	1218	2460	1803	1810
97.5	1246	2485	1822	1831
98.5	1262	2514	1844	1852
99.5	1275	2538	1865	1874
100.5	1292	2568	1885	1895
101.5	1311	2591	1905	1916
102.5	1331	2618	1927	1938
103.5	1350	2640	1949	1959
104.5	1363	2667	1971	1980
105.5	1379	2689	1992	2002
106.5	1399	2723	2011	2023
107.5	1424	2742	2034	2045
108.5	1446	2770	2058	2066
109.5	1468	2794	2079	2087
110.5	1482	2819	2100	2109
111.5	1497	2837	2121	2130
112.5	1522	2853	2142	2151
113.5	1536	2873	2162	2172
114.5	1555	2895	2183	2194
115.5	1575	2918	2204	2215
116.5	1593	2946	2226	2236
117.5	1614	2964	2248	2256
118.5	1634	2981	2268	2276
119.5	1648	3003	2289	2297
120.5	1665	3026	2308	2317
121.5	1683	3055	2328	2338
122.5	1705	3073	2347	2358
123.5	1726	3096	2369	2379
124.5	1734	3119	2390	2400
125.5	1752	3140	2411	2420
126.5	1772	3159	2432	2441
127.5	1792	3182	2453	2463
128.5	1811	3201	2469	2484
129.5	1830	3226	2490	2505
130.5	1842	3248	2510	2526
131.5	1868	3273	2532	2547
132.5	1892	3291	2555	2568
133.5	1917	3313	2580	2589
134.5	1934	3332	2601	2611
135.5	1953	3362	2624	2632
136.5	1974	3386	2645	2652
137.5	1996	3409	2664	2672
138.5	2015	3429	2684	2692
139.5	2028	3451	2704	2712
140.5	2038	3477	2726	2732
141.5	2057	3500	2744	2752
142.5	2078	3518	2764	2772
143.5	2095	3539	2786	2793
144.5	2115	3561	2806	2814
145.5	2135	3582	2826	2834
146.5	2153	3600	2848	2855
147.5	2171	3624	2871	2877
148.5	2190	3643	2890	2898
149.5	2210	3668	2913	2920
150.5	2231	3686	2935	2941
151.5	2249	3708	2956	2962
152.5	2271	3727	2978	2982
153.5	2290	3743	2997	3002
154.5	2310	3767	3020	3023
155.5	2328	3790	3041	3043
156.5	2344	3816	3060	3064
157.5	2365	3840	3080	3085
158.5	2384	3863	3101	3106
159.5	2400	3883	3120	3127
160.5	2421	3906	3141	3149
161.5	2442	3928	3160	3169
162.5	2461	3955	3181	3190
163.5	2474	3975	3204	3211
164.5	2491	4006	3222	3232
165.5	2508	4038	3244	3252
166.5	2529	4060	3263	3273
167.5	2548	4076	3287	3294
168.5	2568	4094	3311	3315
169.5	2581	4120	3331	3336
170.5	2592	4148	3351	3356
171.5	2615	4175	3375	3377
172.5	2648	4192	3397	3398
173.5	2668	4214	3416	3419
174.5	2685	4233	3436	3440
175.5	2706	4257	3457	3461
176.5	2724	4276	3481	3481
177.5	2748	4289	3502	3503
178.5	2762	4313	3526	3524
179.5	2780	4335	3547	3545
180.5	2795	4353	3567	3566
181.5	2815	4374	3589	3587
182.5	2839	4389	3608	3607
183.5	2860	4410	3629	3628
184.5	2877	4430	3647	3648
185.5	2898	4459	3666	3668
186.5	2916	4481	3687	3689
187.5	2935	4507	3709	3710
188.5	2959	4524	3729	3731
189.5	2975	4544	3753	3751
190.5	2992	4572	3775	3772
191.5	3013	4592	3796	3793
192.5	3033	4613	3818	3815
193.5	3056	4628	3840	3836
194.5	3079	4657	3857	3858
195.5	3104	4682	3877	3879
196.5	3121	4701	3898	3900
197.5	3149	4719	3916	3921
198.5	3177	4736	3937	3942
199.5	3194	4757	3957	3962
200.5	3212	4779	3977	3983
201.5	3228	4798	3997	4004
202.5	3248	4818	4019	4025
203.5	3269	4835	4041	4046
204.5	3291	4856	4060	4067
205.5	3306	4887	4080	4088
206.5	3328	4912	4102	4109
207.5	3351	4936	4121	4130
208.5	3367	4954	4144	4150
209.5	3389	4979	4166	4171
