depth	min95%	max95%	best	accrate
21	-78	461	221	73.43
22	24	529	295	72.98
23	3	767	368	72.54
24	-69	1046	440	72.09
25	-174	1338	512	71.64
26	-267	1630	584	71.2
27	-371	1925	655	70.76
28	-470	2223	726	70.32
29	-555	2533	796	69.88
30	-658	2839	866	69.44
31	-774	3117	935	69.01
32	-877	3393	1004	68.57
33	-965	3661	1073	68.14
34	-1052	3934	1141	67.71
35	-1152	4208	1209	67.28
36	-1250	4475	1276	66.85
37	-1348	4741	1343	66.42
38	-1445	5007	1409	65.99
39	-1540	5274	1475	65.57
40	-1635	5538	1541	65.14
41	-1730	5801	1606	64.72
42	-1821	6061	1671	64.3
43	-1913	6318	1735	63.88
44	-2003	6574	1799	63.47
45	-2090	6828	1862	63.05
46	-2181	7079	1925	62.64
47	-2269	7329	1988	62.22
48	-2355	7585	2050	61.81
49	-2434	7839	2112	61.4
50	-2513	8091	2174	60.99
51	-2591	8340	2235	60.58
52	-2668	8587	2295	60.18
53	-2744	8832	2355	59.77
54	-2819	9072	2415	59.37
55	-2893	9307	2474	58.97
56	-2966	9539	2533	58.57
57	-3038	9769	2592	58.17
58	-3109	9997	2650	57.77
59	-3179	10222	2708	57.37
60	-3249	10446	2765	56.98
61	-3317	10667	2822	56.59
62	-3385	10886	2879	56.2
63	-3451	11103	2935	55.8
64	-3517	11318	2991	55.42
65	-3582	11531	3046	55.03
66	-3646	11742	3101	54.64
67	-3709	11953	3156	54.26
68	-3771	12164	3210	53.87
69	-3832	12373	3264	53.49
70	-3892	12579	3318	53.11
71	-3952	12780	3371	52.73
72	-4013	12977	3423	52.36
73	-4075	13173	3476	51.98
74	-4137	13366	3528	51.61
75	-4197	13558	3579	51.23
76	-4257	13747	3631	50.86
77	-4315	13935	3681	50.49
78	-4373	14121	3732	50.12
79	-4430	14304	3782	49.75
80	-4486	14486	3832	49.39
81	-4541	14666	3881	49.02
82	-4595	14844	3930	48.66
83	-4648	15021	3979	48.3
84	-4701	15197	4027	47.94
85	-4752	15370	4075	47.58
86	-4803	15542	4123	47.22
87	-4853	15711	4170	46.87
88	-4902	15879	4217	46.51
89	-4950	16044	4263	46.16
90	-4997	16208	4309	45.81
91	-5044	16370	4355	45.46
92	-5089	16530	4401	45.11
93	-5134	16689	4446	44.76
94	-5178	16845	4491	44.42
95	-5221	17000	4535	44.07
96	-5263	17152	4579	43.73
97	-5304	17303	4623	43.39
98	-5345	17452	4666	43.05
99	-5385	17599	4709	42.71
100	-5424	17745	4752	42.37
101	-5462	17888	4794	42.03
102	-5499	18030	4836	41.7
103	-5535	18170	4878	41.37
104	-5571	18309	4919	41.04
105	-5606	18445	4960	40.71
106	-5639	18580	5001	40.38
107	-5669	18713	5042	40.05
108	-5699	18844	5082	39.72
109	-5728	18973	5121	39.4
110	-5756	19101	5161	39.08
111	-5786	19226	5200	38.75
112	-5815	19351	5239	38.43
113	-5844	19473	5277	38.12
114	-5872	19594	5315	37.8
115	-5899	19713	5353	37.48
116	-5925	19830	5390	37.17
117	-5951	19946	5428	36.86
118	-5976	20059	5464	36.54
119	-6000	20172	5501	36.23
120	-6023	20282	5537	35.93
121	-6046	20391	5573	35.62
122	-6068	20499	5609	35.31
123	-6089	20604	5644	35.01
124	-6109	20708	5679	34.7
125	-6129	20811	5714	34.4
126	-6148	20911	5748	34.1
127	-6166	21011	5782	33.8
128	-6183	21108	5816	33.51
129	-6200	21204	5850	33.21
130	-6216	21298	5883	32.92
131	-6231	21391	5916	32.62
132	-6245	21482	5948	32.33
133	-6259	21572	5981	32.04
134	-6272	21660	6013	31.75
135	-6285	21747	6044	31.47
136	-6296	21832	6076	31.18
137	-6307	21915	6107	30.9
138	-6317	21997	6138	30.61
139	-6327	22077	6169	30.33
140	-6336	22156	6199	30.05
141	-6344	22234	6229	29.77
142	-6352	22309	6259	29.5
143	-6358	22384	6288	29.22
144	-6365	22457	6317	28.95
145	-6370	22528	6346	28.67
146	-6375	22598	6375	28.4
147	-6379	22666	6404	28.13
148	-6382	22733	6432	27.86
149	-6385	22799	6460	27.6
150	-6387	22863	6487	27.33
151	-6389	22926	6514	27.07
152	-6389	22987	6542	26.8
153	-6390	23047	6568	26.54
154	-6389	23105	6595	26.28
155	-6388	23162	6621	26.03
156	-6386	23218	6647	25.77
157	-6384	23272	6673	25.51
158	-6381	23325	6698	25.26
159	-6377	23376	6724	25.01
160	-6372	23426	6749	24.75
161	-6368	23475	6773	24.5
162	-6362	23522	6798	24.26
163	-6356	23568	6822	24.01
164	-6349	23613	6846	23.76
165	-6341	23656	6870	23.52
166	-6333	23698	6894	23.28
167	-6325	23739	6917	23.03
168	-6316	23778	6940	22.8
169	-6306	23816	6963	22.56
170	-6295	23853	6985	22.32
171	-6284	23888	7008	22.08
172	-6272	23922	7030	21.85
173	-6260	23955	7051	21.62
174	-6247	23987	7073	21.39
175	-6234	24017	7094	21.16
176	-6220	24046	7116	20.93
177	-6206	24074	7137	20.7
178	-6190	24101	7157	20.48
179	-6175	24126	7178	20.25
180	-6158	24150	7198	20.03
181	-6142	24174	7218	19.81
182	-6124	24196	7238	19.59
183	-6106	24217	7257	19.37
184	-6088	24237	7277	19.15
185	-6069	24256	7296	18.94
186	-6049	24273	7315	18.72
187	-6029	24289	7334	18.51
188	-6008	24305	7352	18.3
189	-5987	24319	7370	18.09
190	-5965	24331	7388	17.88
191	-5943	24343	7406	17.67
192	-5920	24354	7424	17.47
193	-5897	24363	7441	17.26
194	-5873	24371	7459	17.06
195	-5849	24378	7476	16.86
196	-5824	24385	7493	16.66
197	-5798	24390	7509	16.46
198	-5773	24393	7526	16.27
199	-5746	24396	7542	16.07
200	-5719	24398	7558	15.88
201	-5692	24399	7574	15.68
202	-5664	24398	7590	15.49
203	-5636	24397	7605	15.3
204	-5607	24394	7620	15.11
205	-5577	24391	7636	14.93
206	-5547	24386	7651	14.74
207	-5517	24380	7665	14.56
208	-5486	24374	7680	14.38
209	-5455	24366	7694	14.19
210	-5423	24357	7708	14.01
211	-5391	24348	7722	13.84
212	-5358	24337	7736	13.66
213	-5325	24325	7750	13.48
214	-5292	24313	7763	13.31
215	-5258	24299	7777	13.14
216	-5223	24284	7790	12.97
217	-5188	24269	7803	12.8
218	-5153	24252	7816	12.63
219	-5117	24235	7828	12.46
220	-5081	24217	7841	12.3
221	-5044	24197	7853	12.13
222	-5007	24177	7865	11.97
223	-4969	24156	7877	11.81
224	-4931	24134	7889	11.65
225	-4893	24111	7901	11.49
226	-4854	24088	7912	11.33
227	-4815	24063	7923	11.18
228	-4775	24037	7935	11.03
229	-4735	24011	7946	10.87
230	-4694	23984	7956	10.72
231	-4653	23956	7967	10.57
232	-4612	23927	7978	10.42
233	-4570	23897	7988	10.28
234	-4528	23866	7998	10.13
235	-4486	23835	8009	9.99
236	-4443	23802	8019	9.85
237	-4400	23769	8028	9.7
238	-4356	23735	8038	9.56
239	-4312	23701	8048	9.43
240	-4268	23665	8057	9.29
241	-4223	23629	8066	9.15
242	-4178	23592	8076	9.02
243	-4132	23554	8085	8.89
244	-4087	23516	8093	8.76
245	-4040	23476	8102	8.63
246	-3994	23436	8111	8.5
247	-3947	23396	8119	8.37
248	-3899	23354	8128	8.25
249	-3852	23312	8136	8.12
250	-3804	23269	8144	8
251	-3755	23225	8152	7.88
252	-3706	23181	8160	7.76
253	-3657	23136	8168	7.64
254	-3608	23090	8175	7.53
255	-3558	23044	8183	7.41
256	-3508	22997	8190	7.3
257	-3458	22949	8198	7.19
258	-3407	22901	8205	7.07
259	-3356	22852	8212	6.96
260	-3305	22802	8219	6.86
261	-3253	22752	8226	6.75
262	-3201	22701	8232	6.65
263	-3149	22649	8239	6.54
264	-3097	22597	8246	6.44
265	-3044	22544	8252	6.34
266	-2991	22491	8258	6.24
267	-2937	22437	8265	6.14
268	-2884	22383	8271	6.04
269	-2830	22327	8277	5.95
270	-2775	22272	8283	5.86
271	-2721	22216	8289	5.76
272	-2666	22159	8294	5.67
273	-2611	22101	8300	5.58
274	-2555	22044	8306	5.49
275	-2499	21985	8311	5.41
276	-2442	21926	8317	5.32
277	-2384	21867	8322	5.24
278	-2327	21807	8327	5.16
279	-2269	21745	8332	5.08
280	-2211	21683	8337	5
281	-2153	21620	8342	4.92
282	-2094	21557	8347	4.84
283	-2036	21494	8352	4.77
284	-1977	21430	8357	4.69
285	-1918	21365	8362	4.62
286	-1858	21300	8366	4.55
287	-1799	21235	8371	4.48
288	-1739	21169	8375	4.41
289	-1679	21103	8380	4.35
290	-1619	21036	8384	4.28
291	-1558	20969	8388	4.22
292	-1498	20902	8392	4.16
293	-1437	20834	8397	4.1
294	-1376	20766	8401	4.04
295	-1315	20697	8405	3.98
296	-1253	20628	8409	3.92
297	-1192	20559	8413	3.87
298	-1130	20489	8417	3.81
299	-1068	20419	8420	3.76
300	-1006	20349	8424	3.71
301	-943	20278	8428	3.66
302	-881	20207	8431	3.61
303	-818	20135	8435	3.57
304	-755	20064	8439	3.52
305	-692	19992	8442	3.48
306	-629	19920	8446	3.44
307	-566	19847	8449	3.4
308	-503	19774	8452	3.36
309	-439	19701	8456	3.32
310	-375	19628	8459	3.28
311	-312	19554	8462	3.25
312	-248	19480	8466	3.21
313	-183	19406	8469	3.18
314	-119	19331	8472	3.15
315	-55	19257	8475	3.12
316	10	19182	8478	3.09
317	74	19107	8481	3.07
318	139	19032	8485	3.04
319	204	18956	8488	3.02
320	269	18881	8491	3
321	334	18805	8494	2.98
322	399	18729	8497	2.96
323	464	18652	8499	2.94
324	530	18576	8502	2.92
325	595	18500	8505	2.91
326	661	18423	8508	2.89
327	726	18346	8511	2.88
328	792	18269	8514	2.87
