depth	min95%	max95%	best	accrate
21	-21	430	241	47.45
22	29	479	288	47.21
23	73	525	335	46.97
24	117	583	382	46.73
25	158	636	429	46.5
26	200	691	475	46.26
27	242	751	522	46.02
28	284	810	568	45.79
29	326	864	613	45.56
30	366	919	659	45.32
31	404	974	704	45.09
32	444	1032	749	44.86
33	482	1094	794	44.63
34	523	1154	839	44.4
35	560	1210	883	44.17
36	595	1271	928	43.94
37	629	1335	971	43.72
38	664	1391	1015	43.49
39	701	1448	1059	43.27
40	733	1507	1102	43.04
41	763	1563	1145	42.82
42	798	1623	1188	42.59
43	830	1682	1230	42.37
44	859	1744	1273	42.15
45	888	1802	1315	41.93
46	914	1861	1357	41.71
47	945	1920	1399	41.49
48	979	1981	1440	41.27
49	1010	2042	1481	41.05
50	1042	2097	1522	40.84
51	1075	2151	1563	40.62
52	1108	2204	1604	40.41
53	1142	2257	1644	40.19
54	1175	2310	1684	39.98
55	1207	2362	1724	39.77
56	1236	2414	1764	39.55
57	1266	2466	1804	39.34
58	1297	2518	1843	39.13
59	1327	2569	1882	38.92
60	1357	2620	1921	38.72
61	1388	2673	1960	38.51
62	1418	2725	1998	38.3
63	1448	2777	2037	38.09
64	1479	2829	2075	37.89
65	1509	2880	2113	37.68
66	1538	2931	2150	37.48
67	1567	2981	2188	37.28
68	1596	3030	2225	37.07
69	1624	3079	2262	36.87
70	1653	3128	2299	36.67
71	1681	3176	2336	36.47
72	1710	3224	2372	36.27
73	1739	3271	2408	36.07
74	1768	3318	2445	35.88
75	1798	3365	2480	35.68
76	1827	3411	2516	35.48
77	1856	3457	2552	35.29
78	1883	3503	2587	35.1
79	1910	3549	2622	34.9
80	1935	3594	2657	34.71
81	1961	3639	2692	34.52
82	1988	3683	2726	34.33
83	2015	3727	2760	34.14
84	2042	3771	2795	33.95
85	2068	3815	2828	33.76
86	2093	3859	2862	33.57
87	2117	3903	2896	33.38
88	2141	3948	2929	33.2
89	2165	3992	2962	33.01
90	2190	4036	2995	32.83
91	2216	4080	3028	32.64
92	2241	4123	3061	32.46
93	2266	4165	3093	32.28
94	2291	4206	3126	32.1
95	2316	4248	3158	31.92
96	2342	4290	3190	31.74
97	2368	4333	3221	31.56
98	2393	4374	3253	31.38
99	2418	4416	3284	31.2
100	2442	4458	3315	31.02
101	2467	4499	3347	30.85
102	2492	4539	3377	30.67
103	2517	4580	3408	30.5
104	2542	4620	3439	30.33
105	2566	4659	3469	30.15
106	2589	4698	3499	29.98
107	2612	4736	3529	29.81
108	2634	4774	3559	29.64
109	2656	4812	3588	29.47
110	2678	4849	3618	29.3
111	2700	4885	3647	29.13
112	2722	4921	3676	28.97
113	2744	4956	3705	28.8
114	2766	4992	3734	28.64
115	2788	5027	3763	28.47
116	2810	5062	3791	28.31
117	2832	5098	3820	28.14
118	2853	5135	3848	27.98
119	2875	5172	3876	27.82
120	2896	5208	3903	27.66
121	2918	5243	3931	27.5
122	2939	5279	3959	27.34
123	2961	5314	3986	27.18
124	2983	5349	4013	27.02
125	3004	5384	4040	26.87
126	3026	5418	4067	26.71
127	3047	5452	4094	26.56
128	3069	5486	4120	26.4
129	3090	5519	4147	26.25
130	3111	5553	4173	26.1
131	3133	5586	4199	25.95
132	3154	5618	4225	25.79
133	3175	5650	4251	25.64
134	3196	5682	4276	25.49
135	3217	5713	4302	25.35
136	3239	5743	4327	25.2
137	3261	5774	4352	25.05
138	3282	5804	4378	24.91
139	3303	5834	4402	24.76
140	3325	5863	4427	24.62
141	3346	5892	4452	24.47
142	3367	5921	4476	24.33
143	3388	5950	4501	24.19
144	3410	5978	4525	24.04
145	3431	6005	4549	23.9
146	3452	6033	4573	23.76
