depth	min	max	median	mean
21.5	16	481	296	275
22.5	30	511	312	295
23.5	41	550	326	316
24.5	51	597	344	337
25.5	62	645	363	358
26.5	72	695	382	379
27.5	81	746	402	400
28.5	87	798	420	421
29.5	93	860	436	442
30.5	100	914	449	463
31.5	117	955	468	484
32.5	139	973	488	505
33.5	153	993	510	526
34.5	167	1028	531	547
35.5	182	1060	550	568
36.5	193	1091	570	589
37.5	206	1133	589	611
38.5	216	1173	607	632
39.5	227	1217	625	653
40.5	236	1260	643	674
41.5	252	1297	661	694
42.5	275	1317	684	715
43.5	291	1334	705	735
44.5	306	1354	726	755
45.5	316	1385	745	775
46.5	328	1408	764	795
47.5	339	1429	784	816
48.5	348	1467	807	836
49.5	359	1500	827	856
50.5	370	1532	847	876
51.5	386	1560	867	897
52.5	408	1580	889	918
53.5	425	1592	910	939
54.5	438	1615	934	961
55.5	450	1641	958	982
56.5	464	1672	978	1003
57.5	475	1709	1001	1024
58.5	486	1730	1021	1046
59.5	494	1765	1041	1067
60.5	511	1797	1061	1088
61.5	529	1825	1083	1109
62.5	549	1846	1101	1129
63.5	567	1876	1122	1149
64.5	586	1890	1140	1169
65.5	601	1920	1161	1189
66.5	619	1953	1182	1209
67.5	631	1978	1204	1229
68.5	640	2007	1224	1249
69.5	657	2044	1244	1269
70.5	666	2095	1261	1289
71.5	679	2120	1282	1309
72.5	700	2136	1302	1330
73.5	717	2149	1326	1350
74.5	744	2169	1347	1371
75.5	755	2184	1368	1392
76.5	764	2196	1391	1413
77.5	772	2224	1410	1433
78.5	784	2238	1429	1454
79.5	798	2262	1449	1475
80.5	803	2297	1470	1495
81.5	816	2326	1491	1516
82.5	835	2350	1511	1536
83.5	853	2370	1529	1557
84.5	870	2403	1550	1577
85.5	886	2439	1572	1597
86.5	904	2472	1594	1618
87.5	919	2511	1617	1638
88.5	933	2538	1636	1658
89.5	949	2571	1652	1679
90.5	961	2602	1671	1699
91.5	978	2625	1690	1719
92.5	993	2640	1711	1740
93.5	1012	2665	1735	1760
94.5	1030	2687	1756	1780
95.5	1046	2714	1777	1800
96.5	1068	2742	1797	1821
97.5	1076	2766	1818	1841
98.5	1084	2789	1837	1861
99.5	1101	2816	1858	1881
100.5	1116	2837	1878	1901
101.5	1130	2860	1897	1922
102.5	1151	2876	1923	1943
103.5	1167	2903	1947	1965
104.5	1179	2931	1967	1986
105.5	1199	2962	1989	2007
106.5	1211	2984	2010	2029
107.5	1226	3000	2026	2050
108.5	1242	3019	2048	2071
109.5	1255	3054	2070	2092
110.5	1270	3080	2091	2114
111.5	1287	3100	2112	2134
112.5	1301	3127	2133	2155
113.5	1315	3136	2152	2175
114.5	1331	3144	2169	2195
115.5	1339	3172	2191	2215
116.5	1359	3198	2212	2235
117.5	1381	3227	2230	2255
118.5	1392	3253	2247	2276
119.5	1408	3283	2268	2296
120.5	1423	3306	2291	2316
121.5	1438	3326	2309	2336
122.5	1458	3344	2327	2357
123.5	1478	3369	2349	2378
124.5	1503	3396	2371	2399
125.5	1522	3403	2394	2420
126.5	1547	3442	2414	2441
127.5	1564	3470	2434	2462
128.5	1570	3494	2452	2483
129.5	1585	3524	2473	2504
130.5	1597	3545	2496	2525
131.5	1615	3569	2515	2545
132.5	1636	3582	2534	2565
133.5	1658	3599	2557	2585
134.5	1676	3624	2580	2605
135.5	1694	3644	2599	2625
136.5	1713	3669	2621	2645
137.5	1730	3698	2640	2665
138.5	1748	3726	2662	2684
139.5	1767	3761	2679	2704
140.5	1789	3787	2702	2724
141.5	1807	3819	2722	2745
142.5	1830	3839	2743	2766
143.5	1850	3854	2765	2787
144.5	1880	3871	2789	2809
145.5	1891	3883	2811	2830
146.5	1901	3899	2831	2851
147.5	1918	3923	2852	2873
148.5	1939	3947	2872	2894
149.5	1953	3973	2896	2915
150.5	1968	4005	2919	2936
151.5	1988	4024	2938	2957
152.5	2012	4046	2959	2977
153.5	2035	4067	2975	2997
154.5	2061	4089	2994	3017
155.5	2076	4111	3014	3038
156.5	2099	4137	3035	3058
157.5	2112	4154	3056	3078
158.5	2131	4186	3077	3098
159.5	2143	4213	3096	3118
160.5	2154	4232	3121	3138
161.5	2168	4260	3142	3158
162.5	2185	4280	3162	3177
163.5	2210	4288	3182	3197
164.5	2226	4298	3203	3216
165.5	2242	4318	3220	3236
166.5	2252	4338	3242	3255
167.5	2259	4352	3265	3275
168.5	2270	4363	3290	3295
169.5	2286	4386	3313	3314
170.5	2299	4412	3333	3334
171.5	2323	4441	3352	3354
172.5	2332	4454	3373	3375
173.5	2347	4479	3394	3395
174.5	2362	4506	3412	3416
175.5	2376	4530	3435	3437
176.5	2392	4551	3455	3458
177.5	2411	4564	3473	3479
178.5	2433	4591	3491	3499
179.5	2459	4614	3511	3520
180.5	2474	4647	3529	3541
181.5	2494	4672	3551	3562
182.5	2507	4681	3570	3582
183.5	2526	4704	3587	3603
184.5	2552	4718	3605	3623
185.5	2566	4742	3631	3644
186.5	2594	4775	3652	3664
187.5	2613	4797	3671	3685
188.5	2627	4822	3689	3706
189.5	2651	4850	3711	3726
190.5	2677	4864	3731	3747
191.5	2701	4888	3752	3768
192.5	2725	4906	3772	3789
193.5	2744	4917	3793	3810
194.5	2764	4936	3813	3831
195.5	2779	4965	3836	3852
196.5	2799	4997	3861	3874
197.5	2811	5015	3882	3895
198.5	2826	5039	3905	3916
199.5	2837	5061	3927	3937
200.5	2846	5089	3946	3959
201.5	2869	5107	3967	3980
202.5	2905	5135	3989	4001
203.5	2929	5165	4010	4022
204.5	2964	5191	4034	4043
205.5	2993	5213	4055	4065
206.5	3020	5237	4075	4086
207.5	3040	5258	4094	4107
208.5	3051	5275	4111	4128
209.5	3078	5296	4129	4149
210.5	3102	5315	4148	4171
211.5	3118	5334	4166	4191
212.5	3148	5363	4186	4212
213.5	3172	5390	4211	4232
214.5	3186	5412	4234	4253
215.5	3205	5437	4252	4273
216.5	3224	5453	4274	4294
217.5	3237	5471	4297	4314
218.5	3251	5490	4316	4335
219.5	3263	5509	4334	4355
220.5	3280	5533	4356	4376
221.5	3293	5557	4377	4396
222.5	3325	5571	4396	4417
223.5	3338	5582	4418	4437
224.5	3358	5595	4440	4458
225.5	3382	5618	4461	4478
226.5	3401	5632	4477	4499
227.5	3419	5650	4504	4519
228.5	3440	5684	4521	4540
229.5	3461	5705	4537	4560
230.5	3476	5724	4555	4581
231.5	3511	5747	4577	4602
232.5	3535	5767	4599	4623
233.5	3555	5793	4623	4644
234.5	3580	5810	4645	4666
235.5	3618	5821	4665	4687
236.5	3650	5827	4691	4708
237.5	3661	5844	4713	4730
238.5	3680	5859	4738	4751
239.5	3697	5881	4761	4772
240.5	3710	5913	4783	4793
241.5	3733	5936	4804	4815
242.5	3765	5948	4824	4836
243.5	3791	5967	4847	4857
244.5	3817	5997	4867	4879
245.5	3833	6016	4897	4900
246.5	3864	6038	4918	4921
247.5	3880	6062	4935	4943
248.5	3897	6093	4954	4964
249.5	3909	6108	4973	4985
250.5	3921	6126	4994	5007
251.5	3945	6144	5015	5027
252.5	3977	6158	5036	5047
253.5	4007	6182	5058	5067
254.5	4030	6208	5077	5086
255.5	4054	6228	5097	5106
256.5	4063	6251	5118	5126
257.5	4077	6272	5143	5145
258.5	4098	6291	5161	5165
259.5	4122	6308	5180	5185
260.5	4137	6333	5198	5205
261.5	4156	6353	5217	5225
262.5	4174	6365	5235	5245
263.5	4204	6389	5257	5266
264.5	4222	6409	5277	5286
265.5	4248	6431	5294	5307
266.5	4270	6440	5315	5327
267.5	4297	6464	5340	5348
268.5	4309	6485	5359	5368
269.5	4325	6502	5379	5389
270.5	4352	6520	5402	5410
271.5	4373	6545	5424	5430
272.5	4401	6564	5448	5451
273.5	4418	6579	5468	5472
274.5	4435	6592	5489	5493
275.5	4454	6612	5508	5514
276.5	4470	6634	5527	5535
277.5	4493	6657	5547	5556
278.5	4504	6692	5569	5577
279.5	4518	6719	5591	5598
280.5	4526	6746	5611	5619
281.5	4545	6769	5633	5640
282.5	4570	6785	5649	5660
283.5	4592	6801	5671	5681
284.5	4610	6818	5698	5702
285.5	4626	6835	5720	5722
286.5	4648	6856	5743	5743
287.5	4667	6865	5763	5763
288.5	4692	6881	5783	5784
289.5	4705	6897	5802	5805
290.5	4715	6918	5825	5825
291.5	4738	6939	5846	5846
292.5	4774	6959	5865	5867
293.5	4795	6983	5884	5889
294.5	4829	6995	5907	5910
295.5	4854	7007	5929	5931
296.5	4873	7034	5955	5953
297.5	4895	7063	5974	5974
298.5	4913	7082	5997	5995
299.5	4935	7105	6018	6017
300.5	4959	7125	6041	6038
301.5	4982	7144	6061	6059
302.5	5009	7152	6081	6080
303.5	5041	7177	6102	6101
304.5	5072	7196	6122	6121
305.5	5108	7205	6144	6142
306.5	5132	7224	6166	6163
307.5	5143	7244	6185	6184
308.5	5162	7263	6204	6205
309.5	5182	7286	6224	6226
310.5	5202	7316	6242	6247
311.5	5223	7349	6264	6267
312.5	5243	7370	6285	6286
313.5	5262	7385	6311	6306
314.5	5288	7401	6332	6326
315.5	5320	7414	6351	6346
316.5	5340	7433	6369	6365
317.5	5361	7462	6387	6385
318.5	5380	7487	6407	6405
319.5	5397	7507	6427	6424
320.5	5404	7528	6445	6444
321.5	5427	7551	6466	6464
322.5	5455	7560	6485	6484
323.5	5474	7572	6503	6504
324.5	5490	7590	6521	6524
325.5	5510	7611	6542	6544
326.5	5524	7622	6565	6564
327.5	5535	7637	6586	6584
328.5	5552	7654	6609	6604
329.5	5573	7675	6627	6624
330.5	5584	7697	6649	6644
331.5	5601	7707	6675	6665
332.5	5637	7717	6695	6686
333.5	5664	7741	6721	6708
334.5	5696	7753	6744	6729
335.5	5722	7769	6761	6750
336.5	5743	7784	6781	6772
337.5	5767	7801	6806	6793
338.5	5788	7819	6826	6815
339.5	5801	7841	6849	6836
340.5	5819	7864	6872	6857
341.5	5830	7881	6895	6878
342.5	5873	7893	6913	6899
343.5	5894	7911	6932	6919
344.5	5927	7923	6952	6940
345.5	5946	7937	6969	6960
346.5	5967	7948	6992	6981
347.5	5999	7968	7014	7001
348.5	6022	7988	7036	7022
349.5	6037	8010	7059	7042
350.5	6062	8040	7074	7063
351.5	6089	8055	7091	7084
352.5	6114	8064	7115	7105
353.5	6131	8082	7137	7126
354.5	6155	8100	7158	7148
355.5	6175	8120	7183	7169
356.5	6193	8132	7203	7191
357.5	6207	8146	7223	7212
358.5	6220	8163	7243	7233
359.5	6236	8189	7267	7255
360.5	6247	8213	7285	7276
361.5	6269	8229	7307	7297
362.5	6304	8244	7329	7318
363.5	6327	8258	7350	7339
364.5	6354	8273	7374	7360
365.5	6384	8284	7395	7380
366.5	6411	8298	7423	7401
367.5	6426	8311	7447	7422
368.5	6453	8330	7467	7443
369.5	6466	8350	7490	7464
370.5	6488	8377	7510	7484
371.5	6510	8394	7527	7506
372.5	6538	8405	7550	7527
373.5	6562	8416	7573	7549
374.5	6582	8431	7592	7571
375.5	6608	8456	7616	7592
376.5	6626	8473	7639	7614
377.5	6658	8493	7662	7635
378.5	6682	8511	7684	7657
379.5	6697	8529	7705	7679
380.5	6718	8549	7725	7700
381.5	6740	8563	7746	7722
382.5	6767	8575	7766	7743
383.5	6823	8583	7783	7764
384.5	6854	8598	7807	7785
385.5	6887	8615	7830	7807
