depth	min95%	max95%	best	accrate
21	2	455	256	10.28
22	12	465	267	20.57
23	33	485	287	20.57
24	54	505	308	20.57
25	76	526	328	20.57
26	97	546	349	20.57
27	118	566	369	20.57
28	139	586	390	20.57
29	160	606	411	20.57
30	181	626	431	20.57
31	202	646	452	20.57
32	224	666	472	20.57
33	245	686	493	20.57
34	266	707	513	20.57
35	287	727	534	20.57
36	308	747	555	20.57
37	329	767	575	20.57
38	350	787	596	20.57
39	372	807	616	20.57
40	393	827	637	20.57
41	414	848	657	20.57
42	435	868	678	20.57
43	456	888	699	20.57
44	477	908	719	20.57
45	498	928	740	20.57
46	519	949	760	20.57
47	540	969	781	20.57
48	561	989	801	20.57
49	583	1009	822	20.57
50	604	1029	843	20.57
51	625	1049	863	20.57
52	646	1070	884	20.57
53	667	1090	904	20.57
54	688	1110	925	20.57
55	709	1130	945	20.57
56	730	1150	966	20.57
57	751	1170	987	20.57
58	773	1190	1007	20.57
59	794	1211	1028	20.57
60	815	1231	1048	20.57
61	836	1251	1069	20.57
62	857	1272	1089	20.57
63	878	1292	1110	20.57
64	900	1312	1130	20.57
65	921	1332	1151	20.57
66	942	1353	1172	20.57
67	963	1373	1192	20.57
68	984	1393	1213	20.57
69	1005	1414	1233	20.57
70	1026	1434	1254	20.57
71	1048	1454	1274	20.57
72	1069	1474	1295	20.57
73	1090	1495	1316	20.57
74	1111	1515	1336	20.57
75	1132	1535	1357	20.57
76	1153	1555	1377	20.57
77	1174	1575	1398	20.57
78	1195	1596	1418	20.57
79	1217	1616	1439	20.57
80	1238	1636	1460	20.57
81	1259	1656	1480	20.57
82	1280	1677	1501	20.57
83	1301	1697	1521	20.57
84	1322	1717	1542	20.57
85	1343	1738	1562	20.57
86	1364	1758	1583	20.57
87	1385	1778	1604	20.57
88	1406	1798	1624	20.57
89	1427	1818	1645	20.57
90	1448	1838	1665	20.57
91	1469	1858	1686	20.57
92	1490	1878	1706	20.57
93	1511	1899	1727	20.57
94	1532	1919	1748	20.57
95	1553	1939	1768	20.57
96	1574	1959	1789	20.57
97	1595	1980	1809	20.57
98	1616	2000	1830	20.57
99	1638	2020	1850	20.57
100	1659	2040	1871	20.57
101	1680	2060	1891	20.57
102	1701	2081	1912	20.57
103	1722	2101	1933	20.57
104	1743	2121	1953	20.57
105	1764	2141	1974	20.57
106	1785	2161	1994	20.57
107	1806	2181	2015	20.57
108	1827	2201	2035	20.57
109	1848	2221	2056	20.57
110	1869	2242	2077	20.57
111	1891	2262	2097	20.57
112	1912	2282	2118	20.57
113	1933	2302	2138	20.57
114	1954	2322	2159	20.57
115	1975	2342	2179	20.57
116	1996	2362	2200	20.57
117	2017	2382	2221	20.57
118	2038	2403	2241	20.57
119	2059	2423	2262	20.57
120	2080	2443	2282	20.57
121	2101	2463	2303	20.57
122	2122	2483	2323	20.57
123	2143	2503	2344	20.57
124	2165	2523	2365	20.57
125	2186	2543	2385	20.57
126	2207	2564	2406	20.57
127	2228	2584	2426	20.57
128	2249	2604	2447	20.57
129	2270	2624	2467	20.57
130	2291	2644	2488	20.57
131	2312	2664	2509	20.57
132	2333	2684	2529	20.57
133	2354	2704	2550	20.57
134	2375	2724	2570	20.57
135	2396	2744	2591	20.57
136	2418	2764	2611	20.57
137	2439	2784	2632	20.57
138	2460	2805	2653	20.57
139	2481	2825	2673	20.57
140	2502	2845	2694	20.57
141	2523	2865	2714	20.57
142	2544	2885	2735	20.57
143	2565	2905	2755	20.57
144	2586	2925	2776	20.57
145	2607	2946	2796	20.57
146	2629	2966	2817	20.57
147	2650	2986	2838	20.57
148	2671	3006	2858	20.57
149	2692	3027	2879	20.57
150	2713	3047	2899	20.57
151	2734	3067	2920	20.57
152	2755	3087	2940	20.57
153	2776	3107	2961	20.57
154	2797	3127	2982	20.57
155	2818	3147	3002	20.57
156	2839	3168	3023	20.57
157	2860	3188	3043	20.57
158	2881	3208	3064	20.57
159	2902	3228	3084	20.57
160	2924	3249	3105	20.57
161	2945	3269	3126	20.57
162	2966	3289	3146	20.57
163	2987	3310	3167	20.57
164	3008	3330	3187	20.57
165	3029	3350	3208	20.57
166	3050	3370	3228	20.57
167	3071	3390	3249	20.57
168	3092	3411	3270	20.57
169	3113	3431	3290	20.57
170	3134	3451	3311	20.57
171	3155	3472	3331	20.57
172	3176	3492	3352	20.57
173	3197	3512	3372	20.57
174	3218	3533	3393	20.57
175	3240	3553	3414	20.57
176	3261	3573	3434	20.57
177	3282	3594	3455	20.57
178	3303	3614	3475	20.57
