depth	min95%	max95%	best	accrate
21	-6	446	259	18.55
22	13	464	278	18.55
23	33	483	296	18.55
24	52	501	315	18.55
25	71	521	333	18.55
26	90	539	352	18.55
27	109	557	370	18.55
28	129	575	389	18.55
29	148	592	407	18.55
30	168	610	426	18.55
31	188	628	445	18.55
32	207	647	463	18.56
33	226	666	482	18.56
34	246	684	500	18.56
35	265	702	519	18.56
36	284	720	537	18.56
37	303	738	556	18.56
38	322	755	574	18.56
39	341	773	593	18.56
40	360	791	612	18.56
41	379	810	630	18.56
42	398	828	649	18.56
43	417	847	667	18.57
44	436	865	686	18.57
45	455	883	704	18.57
46	475	901	723	18.57
47	494	919	742	18.57
48	513	937	760	18.57
49	532	955	779	18.57
50	552	973	797	18.58
51	571	991	816	18.58
52	590	1009	834	18.58
53	609	1027	853	18.58
54	629	1046	872	18.58
55	648	1067	890	18.58
56	667	1086	909	18.59
57	686	1106	927	18.59
58	705	1125	946	18.59
59	724	1142	965	18.59
60	743	1162	983	18.59
61	762	1181	1002	18.6
62	781	1199	1020	18.6
63	800	1217	1039	18.6
64	819	1236	1058	18.6
65	838	1255	1076	18.61
66	857	1274	1095	18.61
67	876	1293	1113	18.61
68	895	1311	1132	18.61
69	914	1330	1151	18.62
70	933	1348	1169	18.62
71	951	1368	1188	18.62
72	971	1387	1206	18.63
73	990	1407	1225	18.63
74	1009	1426	1244	18.63
75	1028	1446	1262	18.63
76	1047	1465	1281	18.64
77	1066	1484	1300	18.64
78	1086	1503	1318	18.64
79	1105	1523	1337	18.65
80	1124	1543	1356	18.65
81	1143	1562	1374	18.65
82	1162	1581	1393	18.66
83	1181	1601	1411	18.66
84	1200	1620	1430	18.67
85	1219	1639	1449	18.67
86	1238	1658	1467	18.67
87	1257	1677	1486	18.68
88	1276	1695	1505	18.68
89	1295	1714	1524	18.68
90	1314	1732	1542	18.69
91	1333	1750	1561	18.69
92	1352	1769	1580	18.7
93	1371	1787	1598	18.7
94	1390	1806	1617	18.7
95	1409	1825	1636	18.71
96	1428	1845	1654	18.71
97	1447	1865	1673	18.72
98	1466	1883	1692	18.72
99	1484	1902	1711	18.73
100	1503	1922	1729	18.73
101	1522	1942	1748	18.74
102	1541	1962	1767	18.74
103	1561	1982	1785	18.74
104	1580	2002	1804	18.75
105	1598	2022	1823	18.75
106	1617	2040	1842	18.76
107	1636	2059	1860	18.76
108	1656	2077	1879	18.77
109	1675	2097	1898	18.77
110	1694	2118	1917	18.78
111	1713	2138	1936	18.78
112	1731	2158	1954	18.79
113	1750	2178	1973	18.8
114	1769	2198	1992	18.8
115	1788	2218	2011	18.81
116	1808	2238	2030	18.81
117	1827	2259	2048	18.82
118	1846	2278	2067	18.82
119	1865	2298	2086	18.83
120	1884	2318	2105	18.83
121	1903	2339	2124	18.84
122	1922	2359	2142	18.85
123	1941	2379	2161	18.85
124	1960	2398	2180	18.86
125	1979	2417	2199	18.86
126	1998	2437	2218	18.87
127	2017	2458	2237	18.88
