,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: Northeast Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,7.3,8.8,22.6,43.4,53.7,64.1,62.6,63.5,58.7,36.9,26.6,19.1,38.9,,39.9,63.4,40.7,16.5
1896,13.8,16.7,21.0,43.2,58.7,63.0,65.3,64.9,51.3,39.4,24.0,20.4,40.1,,41.0,64.4,38.2,17.6
1897,13.9,18.4,22.9,39.1,49.8,58.1,69.0,60.5,60.7,47.5,27.2,13.4,40.0,,37.3,62.5,45.1,15.9
1898,17.2,17.2,29.4,38.9,52.8,62.7,66.9,62.5,58.8,42.8,28.7,12.9,40.9,,40.4,64.0,43.4,8.5
1899,8.5,4.2,15.7,43.0,52.4,61.9,65.4,66.0,51.9,47.5,35.2,16.4,39.0,,37.0,64.4,44.9,13.6
1900,17.0,7.4,19.5,42.8,54.0,61.0,64.2,70.4,58.1,52.9,26.2,19.8,41.1,,38.8,65.2,45.7,13.8
1901,12.7,8.9,23.4,42.9,52.5,63.2,69.6,64.7,54.8,46.0,27.1,14.2,40.0,,39.6,65.8,42.6,14.2
1902,13.9,14.5,32.8,40.9,53.8,58.3,66.8,61.4,53.3,43.8,35.2,16.8,41.0,,42.5,62.2,44.1,13.9
1903,11.0,14.0,33.0,40.4,53.8,59.0,65.4,59.3,55.3,45.4,25.8,9.9,39.4,,42.4,61.2,42.2,5.9
1904,5.4,2.5,23.8,35.5,52.5,60.9,63.2,60.3,54.3,43.0,32.9,14.8,37.4,,37.3,61.5,43.4,9.7
1905,6.2,8.2,27.5,39.1,50.0,60.7,64.1,64.4,58.0,42.6,29.4,21.0,39.3,,38.9,63.1,43.3,17.8
1906,19.2,13.1,17.4,43.2,50.7,61.4,65.2,66.4,60.6,43.2,30.6,18.7,40.8,,37.1,64.3,44.8,14.1
1907,9.6,14.0,29.1,31.8,44.2,61.6,65.1,62.1,54.6,42.1,28.8,19.8,38.6,,35.0,62.9,41.8,17.2
1908,16.0,15.7,26.3,41.1,52.4,61.2,66.4,63.3,61.6,46.6,31.1,16.3,41.5,,39.9,63.6,46.4,16.0
1909,14.1,17.5,24.1,33.7,50.1,63.2,65.4,66.3,55.4,41.7,34.8,14.6,40.1,,36.0,65.0,44.0,12.5
1910,12.2,10.8,37.8,43.7,48.1,64.8,67.8,64.0,54.8,47.5,25.5,14.7,41.0,,43.2,65.5,42.6,15.3
1911,11.9,19.4,28.5,39.6,57.0,66.9,66.2,61.9,54.9,42.1,23.2,23.2,41.2,,41.7,65.0,40.1,8.8
1912,-5.9,9.2,18.9,40.9,52.2,59.6,65.6,59.2,56.6,46.0,31.2,20.8,37.9,,37.3,61.5,44.6,13.8
1913,12.8,7.9,21.3,42.2,50.9,64.2,64.8,65.1,56.0,43.2,34.6,27.1,40.8,,38.1,64.7,44.6,17.3
1914,18.6,6.1,24.2,37.7,55.4,60.5,68.9,63.0,56.5,50.3,30.2,12.0,40.3,,39.1,64.1,45.7,14.9
1915,10.4,22.4,24.6,48.6,48.1,57.0,62.4,58.6,56.6,45.4,31.5,18.9,40.4,,40.4,59.3,44.5,13.9
1916,12.6,10.2,20.0,39.4,51.2,57.2,72.5,66.0,53.7,43.7,28.2,12.0,38.9,,36.9,65.2,41.9,7.4
1917,7.0,3.2,23.7,36.3,47.0,57.1,67.2,60.4,54.2,35.3,32.2,9.7,36.1,,35.7,61.6,40.6,7.6
