         CCA1       CA1       CA2       CA3       CA4
1    0.276805 -1.142988  0.600911  1.268980  1.826943
2   -1.208931 -0.085606  0.594233  1.465799  0.271377
3   -0.629481 -1.265308  0.295846  1.503722  1.609220
4   -0.224444 -0.675517  0.334273  1.834140  1.123985
5   -0.585382 -0.144469  0.800854  1.571035  0.991954
6   -0.282199 -0.617093  1.214924  1.366532  1.653958
7   -0.704143 -0.254409  0.371096  1.640252  0.330086
8   -0.809960 -0.667153  0.370235  0.278259  0.925788
9   -0.620628 -0.717906  0.492696  1.629116  0.974766
10  -1.040620  0.162989  0.420934  0.937451  0.294558
11  -1.196324 -0.546785  0.267852  0.603571  1.054589
12  -0.658840 -0.507735  1.837333  1.463559  0.812842
13  -0.700737 -0.666907  1.892712  1.167264  1.320663
14  -1.243914  0.537472  0.101173  1.209808 -0.583021
15  -0.945422 -0.211792  0.410488  2.026024  0.639366
16  -1.265402 -0.134700  1.199546  1.930967  0.203984
17  -1.530037 -0.291084  1.436166  0.402874  0.632475
18  -0.760944 -0.420395  0.522174  0.672430  0.921479
19  -0.828793 -0.091103  0.172946  1.514644  0.946112
20  -1.778337  0.053437  0.615721  0.362865 -0.362744
21  -1.251823  0.346393  0.365782  1.441472  0.160049
22  -1.143265 -0.199354  0.621851  1.179601  0.494171
23  -1.811323  0.330478  0.452661 -0.267095 -0.314903
24  -1.839199  0.508770  0.432368  2.232053 -1.006030
25  -2.103909  0.623911  0.541239  1.530864 -1.473563
26  -1.148171  0.175213  1.057945  2.392469  0.204432
27  -2.268221  0.552934  0.648025  0.456210 -1.593252
28  -1.643615  0.048665  0.239077  0.433450  0.041470
29  -1.381501  0.013830  0.949830  1.236357  0.403683
30  -1.706557  0.368632  0.818888  1.796942 -0.308354
31  -1.737114  0.587794  0.541108 -0.034895 -1.316906
32  -1.971404  0.514721  0.768909  1.163422 -1.116282
33  -2.014590  0.261790  0.471557  1.154289 -0.545271
34  -1.186257 -0.074483  1.244519  1.304654  0.498566
35  -1.291258  0.007126  0.337704  1.352754  0.360941
36  -2.231477  0.160444  0.488733  1.088442 -0.851681
37  -1.962459  0.716306  1.364787 -0.862657 -1.187842
38  -1.143080  0.156120 -0.338359  0.481083  0.351305
39  -0.979666  0.656799 -0.088965  0.870868 -0.390332
40  -1.133409  0.820867 -0.118052  1.369340 -0.758112
41  -1.387981  0.172355  0.807382  2.875981 -0.101723
42  -2.371411  0.358858  0.636543  0.288240 -1.013562
43  -2.401823  0.587878  0.754293  0.564383 -1.335807
44  -2.171999  0.120633  0.561752  1.035049 -0.915502
45  -2.461046  0.369930  0.899178  0.611495 -1.263386
46  -2.356880  0.461716  0.526218  1.253986 -1.103857
47  -2.414935  0.483357  0.640780  0.610937 -1.063693
48  -2.664284  0.200188  0.781731  0.647612 -1.103793
49  -0.828094 -0.221926  1.535601  1.924437  0.676620
50  -1.817286  0.172396  1.529074  1.459795 -0.512381
51  -2.335397  0.195882  0.972367 -0.767091 -0.659992
52  -2.690882 -0.069966  0.772665 -0.805011 -0.696812
53  -2.615205  0.090459  1.126025  0.015301 -1.134184
54  -1.810094  0.567529  0.199293  1.735983 -1.179338
55  -2.687068  0.017643  1.134306 -0.271535 -0.942021
56  -2.410691  0.204249  0.978262  0.026494 -1.037073
57  -2.343270  0.989982  0.674186  2.883111 -2.169502
58  -2.542442  0.247774  0.962066  1.050921 -0.685405
59  -2.350552  0.113988  1.036784  0.514523 -0.700814
60  -1.337515 -0.586299  1.826155  0.850617  0.708557
61  -2.079757  0.316436  0.887057  0.778370 -0.239544
62  -1.931155 -0.069248  1.007416  0.379267  0.150239
63  -1.574688 -0.342836  1.715304  0.391707  0.737166
64  -2.992130 -0.186248  1.182232 -2.596408 -0.865209
65  -2.737191 -0.177660  0.889341 -0.722537 -0.784167
66  -1.804807 -0.068233  0.979457  0.388553  0.180704
67  -2.648281 -0.137666  0.946445 -1.051827 -0.512169
68  -1.917972  0.361380  0.309658  1.568263 -0.820451
69  -2.507449 -0.891872  1.050240 -1.283429  0.578527
70  -1.208547 -0.150740  1.182578  1.637587  0.380074
71  -1.170983 -0.373890  1.378529  0.492671  0.754735
72  -1.412978 -0.124148  1.602617  1.294856  0.376266
73  -0.711393 -0.935989  2.470553  1.045476  1.305957
74  -1.537952 -0.153064  1.427080  0.637890  0.163477
75  -0.849450 -1.140777  0.491965  0.239699  0.332340
76  -1.667554 -0.714636  0.594853 -1.022897  0.258703
77  -0.285164 -1.564806  0.372303  0.025632  1.191427
