,CCA1,CA1,CA2,CA3,CA4
F.PABI,0.7236,-1.54401,-0.253,0.31094,-0.99631
F.BALN,0.2558,0.19691,-0.3599,-0.15369,0.52828
F.CAMB,-0.2338,-0.6004,0.3139,0.5996,0.2201
F.APIA,0.2583,1.21128,0.2179,-0.73709,-0.72341
F.CART,-0.4052,-0.08401,0.2627,0.07157,0.47139
F.TULI,-0.206,0.17705,0.1059,0.015,0.04558
F.BBET,0.1699,0.27164,-0.2528,0.05214,0.12495
F.BRAS,-1.2941,-0.49231,0.5014,-1.15934,0.13091
F.CARY,-1.1803,-0.11088,0.5978,-0.69228,-0.24906
F.CHEN,0.198,-0.45031,0.9261,0.22262,0.33628
F.BCOR,0.5107,-0.04694,1.0908,-0.07527,0.25382
F.CUPR,-0.0439,0.14087,-0.3149,0.01592,0.16158
F.CYPE,-0.5504,0.3802,0.1901,0.27934,-0.12157
F.RDRY,-1.3384,-0.41925,0.7957,-1.10615,-0.02614
F.ELAE,0.2834,0.34815,-0.6223,-0.20993,0.68767
F.ERIC,-0.5943,0.62692,0.282,0.76582,-0.56848
F.FABA,-0.8869,0.13387,0.4514,0.32709,-0.05779
F.FFAG,0.9554,-0.81215,-0.3163,0.0363,-0.73397
F.OFRA,0.4227,-0.60134,0.7054,0.36382,-0.1483
F.PLAR,0.5863,-0.97612,0.1783,0.34636,-0.01912
F.MMYR,0.8221,-0.34092,0.1848,-0.0314,0.1527
F.ONAG,-0.3128,0.19339,0.2367,0.14339,0.04113
F.POXR,-1.4447,-0.50937,0.7074,-1.76301,-0.03779
F.PAPA,-1.5909,-0.84017,1.2939,-1.79,0.19076
F.PPIC,0.502,-0.79745,-0.3002,0.06949,-0.23196
F.PPIN,0.6199,-0.70731,1.7864,0.36161,0.68809
F.PPLA,-0.9159,-0.47737,0.283,-0.93093,0.25829
F.POAC,-0.4773,0.59981,0.3058,-0.45062,-0.5257
F.POLE,0.7519,1.08541,-0.3768,-0.75429,0.23083
F.POLY,-0.9118,0.2142,0.543,0.17154,-0.33511
F.SPOP,0.5894,0.30211,-0.2121,-0.2649,0.20131
F.FQUE,0.9654,-0.92623,1.0699,0.24841,0.15289
F.RANU,-0.7736,0.30285,0.5189,-1.16105,-0.591
F.ROSA,-0.516,0.2304,0.3248,-0.50308,-0.03489
F.SSAL,-0.8428,0.20044,0.4496,-0.474,-0.42613
F.SAXI,-1.3645,-0.45059,0.6901,-1.27312,0.01757
F.SCRO,-1.1069,0.11206,0.5517,-0.53322,-0.16312
F.RTHA,-0.5112,0.6952,0.5865,-1.46528,-1.29402
F.ULMA,0.995,-0.56571,0.7535,0.14079,0.0527
